datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2021-01-01,,,,,,,,,,,,,,21,0,14.8,8.74,0.0,0.0172,0.9999,0.7,1.0,1.0,station
2021-01-02,,,,,,,,,,,,,,53,7,9.6,7.76,0.0,0.0344,0.9994,1.1,1.0,1.0,station
2021-01-03,,,,,,,,,,,,,,28,46,9.4,8.47,0.0,0.0516,0.9987,-1.1,-2.0,-2.0,station
2021-01-04,,,,,,,,,,,,,,25,17,18.2,8.92,0.0,0.0688,0.9976,-2.1,-1.0,-1.0,station
2021-01-05,,,,,,,,,,,,,,22,3,18.2,9.13,0.0,0.0859,0.9963,-2.4,-2.0,-2.0,station
2021-01-06,,,,,,,,,,,,,,16,5,33.3,9.43,0.0,0.103,0.9947,-8.2,-7.0,-7.0,station
2021-01-07,,,,,,,,,,,,,,16,0,20.0,9.31,0.0,0.1201,0.9928,-7.4,-7.0,-7.0,station
2021-01-08,,,,,,,,,,,,,,27,3,14.3,9.24,0.0,0.1372,0.9905,-3.5,-4.0,-4.0,station
2021-01-09,,,,,,,,,,,,,,30,1,23.4,9.15,0.0,0.1542,0.988,0.1,1.0,1.0,station
2021-01-10,,,,,,,,,,,,,,29,42,17.7,9.26,0.0,0.1712,0.9852,1.4,2.0,2.0,station
2021-01-11,,,,,,,,,,,,,,27,34,20.5,9.27,0.0,0.1881,0.9821,1.0,1.0,1.0,station
2021-01-12,,,,,,,,,,,,,,32,12,12.8,9.26,0.0,0.205,0.9788,4.3,5.0,5.0,station
2021-01-13,,,,,,,,,,,,,,31,0,12.0,9.39,0.0,0.2218,0.9751,6.7,8.0,8.0,station
2021-01-14,,,,,,,,,,,,,,70,73,10.8,6.39,0.0,0.2385,0.9711,3.2,3.0,3.0,station
2021-01-15,,,,,,,,,,,,,,41,0,19.3,9.7,0.0,0.2552,0.9669,2.0,3.0,3.0,station
2021-01-16,,,,,,,,,,,,,,23,1,21.1,9.99,0.0,0.2718,0.9624,-0.5,0.0,0.0,station
2021-01-17,,,,,,,,,,,,,,22,4,17.2,9.99,0.0,0.2883,0.9575,1.5,3.0,3.0,station
2021-01-18,,,,,,,,,,,,,,31,2,22.9,9.98,0.0,0.3047,0.9524,2.9,5.0,5.0,station
2021-01-19,,,,,,,,,,,,,,58,68,11.3,5.62,0.0,0.3211,0.9471,-3.9,-3.0,-3.0,station
2021-01-20,,,,,,,,,,,,,,66,28,8.1,9.95,0.0,0.3373,0.9414,0.3,1.0,1.0,station
2021-01-21,,,,,,,,,,,,,,56,37,11.9,10.14,0.0,0.3534,0.9355,6.3,6.0,6.0,station
2021-01-22,,,,,,,,,,,,,,51,34,11.3,10.17,0.0,0.3695,0.9292,4.1,5.0,5.0,station
2021-01-23,,,,,,,,,,,,,,63,38,7.6,8.7,0.0,0.3854,0.9227,3.0,3.0,3.0,station
2021-01-24,,,,,,,,,,,,,,57,26,7.9,10.17,0.0,0.4012,0.916,5.3,4.0,4.0,station
2021-01-25,,,,,,,,,,,,,,79,76,7.1,4.13,2.1,0.4169,0.9089,1.1,1.0,1.0,station
2021-01-26,,,,,,,,,,,,,,49,14,27.7,10.96,0.0,0.4325,0.9016,7.3,9.0,9.0,station
2021-01-27,,,,,,,,,,,,,,36,41,18.4,8.71,0.0,0.4479,0.8941,4.2,3.0,3.0,station
2021-01-28,,,,,,,,,,,,,,17,1,27.4,11.55,0.0,0.4633,0.8862,-2.2,-1.0,-1.0,station
2021-01-29,,,,,,,,,,,,,,20,0,11.0,11.18,0.0,0.4784,0.8781,0.5,0.0,0.0,station
2021-01-30,,,,,,,,,,,,,,35,1,16.2,11.23,0.0,0.4935,0.8698,6.9,7.0,7.0,station
2021-01-31,,,,,,,,,,,,,,71,8,9.2,10.52,0.0,0.5084,0.8611,2.8,0.0,0.0,station
2021-02-01,,,,,,,,,,,,,,31,1,26.2,11.83,0.0,0.5231,0.8523,2.1,3.0,3.0,station
2021-02-02,,,,,,,,,,,,,,16,0,17.8,12.01,0.0,0.5377,0.8432,1.0,2.0,2.0,station
2021-02-03,,,,,,,,,,,,,,20,17,21.7,11.86,0.0,0.5521,0.8338,6.6,7.0,7.0,station
2021-02-04,,,,,,,,,,,,,,29,0,16.8,12.11,0.0,0.5664,0.8242,7.7,10.0,10.0,station
2021-02-05,,,,,,,,,,,,,,35,0,16.6,11.94,0.0,0.5805,0.8143,13.3,15.0,15.0,station
2021-02-06,,,,,,,,,,,,,,45,19,21.1,11.91,0.0,0.5944,0.8042,13.2,16.0,16.0,station
2021-02-07,,,,,,,,,,,,,,35,13,16.1,12.43,0.0,0.6081,0.7938,6.2,7.0,7.0,station
2021-02-08,,,,,,,,,,,,,,35,25,10.4,12.43,0.0,0.6217,0.7833,6.5,7.0,7.0,station
2021-02-09,,,,,,,,,,,,,,58,1,10.1,12.45,0.0,0.6351,0.7725,7.4,9.0,9.0,station
2021-02-10,,,,,,,,,,,,,,51,0,13.0,12.8,0.0,0.6483,0.7614,11.8,16.0,16.0,station
2021-02-11,,,,,,,,,,,,,,74,28,9.4,12.48,0.0,0.6613,0.7502,10.1,11.0,11.0,station
2021-02-12,,,,,,,,,,,,,,63,40,11.6,12.65,0.0,0.6741,0.7387,13.6,15.0,15.0,station
2021-02-13,,,,,,,,,,,,,,92,99,7.8,5.22,0.0,0.6867,0.727,8.2,9.0,9.0,station
2021-02-14,,,,,,,,,,,,,,85,82,17.1,2.26,2.0,0.6991,0.715,3.9,5.0,5.0,station
2021-02-15,,,,,,,,,,,,,,33,27,22.0,13.45,0.2,0.7113,0.7029,5.4,6.0,6.0,station
2021-02-16,,,,,,,,,,,,,,22,0,30.4,14.25,0.0,0.7233,0.6906,-0.3,1.0,1.0,station
2021-02-17,,,,,,,,,,,,,,15,1,19.4,14.47,0.0,0.735,0.678,3.2,1.0,1.0,station
2021-02-18,,,,,,,,,,,,,,25,25,8.4,13.54,0.0,0.7466,0.6653,6.0,7.0,7.0,station
2021-02-19,,,,,,,,,,,,,,43,31,15.6,12.78,0.0,0.7579,0.6523,15.7,18.0,18.0,station
2021-02-20,,,,,,,,,,,,,,51,38,12.1,14.2,0.0,0.769,0.6392,17.0,20.0,20.0,station
2021-02-21,,,,,,,,,,,,,,34,56,20.4,13.29,0.0,0.7799,0.6259,22.3,25.0,25.0,station
2021-02-22,,,,,,,,,,,,,,36,12,24.8,14.7,0.0,0.7906,0.6124,10.9,16.0,16.0,station
2021-02-23,,,,,,,,,,,,,,61,96,15.8,9.2,1.3,0.801,0.5987,4.1,2.0,2.0,station
2021-02-24,,,,,,,,,,,,,,69,77,7.6,11.16,0.0,0.8112,0.5848,4.1,5.0,5.0,station
2021-02-25,,,,,,,,,,,,,,66,21,11.1,14.97,0.0,0.8211,0.5708,7.9,9.0,9.0,station
2021-02-26,,,,,,,,,,,,,,75,5,11.6,15.12,0.0,0.8308,0.5566,9.7,11.0,11.0,station
2021-02-27,,,,,,,,,,,,,,56,36,13.7,15.05,0.0,0.8402,0.5422,11.5,11.0,11.0,station
2021-02-28,,,,,,,,,,,,,,76,100,13.8,5.42,7.3,0.8495,0.5277,7.9,6.0,6.0,station
2021-03-01,,,,,,,,,,,,,,60,66,15.6,12.48,2.7,0.8584,0.513,5.6,6.0,6.0,station
2021-03-02,,,,,,,,,,,,,,81,54,9.6,7.85,0.0,0.8671,0.4981,5.0,4.0,4.0,station
2021-03-03,,,,,,,,,,,,,,78,40,10.2,12.65,0.0,0.8755,0.4831,9.8,7.0,7.0,station
2021-03-04,,,,,,,,,,,,,,81,19,10.8,14.93,0.0,0.8837,0.468,13.7,10.0,10.0,station
2021-03-05,,,,,,,,,,,,,,69,72,13.8,3.79,0.4,0.8916,0.4527,9.6,11.0,11.0,station
2021-03-06,,,,,,,,,,,,,,34,57,11.0,13.62,0.0,0.8993,0.4373,3.1,4.0,4.0,station
2021-03-07,,,,,,,,,,,,,,61,1,10.2,16.8,0.0,0.9067,0.4218,7.8,8.0,8.0,station
2021-03-08,,,,,,,,,,,,,,64,43,10.5,16.17,0.0,0.9138,0.4061,10.1,10.0,10.0,station
2021-03-09,,,,,,,,,,,,,,69,10,9.7,16.65,0.0,0.9207,0.3904,15.3,15.0,15.0,station
2021-03-10,,,,,,,,,,,,,,77,71,15.2,15.03,0.0,0.9272,0.3745,16.5,16.0,16.0,station
2021-03-11,,,,,,,,,,,,,,75,82,11.2,11.49,0.0,0.9335,0.3585,16.4,17.0,17.0,station
2021-03-12,,,,,,,,,,,,,,88,87,15.5,5.03,4.3,0.9396,0.3424,10.1,14.0,14.0,station
