datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,24.6,92,98,17.1,9.15,17.3,
2000-01-02,20.8,95,99,19.4,6.85,24.0,
2000-01-03,21.7,92,100,15.3,9.47,23.5,
2000-01-04,23.3,92,99,19.1,7.18,50.1,
2000-01-05,25.4,88,99,20.6,10.09,20.0,
2000-01-06,27.1,83,88,20.9,22.32,4.1,
2000-01-07,26.3,87,80,11.4,18.05,15.0,
2000-01-08,27.7,84,87,12.6,23.99,4.6,
2000-01-09,27.3,81,68,10.7,25.19,1.6,
2000-01-10,28.7,76,45,9.8,26.05,0.1,
2000-01-11,29.1,75,84,18.4,27.99,1.5,
2000-01-12,28.3,79,75,18.2,24.42,5.6,
2000-01-13,29.3,78,71,18.9,26.69,4.6,
2000-01-14,29.3,79,84,19.8,23.61,2.5,
2000-01-15,29.9,81,99,19.3,23.05,5.2,
2000-01-16,29.2,86,99,15.1,17.85,16.2,
2000-01-17,29.1,87,95,14.8,22.77,8.0,
2000-01-18,27.9,87,97,14.0,20.86,6.5,
2000-01-19,27.5,89,96,19.6,16.9,11.0,
2000-01-20,24.2,82,54,18.6,18.25,0.0,
2000-01-21,25.9,83,52,15.6,23.7,0.4,
2000-01-22,28.0,81,62,14.6,25.13,0.1,
2000-01-23,27.4,83,97,17.4,27.99,0.0,
2000-01-24,27.2,85,85,18.4,19.48,0.1,
2000-01-25,28.1,84,91,10.8,22.13,8.2,
2000-01-26,23.2,92,91,17.6,7.65,7.1,
2000-01-27,21.2,86,78,20.1,14.19,2.3,
2000-01-28,23.0,75,42,19.6,28.78,0.0,
2000-01-29,23.4,78,41,19.2,22.47,0.2,
2000-01-30,25.7,82,50,16.8,22.28,0.6,
2000-01-31,26.6,87,100,17.2,14.74,15.4,
2000-02-01,23.4,93,86,29.1,11.03,14.1,
2000-02-02,24.9,91,59,13.8,14.4,11.4,
2000-02-03,27.6,86,94,16.4,20.13,1.8,
2000-02-04,26.4,87,99,31.1,16.45,0.2,
2000-02-05,25.4,91,80,17.8,11.46,9.0,
2000-02-06,25.5,86,75,21.5,20.33,0.9,
2000-02-07,24.8,84,80,21.6,20.57,0.3,
2000-02-08,23.7,86,86,14.6,15.61,2.8,
2000-02-09,26.1,87,77,12.1,14.04,18.6,
2000-02-10,23.0,89,99,16.1,8.43,18.1,
2000-02-11,23.1,89,99,20.4,7.08,17.4,
2000-02-12,26.4,88,100,17.5,11.19,13.2,
2000-02-13,27.7,85,100,12.1,15.78,5.8,
2000-02-14,27.8,76,100,16.0,17.9,0.0,
2000-02-15,28.7,78,98,16.3,22.37,3.3,
2000-02-16,25.8,91,99,19.1,13.34,24.1,
2000-02-17,18.5,95,82,18.2,5.55,22.3,
2000-02-18,21.2,83,71,19.6,14.34,0.4,
2000-02-19,22.3,84,78,18.7,15.29,0.1,
2000-02-20,24.8,83,84,16.6,17.88,0.0,
2000-02-21,27.0,80,67,14.2,23.36,0.3,
2000-02-22,27.6,78,83,11.8,22.8,0.0,
2000-02-23,29.4,82,68,12.0,24.06,8.0,
2000-02-24,28.7,82,67,12.9,22.73,6.9,
2000-02-25,27.0,86,80,14.8,18.08,3.2,
2000-02-26,27.9,85,83,16.0,22.41,1.1,
2000-02-27,28.4,85,68,13.6,22.51,8.8,
2000-02-28,28.5,88,63,12.2,20.71,14.9,
2000-02-29,27.6,87,90,9.9,20.18,11.0,
2000-03-01,26.9,85,58,12.0,22.31,3.7,
2000-03-02,26.6,82,39,12.7,22.21,2.1,
2000-03-03,26.9,81,43,13.9,22.13,0.1,
2000-03-04,27.8,81,42,12.0,22.17,0.6,
2000-03-05,28.6,77,78,12.0,22.35,0.3,
2000-03-06,29.0,76,81,12.7,22.99,0.0,
2000-03-07,25.4,90,99,16.6,8.84,18.6,
2000-03-08,22.0,86,72,21.5,15.85,0.8,
2000-03-09,23.9,78,48,19.3,22.1,0.0,
2000-03-10,22.8,86,88,17.2,12.9,1.7,
2000-03-11,22.7,89,95,17.1,10.69,3.5,
2000-03-12,22.4,88,73,19.0,15.42,3.3,
2000-03-13,23.9,82,15,18.6,24.17,0.0,
2000-03-14,25.7,79,57,15.7,25.92,0.0,
2000-03-15,25.7,84,84,16.4,16.61,0.2,
2000-03-16,24.8,86,87,10.7,14.18,3.4,
2000-03-17,26.6,87,88,15.0,16.6,7.3,
2000-03-18,25.9,90,91,19.1,14.86,9.9,
2000-03-19,22.8,88,97,20.9,11.8,1.0,
2000-03-20,22.6,87,85,16.7,9.51,0.0,
2000-03-21,24.8,86,98,15.4,13.37,0.1,
2000-03-22,25.2,86,93,17.6,16.46,1.3,
2000-03-23,25.5,87,77,11.8,15.74,2.0,
2000-03-24,28.5,83,46,12.6,22.28,2.8,
2000-03-25,24.5,92,82,16.7,13.43,3.9,
2000-03-26,26.1,85,84,13.5,18.19,0.2,
2000-03-27,28.1,82,92,18.0,20.31,3.7,
2000-03-28,28.0,85,86,13.9,20.1,14.3,
2000-03-29,20.5,97,100,17.2,2.41,103.0,
2000-03-30,21.2,94,96,14.8,6.52,14.2,
2000-03-31,25.5,89,77,12.6,15.54,2.8,
2000-04-01,26.0,88,80,15.5,18.76,2.6,
2000-04-02,22.5,90,86,22.1,14.57,2.2,
2000-04-03,20.9,82,62,18.6,14.66,0.1,
2000-04-04,22.5,79,49,20.2,20.23,0.0,
2000-04-05,24.2,82,47,15.4,21.02,0.0,
2000-04-06,24.7,84,56,14.4,20.5,0.0,
2000-04-07,25.8,82,49,12.2,19.93,0.0,
2000-04-08,26.8,84,56,13.1,20.31,0.0,
2000-04-09,27.0,85,69,13.5,19.14,0.0,
2000-04-10,26.4,82,62,9.2,17.53,0.0,
2000-04-11,27.1,80,48,13.5,19.14,0.0,
2000-04-12,27.8,75,50,14.6,19.16,0.0,
2000-04-13,26.8,73,14,25.0,18.48,0.8,
2000-04-14,27.3,81,47,13.5,17.67,0.6,
2000-04-15,25.1,86,77,15.6,14.77,0.3,
2000-04-16,24.7,81,58,15.1,20.63,0.0,
2000-04-17,26.4,80,78,14.8,18.9,0.0,
2000-04-18,27.4,75,91,14.5,16.73,0.0,
2000-04-19,24.3,84,85,23.8,11.31,4.8,
2000-04-20,23.3,77,48,22.2,18.54,0.0,
2000-04-21,22.5,71,8,14.8,20.22,0.0,
2000-04-22,20.4,83,68,16.9,11.59,0.7,
2000-04-23,22.6,81,47,10.3,19.19,0.0,
2000-04-24,25.7,81,50,10.1,19.43,0.0,
