datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,30.5,56,4,17.6,16.77,0.0,32.0
2000-01-02,30.0,52,0,16.9,17.36,0.0,32.0
2000-01-03,29.7,74,7,17.8,16.29,0.0,32.0
2000-01-04,30.3,74,28,22.4,14.9,0.0,31.0
2000-01-05,26.3,76,78,27.7,10.55,2.3,32.0
2000-01-06,26.3,56,63,29.4,15.38,0.0,27.0
2000-01-07,26.3,57,53,25.3,16.05,0.0,26.4
2000-01-08,25.9,58,3,27.6,16.87,0.0,26.0
2000-01-09,25.6,59,0,31.2,17.04,0.0,26.0
2000-01-10,26.5,52,0,25.2,17.59,0.0,27.0
2000-01-11,29.1,50,0,24.5,17.34,0.0,30.0
2000-01-12,26.3,65,9,24.7,15.09,0.0,27.0
2000-01-13,26.5,63,2,21.6,17.25,0.0,27.0
2000-01-14,27.4,60,0,14.8,17.59,0.0,28.0
2000-01-15,27.5,71,15,19.4,15.94,0.0,29.4
2000-01-16,26.9,71,47,27.7,13.06,1.8,27.0
2000-01-17,25.0,60,28,23.2,16.78,0.2,26.0
2000-01-18,25.6,56,17,14.5,15.27,0.0,27.0
2000-01-19,26.1,59,26,23.2,16.57,0.0,27.0
2000-01-20,26.3,51,13,26.5,17.39,0.0,27.0
2000-01-21,25.5,56,2,27.4,18.55,0.0,26.0
2000-01-22,25.8,57,3,27.5,18.48,0.0,26.0
2000-01-23,26.7,54,37,25.3,18.85,0.0,27.0
2000-01-24,29.8,42,87,21.9,18.71,0.0,32.0
2000-01-25,29.8,48,23,17.1,18.69,0.0,33.0
2000-01-26,29.4,65,2,18.8,18.16,0.0,31.0
2000-01-27,27.3,72,6,28.8,17.35,0.0,28.0
2000-01-28,21.7,62,40,34.5,14.11,0.0,24.0
2000-01-29,23.1,44,11,30.9,19.33,0.0,24.0
2000-01-30,27.6,35,60,35.1,14.28,0.0,28.0
2000-01-31,27.4,65,2,19.9,18.55,0.0,28.0
2000-02-01,26.4,68,37,26.7,18.05,0.0,27.0
2000-02-02,26.1,62,5,19.5,18.92,0.0,26.0
2000-02-03,27.7,65,32,20.6,18.91,0.0,30.0
2000-02-04,27.2,68,13,19.2,18.58,0.0,27.0
2000-02-05,26.9,63,34,18.4,17.41,0.0,29.0
2000-02-06,27.2,58,34,27.1,18.15,0.0,28.2
2000-02-07,26.0,56,40,25.6,20.22,0.0,26.4
2000-02-08,25.2,58,67,27.5,19.63,0.0,26.0
2000-02-09,24.9,55,32,22.7,19.27,0.0,26.0
2000-02-10,30.2,44,20,21.5,20.27,0.0,31.0
2000-02-11,29.8,56,3,17.0,19.47,0.0,32.0
2000-02-12,29.5,65,0,18.2,19.42,0.0,31.4
2000-02-13,27.1,66,6,37.2,19.31,0.0,26.0
2000-02-14,26.7,47,3,25.6,19.99,0.0,27.0
2000-02-15,27.7,63,2,24.5,19.78,0.0,28.0
2000-02-16,27.8,56,0,26.6,20.15,0.0,27.0
2000-02-17,28.3,62,0,20.6,20.39,0.0,28.0
2000-02-18,29.4,64,0,21.1,20.53,0.0,29.0
2000-02-19,29.8,67,0,26.5,20.74,0.0,31.0
2000-02-20,29.4,65,0,23.9,21.02,0.0,29.0
2000-02-21,28.9,69,0,24.5,21.15,0.0,29.0
2000-02-22,28.9,64,0,28.1,21.53,0.0,29.0
2000-02-23,28.5,61,0,26.2,21.52,0.0,29.0
