datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,24.6,76,15,21.7,13.4,0.1,26.7
2000-01-02,24.8,69,3,22.1,15.4,0.0,25.6
2000-01-03,25.0,75,31,25.0,11.78,0.5,26.1
2000-01-04,25.9,80,22,21.0,13.56,0.2,26.1
2000-01-05,24.6,86,46,25.2,10.42,0.5,26.1
2000-01-06,25.0,80,25,24.1,12.65,0.9,26.1
2000-01-07,25.6,80,20,19.1,13.4,0.0,26.1
2000-01-08,25.4,79,14,17.6,14.37,0.0,26.1
2000-01-09,25.8,78,20,17.1,14.03,0.0,26.7
2000-01-10,27.0,75,21,19.2,14.67,0.0,26.7
2000-01-11,26.3,82,43,14.3,13.81,0.0,27.8
2000-01-12,25.1,65,1,21.0,16.57,0.0,26.1
2000-01-13,24.7,77,32,13.1,11.97,0.4,25.0
2000-01-14,22.7,68,28,46.5,14.51,0.0,23.9
2000-01-15,19.1,54,81,42.9,9.26,0.2,20.0
2000-01-16,20.5,52,77,30.8,8.3,0.1,22.8
2000-01-17,22.5,51,11,19.5,16.69,0.0,23.3
2000-01-18,23.8,60,3,21.6,16.39,0.0,23.3
2000-01-19,24.3,71,25,20.6,13.02,0.0,25.0
2000-01-20,24.4,73,29,37.2,11.12,0.2,25.0
2000-01-21,19.4,55,1,27.2,17.5,0.0,18.9
2000-01-22,21.5,65,26,16.5,14.81,0.0,22.2
2000-01-23,25.0,67,25,20.6,15.98,0.0,25.6
2000-01-24,22.7,81,63,35.0,9.48,11.9,22.2
2000-01-25,17.2,61,66,28.4,15.28,0.0,18.3
2000-01-26,15.8,63,28,25.9,17.45,0.0,16.1
2000-01-27,16.6,60,10,19.0,17.99,0.0,17.8
2000-01-28,20.8,63,80,23.9,8.33,0.0,23.3
2000-01-29,23.4,69,32,22.8,13.62,0.1,23.9
2000-01-30,24.2,75,32,19.6,14.78,0.5,24.4
2000-01-31,24.8,80,28,18.9,14.91,0.4,26.1
