datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,24.4,71,0,10.2,15.63,0.0,24.3
2000-01-02,25.7,67,3,14.0,15.17,0.0,26.0
2000-01-03,24.4,68,8,10.1,15.27,0.0,24.2
2000-01-04,23.8,76,63,13.8,10.59,0.0,23.3
2000-01-05,24.8,81,31,9.7,10.45,0.7,25.1
2000-01-06,24.0,82,55,18.9,8.07,0.5,24.2
2000-01-07,18.5,67,95,18.8,3.39,0.0,18.0
2000-01-08,22.3,73,84,14.8,8.66,0.0,23.0
2000-01-09,23.6,80,84,6.9,7.65,0.0,22.4
2000-01-10,26.0,77,32,15.8,13.43,0.0,25.0
2000-01-11,22.9,85,90,9.7,4.29,1.9,23.0
2000-01-12,21.6,80,85,16.5,6.05,0.6,23.5
2000-01-13,19.4,73,98,16.4,8.09,0.2,15.6
2000-01-14,16.9,83,100,11.5,3.49,0.8,14.2
2000-01-15,23.6,77,98,12.1,8.0,0.0,20.6
2000-01-16,17.6,78,100,17.7,3.19,1.0,17.8
2000-01-17,11.7,73,100,19.3,2.7,1.5,11.0
2000-01-18,14.7,60,68,17.6,11.98,0.0,11.2
2000-01-19,15.2,50,5,21.3,17.16,0.0,14.0
2000-01-20,17.6,51,0,13.0,17.55,0.0,17.3
2000-01-21,15.7,61,56,9.5,5.9,0.1,16.0
2000-01-22,21.2,68,65,9.4,10.83,2.8,20.0
2000-01-23,21.2,87,99,7.3,5.25,5.4,20.0
2000-01-24,18.3,92,100,23.7,1.9,9.2,18.9
2000-01-25,11.7,63,85,23.8,3.48,0.9,13.0
2000-01-26,10.8,48,42,24.1,12.39,0.0,11.0
2000-01-27,12.5,37,5,21.8,18.1,0.0,13.0
2000-01-28,14.2,44,12,12.2,17.05,0.0,14.9
2000-01-29,16.3,51,28,19.2,15.29,0.0,16.9
2000-01-30,15.3,51,43,24.1,17.65,0.0,16.3
2000-01-31,12.2,50,61,20.0,8.37,0.5,12.3
2000-02-01,14.1,61,50,17.7,11.7,0.4,12.3
2000-02-02,11.2,58,86,13.1,3.88,0.0,13.5
2000-02-03,15.3,66,88,12.5,6.02,0.0,17.0
2000-02-04,16.5,73,97,10.7,4.77,0.1,21.4
2000-02-05,20.3,68,38,18.1,13.51,0.0,21.2
2000-02-06,19.8,62,4,16.2,18.38,0.0,18.5
2000-02-07,19.0,58,25,21.0,17.38,0.0,19.0
2000-02-08,18.4,44,8,16.8,18.33,0.0,18.5
2000-02-09,17.6,51,70,7.9,7.75,0.0,19.1
2000-02-10,21.1,67,67,7.2,9.05,0.0,19.2
2000-02-11,23.5,77,80,6.9,10.53,0.0,22.2
2000-02-12,23.9,78,81,10.9,11.25,0.1,23.6
2000-02-13,22.9,81,72,10.5,10.7,0.0,24.0
2000-02-14,19.2,79,90,18.2,4.08,0.0,22.7
2000-02-15,20.2,56,74,17.6,10.6,0.0,21.3
2000-02-16,22.3,62,93,10.2,11.46,0.0,21.0
2000-02-17,19.2,67,100,9.9,5.44,0.0,18.3
2000-02-18,23.0,72,100,15.9,6.3,0.0,21.0
2000-02-19,23.6,94,97,8.7,4.54,8.8,21.0
2000-02-20,20.7,88,100,19.5,2.08,7.4,21.0
2000-02-21,11.9,92,100,14.2,1.83,12.5,12.0
2000-02-22,13.1,93,100,12.9,2.38,9.3,12.7
2000-02-23,12.5,90,100,16.5,2.49,11.1,13.1
2000-02-24,11.8,83,100,16.2,2.62,3.7,12.0
2000-02-25,11.4,81,100,19.2,2.59,3.5,12.0
2000-02-26,14.1,58,81,20.8,7.44,1.3,12.0
2000-02-27,14.0,63,99,13.3,5.65,2.4,12.1
2000-02-28,10.8,89,100,15.0,2.17,17.7,11.0
2000-02-29,11.2,82,99,16.9,3.77,4.0,12.0
