datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,23.9,82,29,23.5,10.94,0.0,24.4
2000-01-02,24.9,86,54,31.6,8.65,0.5,26.1
2000-01-03,22.1,66,64,27.0,6.95,4.6,24.4
2000-01-04,13.0,40,1,31.6,14.59,0.0,14.4
2000-01-05,13.6,60,9,17.4,14.52,0.0,13.9
2000-01-06,16.4,79,95,20.4,3.6,0.7,15.6
2000-01-07,18.0,77,86,23.6,8.91,4.7,19.4
2000-01-08,19.1,88,100,24.2,4.27,11.1,21.7
2000-01-09,23.7,85,30,23.4,12.88,0.2,21.1
2000-01-10,22.8,59,0,15.3,15.07,0.0,25.0
2000-01-11,24.5,81,14,18.6,12.36,0.0,26.7
2000-01-12,25.4,88,81,26.7,8.63,0.6,26.1
2000-01-13,24.9,81,76,22.4,7.68,0.8,26.7
2000-01-14,17.5,35,10,22.0,14.98,0.0,17.2
2000-01-15,21.6,75,84,24.0,13.06,0.0,23.0
2000-01-16,24.0,74,71,20.2,12.08,0.0,23.9
2000-01-17,23.9,79,13,15.9,12.31,0.0,26.1
2000-01-18,25.5,80,6,20.7,13.27,0.0,26.7
2000-01-19,26.2,80,19,22.7,13.94,0.0,26.7
2000-01-20,19.2,53,35,22.4,15.52,0.0,19.4
2000-01-21,16.4,58,55,19.2,12.28,0.0,16.7
2000-01-22,24.8,75,88,26.4,9.9,0.0,25.0
2000-01-23,24.0,81,68,24.8,7.71,0.0,24.4
2000-01-24,15.9,52,29,22.9,15.92,0.0,14.4
2000-01-25,17.3,57,49,14.6,15.2,0.0,16.7
2000-01-26,12.5,47,54,19.1,12.83,0.0,8.9
2000-01-27,16.6,77,98,31.2,2.34,36.4,16.7
2000-01-28,9.5,74,71,22.3,11.36,0.0,5.6
2000-01-29,8.7,61,70,16.6,14.27,0.0,5.6
2000-01-30,11.4,61,53,14.1,14.8,0.0,11.1
2000-01-31,12.6,58,92,14.8,10.24,0.0,12.2
2000-02-01,14.0,67,95,15.9,5.28,0.0,12.8
2000-02-02,14.7,63,96,17.1,8.37,1.1,14.4
2000-02-03,19.7,71,7,14.3,16.96,0.0,20.6
2000-02-04,17.7,60,0,23.3,17.23,0.0,19.4
2000-02-05,12.7,54,0,16.2,17.62,0.0,11.7
2000-02-06,17.6,73,36,15.3,15.49,0.0,17.2
2000-02-07,18.8,84,83,15.5,6.42,12.3,21.7
2000-02-08,20.7,76,51,12.9,15.87,0.0,22.2
2000-02-09,22.5,78,51,20.7,15.65,0.0,22.8
2000-02-10,24.5,78,16,30.8,14.61,0.0,24.4
2000-02-11,25.5,85,61,20.2,13.72,0.0,26.1
2000-02-12,23.3,88,79,17.4,8.31,0.3,23.9
2000-02-13,24.4,86,57,20.0,8.57,3.4,26.1
