datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,13.8,89,42,16.6,10.65,0.0,
2000-01-02,9.4,82,65,27.0,5.03,0.0,
2000-01-03,10.8,76,24,19.6,12.39,0.0,
2000-01-04,13.8,84,7,25.8,12.39,0.0,
2000-01-05,16.4,90,44,25.8,9.18,1.9,
2000-01-06,10.2,84,95,31.8,1.4,4.3,
2000-01-07,6.0,63,75,26.4,11.33,0.8,
2000-01-08,10.2,85,100,25.4,1.61,17.9,
2000-01-09,11.0,89,100,30.3,4.8,7.4,
2000-01-10,10.2,84,98,24.6,3.79,0.0,
2000-01-11,10.6,86,98,26.8,3.16,21.3,
2000-01-12,10.6,91,100,31.1,1.94,2.2,
2000-01-13,5.7,73,100,29.3,5.13,0.0,
2000-01-14,6.2,66,58,21.8,11.82,0.0,
2000-01-15,7.8,82,99,22.6,1.77,12.4,
2000-01-16,7.6,81,94,30.3,3.29,2.7,
2000-01-17,4.8,67,87,27.4,6.47,0.0,
2000-01-18,5.0,64,84,22.1,8.79,0.0,
2000-01-19,4.3,57,15,31.2,14.4,0.0,
2000-01-20,4.1,56,37,17.3,14.44,0.0,
2000-01-21,6.5,59,74,24.0,9.67,0.6,
2000-01-22,10.0,83,97,24.4,2.43,10.1,
2000-01-23,6.7,89,100,20.4,1.48,24.2,
2000-01-24,6.4,86,100,37.6,1.56,11.7,
2000-01-25,2.6,65,97,32.8,6.33,0.0,
2000-01-26,0.8,61,71,30.1,11.03,0.0,
2000-01-27,2.1,65,83,28.3,8.45,0.0,
2000-01-28,4.8,70,66,18.7,11.42,0.0,
2000-01-29,7.4,81,88,16.3,9.05,0.0,
2000-01-30,3.4,69,50,31.3,11.97,0.0,
2000-01-31,2.2,57,88,27.1,8.9,0.0,
2000-02-01,2.1,65,70,23.2,11.65,0.8,
2000-02-02,4.6,69,72,12.6,9.5,0.0,
2000-02-03,4.2,77,70,19.1,9.44,0.0,
2000-02-04,6.4,76,92,15.1,8.4,2.9,
2000-02-05,6.7,90,100,21.2,2.07,7.1,
2000-02-06,4.8,78,83,25.8,8.91,0.0,
2000-02-07,8.4,75,43,32.7,14.64,0.0,
2000-02-08,5.0,62,29,32.1,16.73,0.0,
2000-02-09,4.1,64,79,18.0,15.29,0.0,
2000-02-10,7.8,79,86,15.6,7.78,0.0,
2000-02-11,8.8,86,43,15.9,16.73,0.0,
2000-02-12,9.5,88,28,14.4,16.55,0.0,
2000-02-13,8.6,87,66,20.3,5.38,5.7,
2000-02-14,8.5,79,59,28.1,13.45,0.2,
2000-02-15,6.8,66,27,17.6,15.27,0.0,
2000-02-16,5.4,61,84,12.6,14.37,0.0,
2000-02-17,7.1,70,47,18.9,17.24,0.0,
2000-02-18,7.5,84,98,33.7,2.35,23.0,
2000-02-19,7.7,91,100,25.6,3.54,5.3,
2000-02-20,6.5,78,76,25.2,10.17,0.0,
2000-02-21,6.1,64,76,18.7,15.26,0.0,
2000-02-22,7.1,74,80,20.5,10.96,0.9,
2000-02-23,8.1,76,57,22.6,12.79,0.0,
2000-02-24,6.5,70,83,31.7,15.1,0.0,
2000-02-25,6.0,63,78,18.0,11.26,0.0,
2000-02-26,8.7,65,1,25.0,19.89,0.0,
2000-02-27,8.3,77,60,17.3,18.0,0.0,
2000-02-28,8.9,77,94,30.6,14.79,0.0,
2000-02-29,5.8,65,66,22.1,17.82,0.0,
2000-03-01,7.8,74,72,15.9,17.69,0.0,
2000-03-02,10.1,84,42,17.3,14.26,0.0,
2000-03-03,11.8,90,78,16.1,10.32,0.3,
2000-03-04,9.8,94,99,16.6,4.17,22.6,
2000-03-05,9.8,88,90,19.2,7.45,0.6,
2000-03-06,12.6,86,59,27.0,18.82,0.0,
2000-03-07,8.4,68,59,29.2,19.22,0.0,
2000-03-08,10.0,69,41,11.9,20.48,0.0,
2000-03-09,9.9,67,94,20.8,13.45,0.0,
2000-03-10,8.9,79,88,28.9,3.55,20.9,
2000-03-11,8.8,89,100,26.6,1.96,17.4,
2000-03-12,10.4,80,48,17.8,18.05,0.0,
2000-03-13,10.9,83,55,18.3,13.12,0.0,
2000-03-14,10.9,82,98,21.8,6.43,0.3,
2000-03-15,11.9,92,100,25.5,2.44,15.0,
2000-03-16,12.4,74,66,29.0,21.71,0.0,
2000-03-17,12.2,68,18,22.7,22.69,0.0,
2000-03-18,12.0,83,83,26.0,5.75,10.4,
2000-03-19,11.5,79,45,34.0,20.68,0.0,
2000-03-20,10.6,74,16,24.2,23.05,0.0,
2000-03-21,14.4,85,58,24.6,10.1,0.0,
2000-03-22,13.3,90,98,23.3,9.99,2.2,
2000-03-23,11.6,88,81,25.0,4.2,6.5,
2000-03-24,12.3,64,14,17.4,24.34,0.0,
2000-03-25,12.4,69,52,20.5,22.54,0.0,
2000-03-26,16.7,71,4,20.1,23.22,0.0,
2000-03-27,16.8,66,14,33.0,24.06,0.6,
2000-03-28,16.2,56,14,32.7,24.2,0.1,
2000-03-29,14.5,63,0,15.7,25.09,0.0,
2000-03-30,15.1,70,59,31.7,20.83,0.0,
2000-03-31,20.8,77,96,29.3,14.0,0.0,
2000-04-01,14.2,72,99,30.2,18.77,0.0,
2000-04-02,14.0,89,100,19.6,4.21,4.0,
2000-04-03,13.5,88,100,23.3,5.17,2.7,
2000-04-04,12.5,90,100,20.6,2.7,10.7,
2000-04-05,13.8,74,74,30.0,19.63,0.4,
2000-04-06,11.9,60,76,24.6,25.34,0.0,
2000-04-07,15.9,82,87,24.1,22.22,0.0,
2000-04-08,14.4,85,67,25.5,22.82,0.0,
2000-04-09,16.5,90,95,24.2,11.05,5.0,
2000-04-10,15.4,60,40,42.5,25.49,0.0,
2000-04-11,13.4,59,31,24.6,26.21,0.0,
2000-04-12,18.0,78,35,23.9,21.51,0.6,
2000-04-13,18.3,83,76,23.4,25.28,0.0,
2000-04-14,14.3,92,100,39.0,1.89,70.8,
2000-04-15,15.3,62,46,28.8,25.08,1.1,
2000-04-16,16.9,72,11,19.9,23.44,0.0,
2000-04-17,17.8,69,6,31.3,26.37,0.0,
2000-04-18,19.3,79,94,32.7,18.31,0.8,
2000-04-19,19.5,86,90,20.8,22.53,0.9,
2000-04-20,16.4,88,99,20.7,15.87,0.2,
