gelogd_utc,key,doel_datum,lead,temp_f
2026-07-27T12:33+00:00,NYC,2026-07-27,0,84
2026-07-27T12:33+00:00,NYC,2026-07-28,1,80
2026-07-27T12:33+00:00,CHI,2026-07-27,0,91
2026-07-27T12:33+00:00,CHI,2026-07-28,1,78
2026-07-27T12:33+00:00,MIA,2026-07-27,0,91
2026-07-27T12:33+00:00,MIA,2026-07-28,1,92
2026-07-27T12:33+00:00,LAX,2026-07-27,0,81
2026-07-27T12:33+00:00,LAX,2026-07-28,1,80
2026-07-27T12:33+00:00,SFO,2026-07-27,0,74
2026-07-27T12:33+00:00,SFO,2026-07-28,1,75
2026-07-27T12:33+00:00,SEA,2026-07-27,0,78
2026-07-27T12:33+00:00,SEA,2026-07-28,1,75
2026-07-27T12:33+00:00,DEN,2026-07-27,0,95
2026-07-27T12:33+00:00,DEN,2026-07-28,1,92
2026-07-27T12:33+00:00,DAL,2026-07-27,0,103
2026-07-27T12:33+00:00,DAL,2026-07-28,1,103
2026-07-27T12:33+00:00,HOU,2026-07-27,0,98
2026-07-27T12:33+00:00,HOU,2026-07-28,1,99
2026-07-27T12:33+00:00,AUS,2026-07-27,0,98
2026-07-27T12:33+00:00,AUS,2026-07-28,1,99
2026-07-27T12:33+00:00,ATL,2026-07-27,0,92
2026-07-27T12:33+00:00,ATL,2026-07-28,1,96
