datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,-7.3,89,88,10.8,0.81,0.0,-5.3
2000-01-02,-1.8,93,96,25.4,0.33,1.8,0.0
2000-01-03,-1.8,95,98,24.6,0.69,4.5,1.0
2000-01-04,2.2,90,95,25.0,0.73,2.0,3.0
2000-01-05,1.8,86,62,26.8,0.76,0.0,2.0
2000-01-06,1.8,93,71,31.3,0.76,0.0,3.0
2000-01-07,2.5,92,62,31.7,1.17,6.7,3.0
2000-01-08,3.9,90,97,33.4,0.33,0.0,5.0
2000-01-09,2.9,89,32,29.5,1.24,0.0,5.0
2000-01-10,1.9,93,33,18.4,1.3,0.0,3.0
2000-01-11,2.5,94,92,25.1,0.28,0.1,4.0
2000-01-12,3.0,98,98,23.9,0.23,3.4,4.0
2000-01-13,2.6,100,100,20.2,0.3,2.4,4.0
2000-01-14,2.1,89,100,19.9,0.75,0.0,2.0
2000-01-15,-1.1,86,60,14.0,1.39,0.0,-1.0
2000-01-16,1.4,94,89,27.1,0.89,2.6,2.0
2000-01-17,1.3,75,31,24.1,1.7,0.2,2.0
2000-01-18,-1.0,69,97,28.7,1.13,0.0,0.0
2000-01-19,-5.3,68,79,28.8,1.9,0.0,-5.0
2000-01-20,-4.6,80,84,16.0,0.81,2.6,-4.0
2000-01-21,-10.7,74,69,27.2,1.54,0.0,-10.0
2000-01-22,-10.6,69,58,26.4,1.46,0.0,-9.0
2000-01-23,-9.6,72,62,17.5,1.84,0.0,-10.0
2000-01-24,-9.7,77,52,14.2,2.12,0.0,-11.0
2000-01-25,-9.5,83,98,14.8,1.2,2.0,-5.0
2000-01-26,-0.3,92,74,18.1,0.64,1.0,1.0
2000-01-27,0.1,86,39,22.2,2.48,0.0,0.0
2000-01-28,-3.1,91,76,13.9,1.7,2.6,-2.0
2000-01-29,0.4,92,90,35.7,0.98,3.8,1.0
2000-01-30,1.3,92,95,36.6,1.36,9.8,2.0
2000-01-31,-2.2,76,16,28.2,3.28,0.0,-3.0
2000-02-01,-1.6,81,28,30.2,3.31,0.0,0.0
2000-02-02,-1.6,93,100,12.2,1.66,4.5,-2.0
2000-02-03,-5.8,85,82,18.2,3.39,0.0,-6.0
2000-02-04,1.4,88,53,32.4,1.38,3.7,2.0
2000-02-05,0.3,79,31,23.7,3.8,0.0,0.0
2000-02-06,2.7,92,86,26.3,1.06,0.0,4.0
2000-02-07,2.0,94,56,24.6,2.02,4.4,3.0
2000-02-08,2.1,93,90,25.3,1.89,1.3,2.0
2000-02-09,0.5,97,98,10.3,1.81,0.0,1.0
2000-02-10,0.2,91,35,31.4,4.3,0.0,2.0
2000-02-11,1.9,92,52,34.5,3.59,4.5,4.0
2000-02-12,2.1,91,45,23.0,3.35,0.0,3.0
2000-02-13,1.3,92,92,26.0,1.98,2.4,2.2
2000-02-14,0.6,92,78,18.5,3.14,2.2,1.0
2000-02-15,-0.7,90,58,13.2,4.12,0.7,1.0
