datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,7.1,75,65,18.3,7.33,0.0,8.0
2000-01-02,10.7,90,98,29.4,1.19,4.7,12.0
2000-01-03,10.2,84,97,24.9,3.59,5.8,11.0
2000-01-04,10.9,78,93,34.9,2.33,6.0,10.0
2000-01-05,-2.5,50,83,23.0,6.94,0.0,-2.8
2000-01-06,2.5,61,73,23.2,6.18,0.0,3.0
2000-01-07,-0.2,61,77,25.7,5.06,0.0,1.1
2000-01-08,4.0,55,24,26.2,8.08,0.0,5.0
2000-01-09,4.0,80,94,21.0,3.45,2.7,4.3
2000-01-10,5.9,92,94,29.0,1.27,5.6,7.0
2000-01-11,4.0,69,84,33.8,5.75,0.0,5.6
2000-01-12,0.6,57,88,21.9,6.4,0.4,1.0
2000-01-13,-3.0,56,97,23.8,5.27,4.4,-4.0
2000-01-14,-6.1,54,78,18.6,8.07,0.0,-9.0
2000-01-15,-0.9,65,91,19.2,4.76,0.0,0.0
2000-01-16,1.2,58,79,34.1,6.53,0.0,2.5
2000-01-17,-12.3,34,38,21.8,9.39,0.0,-15.0
2000-01-18,-7.7,48,99,9.2,6.1,0.3,-8.0
2000-01-19,-0.8,71,78,15.5,6.04,0.3,-2.0
2000-01-20,-5.8,76,87,22.1,5.17,3.7,-5.0
2000-01-21,-13.4,64,26,18.3,9.44,0.0,-15.0
2000-01-22,-11.0,67,56,11.6,9.67,0.0,-11.5
2000-01-23,-1.9,82,95,17.6,2.88,1.3,-2.0
2000-01-24,-5.1,68,23,15.9,9.9,0.0,-6.0
2000-01-25,-6.0,69,86,18.9,7.36,0.0,-6.0
2000-01-26,-8.8,67,76,24.1,9.21,0.0,-6.0
2000-01-27,-13.1,64,23,24.1,10.36,0.0,-11.6
2000-01-28,-7.3,59,1,18.4,11.07,0.0,-6.0
2000-01-29,-2.0,70,10,12.2,10.89,0.0,0.6
2000-01-30,-1.5,86,91,14.1,4.27,0.0,-0.9
2000-01-31,-1.0,79,98,24.3,6.2,0.0,-1.0
2000-02-01,-2.5,69,90,24.7,7.69,0.0,-3.0
2000-02-02,-6.3,59,52,17.6,11.52,0.0,-5.9
2000-02-03,-1.9,82,100,15.0,3.29,3.5,-1.7
2000-02-04,-3.9,67,57,15.5,10.29,0.5,-6.0
2000-02-05,-2.1,69,54,25.6,9.53,0.0,-1.0
2000-02-06,-1.9,65,29,24.1,12.29,0.0,-2.0
2000-02-07,-1.6,64,48,24.0,10.7,0.0,0.0
2000-02-08,-3.5,58,12,20.9,12.68,0.0,-2.9
2000-02-09,4.5,74,89,25.6,7.32,0.2,3.0
2000-02-10,-1.2,87,91,15.6,3.1,10.1,-1.0
2000-02-11,-5.1,73,60,19.6,9.48,1.2,-5.0
2000-02-12,-6.5,68,40,10.4,13.27,0.0,-5.0
2000-02-13,-3.9,74,100,16.6,3.47,6.8,-2.4
2000-02-14,-2.8,82,98,18.6,5.32,3.3,-4.0
2000-02-15,-0.8,74,43,16.4,12.86,0.2,-1.0
2000-02-16,1.7,77,83,25.8,8.18,1.8,1.0
2000-02-17,-7.2,69,24,14.9,14.68,0.0,-5.0
2000-02-18,-4.0,83,100,16.9,5.05,4.7,-3.0
2000-02-19,-0.9,80,79,16.1,13.6,0.7,-2.0
2000-02-20,-0.3,76,71,22.8,8.47,0.0,0.0
2000-02-21,2.1,79,39,17.4,14.23,0.0,3.4
2000-02-22,5.6,75,72,17.3,10.44,0.0,9.0
2000-02-23,7.4,82,99,17.9,5.32,1.2,9.0
2000-02-24,8.3,91,98,12.1,9.43,3.9,10.0
2000-02-25,5.5,98,100,11.8,3.48,3.4,6.0
2000-02-26,10.8,94,99,19.1,8.3,0.0,11.0
2000-02-27,13.0,76,99,24.3,7.15,1.1,15.0
2000-02-28,4.3,65,71,25.0,7.87,0.0,4.2
2000-02-29,4.3,70,55,11.4,14.31,0.0,5.0
2000-03-01,10.2,79,87,30.6,6.46,5.2,13.0
2000-03-02,1.5,62,90,30.8,9.12,0.0,2.0
2000-03-03,5.3,50,47,20.8,13.13,0.0,4.1
2000-03-04,8.9,57,60,18.9,13.99,0.0,8.9
2000-03-05,6.6,69,28,18.2,13.65,0.0,6.5
2000-03-06,8.6,67,14,10.6,17.19,0.0,10.0
2000-03-07,16.0,71,36,12.2,12.91,0.0,12.5
2000-03-08,20.0,86,56,17.1,14.26,0.0,21.1
2000-03-09,17.5,68,60,27.4,12.6,1.0,20.6
2000-03-10,-2.6,52,86,20.9,4.11,0.4,-3.0
2000-03-11,1.4,63,91,13.8,14.33,0.6,1.0
2000-03-12,2.6,52,73,24.2,16.41,4.0,2.2
2000-03-13,2.6,53,77,14.4,17.4,0.5,2.0
2000-03-14,8.8,72,75,19.7,14.71,1.0,9.0
2000-03-15,9.9,78,94,18.5,10.06,0.1,11.0
2000-03-16,7.8,70,100,19.0,10.3,5.6,11.0
2000-03-17,-0.8,37,24,22.8,20.58,0.0,-0.9
2000-03-18,-1.0,50,36,19.5,20.48,0.0,1.0
2000-03-19,4.0,67,58,16.8,14.85,0.0,5.0
2000-03-20,6.6,75,99,16.1,14.25,0.0,9.0
2000-03-21,8.4,77,71,13.2,18.91,0.0,11.0
2000-03-22,11.7,84,84,10.2,15.98,0.0,14.0
2000-03-23,13.4,82,64,9.7,11.19,0.0,15.4
2000-03-24,11.1,81,57,13.1,19.54,0.0,15.0
2000-03-25,17.3,64,47,25.6,16.59,1.6,20.0
2000-03-26,10.0,48,43,27.1,19.36,0.0,10.4
2000-03-27,8.3,78,76,17.3,5.65,6.4,9.0
