datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2021-01-01,,,,,,,,,,,,,,88,100,22.7,0.99,17.0,0.0172,0.9999,0.7,1.7,1.7,station
2021-01-02,,,,,,,,,,,,,,92,99,19.6,3.9,0.4,0.0344,0.9994,0.8,1.7,1.7,station
2021-01-03,,,,,,,,,,,,,,92,98,11.2,4.33,2.7,0.0516,0.9987,1.7,0.6,0.6,station
2021-01-04,,,,,,,,,,,,,,92,96,12.0,5.17,0.2,0.0688,0.9976,0.2,-1.1,-1.1,station
2021-01-05,,,,,,,,,,,,,,89,41,12.9,7.95,0.0,0.0859,0.9963,2.5,1.7,1.7,station
2021-01-06,,,,,,,,,,,,,,93,95,9.1,4.0,0.0,0.103,0.9947,2.1,3.3,3.3,station
2021-01-07,,,,,,,,,,,,,,82,88,15.1,4.68,0.5,0.1201,0.9928,2.6,3.3,3.3,station
2021-01-08,,,,,,,,,,,,,,79,99,16.7,2.67,0.0,0.1372,0.9905,1.0,2.2,2.2,station
2021-01-09,,,,,,,,,,,,,,82,80,13.7,7.58,0.0,0.1542,0.988,1.9,2.2,2.2,station
2021-01-10,,,,,,,,,,,,,,80,99,11.2,2.3,0.0,0.1712,0.9852,-1.6,-1.7,-1.7,station
2021-01-11,,,,,,,,,,,,,,82,84,20.8,4.9,0.0,0.1881,0.9821,-1.3,-1.1,-1.1,station
2021-01-12,,,,,,,,,,,,,,85,25,18.7,8.87,0.0,0.205,0.9788,3.9,2.8,2.8,station
2021-01-13,,,,,,,,,,,,,,83,95,16.7,5.46,0.0,0.2218,0.9751,6.0,4.4,4.4,station
2021-01-14,,,,,,,,,,,,,,87,72,16.1,3.73,4.9,0.2385,0.9711,5.1,3.9,3.9,station
2021-01-15,,,,,,,,,,,,,,90,63,16.2,5.97,1.4,0.2552,0.9669,2.9,2.8,2.8,station
2021-01-16,,,,,,,,,,,,,,87,93,17.6,2.57,2.3,0.2718,0.9624,3.3,2.2,2.2,station
2021-01-17,,,,,,,,,,,,,,88,96,10.1,2.46,2.7,0.2883,0.9575,0.8,1.1,1.1,station
2021-01-18,,,,,,,,,,,,,,80,90,14.9,5.68,0.0,0.3047,0.9524,-0.8,-1.1,-1.1,station
2021-01-19,,,,,,,,,,,,,,78,65,20.6,5.31,3.3,0.3211,0.9471,-0.6,0.0,0.0,station
2021-01-20,,,,,,,,,,,,,,65,47,30.1,10.02,0.0,0.3373,0.9414,0.4,1.1,1.1,station
2021-01-21,,,,,,,,,,,,,,68,21,29.5,10.22,0.0,0.3534,0.9355,4.2,3.9,3.9,station
2021-01-22,,,,,,,,,,,,,,58,13,22.4,10.6,0.0,0.3695,0.9292,-0.5,-2.2,-2.2,station
2021-01-23,,,,,,,,,,,,,,43,58,12.5,9.86,0.0,0.3854,0.9227,-0.4,-1.1,-1.1,station
