datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,20.6,72,1,9.7,15.27,0.0,
2000-01-02,21.0,72,0,9.5,15.4,0.0,
2000-01-03,20.9,73,0,10.8,15.43,0.0,
2000-01-04,20.7,72,0,9.1,15.47,0.0,
2000-01-05,20.4,71,8,10.0,15.45,0.0,
2000-01-06,19.9,69,0,12.6,15.79,0.0,
2000-01-07,19.8,69,15,10.6,15.72,0.0,
2000-01-08,20.4,71,64,9.7,15.44,0.0,
2000-01-09,21.3,75,41,8.4,13.79,0.0,
2000-01-10,22.4,76,77,8.7,13.1,0.0,
2000-01-11,24.0,73,35,8.6,15.58,0.0,
2000-01-12,24.5,78,33,13.8,12.76,3.3,
2000-01-13,22.8,81,24,14.3,12.87,1.0,
2000-01-14,21.3,80,40,10.5,13.17,0.0,
2000-01-15,21.4,61,1,13.5,15.97,0.0,
2000-01-16,19.2,52,7,16.9,17.0,0.0,
2000-01-17,19.1,60,0,17.1,16.86,0.0,
2000-01-18,21.2,57,4,15.2,16.62,0.0,
2000-01-19,22.1,54,0,18.0,16.65,0.0,
2000-01-20,21.9,54,0,20.1,16.93,0.0,
2000-01-21,22.4,60,0,10.1,16.61,0.0,
2000-01-22,22.8,65,1,10.5,16.61,0.0,
2000-01-23,23.2,68,3,9.7,16.69,0.0,
2000-01-24,23.0,68,1,10.6,16.93,0.0,
2000-01-25,23.5,63,1,9.9,17.05,0.0,
2000-01-26,23.9,63,21,10.4,16.0,0.0,
2000-01-27,24.1,69,21,12.2,14.3,0.0,
2000-01-28,21.6,68,6,18.8,16.77,0.0,
2000-01-29,21.8,55,0,20.5,17.88,0.0,
2000-01-30,21.7,60,0,9.8,17.72,0.0,
2000-01-31,23.0,62,0,17.7,17.63,0.0,
2000-02-01,24.0,56,10,27.3,17.55,0.3,
2000-02-02,23.3,69,50,17.1,17.02,0.0,
2000-02-03,23.5,73,8,9.8,16.53,0.0,
2000-02-04,24.5,68,12,15.5,17.51,1.2,
2000-02-05,21.0,77,47,22.0,11.53,2.4,
2000-02-06,21.3,79,25,13.5,13.55,0.3,
2000-02-07,20.8,70,1,10.4,18.65,0.0,
2000-02-08,20.3,67,3,9.7,18.69,0.0,19.4
2000-02-09,20.9,67,2,14.0,18.71,0.0,18.4
2000-02-10,22.6,68,3,12.3,18.76,0.0,23.8
2000-02-11,23.4,67,33,21.8,14.08,0.8,21.0
2000-02-12,21.8,69,17,10.6,17.2,0.5,
2000-02-13,20.8,61,0,14.5,19.83,0.0,
2000-02-14,20.1,58,4,14.5,20.02,0.0,
2000-02-15,23.3,59,39,13.6,19.67,0.0,
2000-02-16,23.3,63,12,9.2,19.7,0.0,
2000-02-17,24.7,52,0,14.8,20.23,0.0,
2000-02-18,24.3,50,2,9.4,19.91,0.0,24.2
2000-02-19,24.3,46,0,13.5,20.6,0.0,
2000-02-20,25.2,44,5,9.8,20.27,0.0,
2000-02-21,26.1,47,11,10.3,20.2,0.0,
2000-02-22,27.0,41,10,15.0,20.23,0.0,27.4
2000-02-23,25.7,39,0,18.5,21.68,0.0,
2000-02-24,25.5,40,0,22.4,21.64,0.0,
2000-02-25,23.9,38,0,21.1,21.77,0.0,
2000-02-26,25.2,38,0,20.3,21.67,0.0,
2000-02-27,25.9,40,0,18.7,21.79,0.0,25.4
2000-02-28,28.3,44,0,15.0,21.51,0.0,
