datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,21.7,88,52,9.7,10.62,0.0,
2000-01-02,20.4,85,52,15.0,15.22,0.0,
2000-01-03,20.2,74,52,15.5,11.04,0.0,
2000-01-04,22.8,80,8,8.5,14.53,0.0,
2000-01-05,22.7,84,6,7.1,14.97,0.0,
2000-01-06,22.4,88,33,12.5,13.33,0.5,
2000-01-07,17.9,87,95,20.9,3.95,6.1,
2000-01-08,23.8,88,34,10.7,13.95,0.0,
2000-01-09,22.7,89,80,8.5,12.99,0.0,
2000-01-10,20.3,85,88,18.6,6.59,0.9,
2000-01-11,24.8,83,26,15.0,13.22,0.0,
2000-01-12,23.6,88,36,9.7,14.23,0.5,
2000-01-13,18.9,85,100,16.7,3.82,1.9,
2000-01-14,18.8,88,100,16.9,4.44,3.0,
2000-01-15,22.4,86,78,13.1,11.5,1.2,
2000-01-16,19.4,93,97,12.2,6.13,7.2,
2000-01-17,16.3,83,100,14.2,2.61,5.7,
2000-01-18,13.0,80,100,12.9,2.01,4.6,
2000-01-19,12.0,72,99,16.3,3.44,5.0,
2000-01-20,13.1,72,98,21.9,5.08,1.2,
2000-01-21,17.6,69,60,27.9,11.52,0.0,
2000-01-22,22.2,76,22,18.6,15.81,0.0,
2000-01-23,22.5,86,56,7.3,9.23,0.0,
2000-01-24,21.8,95,88,12.4,7.13,10.5,
2000-01-25,16.7,85,100,16.9,2.2,16.0,
2000-01-26,11.1,81,100,17.7,3.07,13.2,
2000-01-27,11.0,70,99,15.4,4.62,5.0,
2000-01-28,14.2,60,82,19.1,9.67,0.0,
2000-01-29,19.7,66,38,16.6,15.94,0.1,
2000-01-30,15.4,85,100,17.1,3.6,11.1,
2000-01-31,12.7,81,100,20.7,3.86,5.0,
2000-02-01,14.2,80,100,17.5,3.82,1.7,
2000-02-02,18.5,85,94,16.9,7.9,0.5,
2000-02-03,19.4,92,100,14.4,6.45,5.4,
2000-02-04,17.9,88,100,19.4,4.8,4.5,
2000-02-05,21.9,93,80,7.8,12.2,2.7,
2000-02-06,15.9,87,100,16.3,4.85,3.5,
2000-02-07,15.1,78,86,14.2,5.8,0.5,
2000-02-08,12.5,67,86,17.4,10.2,0.0,
2000-02-09,14.7,69,87,19.9,8.46,0.0,
2000-02-10,19.6,82,62,9.9,11.05,0.0,
2000-02-11,18.8,88,79,9.4,11.56,0.0,
2000-02-12,20.1,86,89,14.1,8.81,0.0,
2000-02-13,22.6,84,66,13.5,13.48,0.6,
2000-02-14,19.3,90,81,14.3,7.92,4.6,
2000-02-15,13.8,69,94,17.4,6.47,0.6,
2000-02-16,15.6,72,82,22.4,11.13,1.2,
2000-02-17,16.9,85,94,17.7,4.16,2.7,
2000-02-18,23.8,87,51,10.9,17.2,0.4,
2000-02-19,24.8,90,79,10.1,13.47,1.7,
2000-02-20,18.4,90,100,12.3,2.64,21.9,
2000-02-21,15.7,89,100,16.5,2.55,30.7,
2000-02-22,17.4,91,99,15.3,3.05,11.2,
2000-02-23,17.8,92,100,12.8,2.58,21.4,
2000-02-24,15.8,88,100,16.1,2.76,12.0,
2000-02-25,15.1,88,100,15.4,2.71,23.4,
2000-02-26,13.2,69,97,16.1,5.95,2.1,
2000-02-27,14.8,77,97,21.4,3.61,9.0,
2000-02-28,15.9,90,100,16.0,1.75,21.3,
2000-02-29,14.9,84,100,20.3,4.29,6.3,
2000-03-01,17.4,88,100,14.1,3.14,12.4,
2000-03-02,19.1,92,100,9.2,2.66,19.1,
2000-03-03,23.5,88,64,12.2,11.76,2.9,
2000-03-04,24.6,91,51,6.8,17.54,0.0,
2000-03-05,20.6,92,100,11.1,7.22,0.6,
2000-03-06,19.4,85,100,16.7,8.01,0.1,
2000-03-07,18.3,82,100,19.0,7.81,1.4,
2000-03-08,16.8,82,100,18.7,5.29,2.5,
2000-03-09,18.1,84,100,21.0,6.15,3.1,
2000-03-10,23.7,89,84,14.6,10.65,2.0,
2000-03-11,21.6,90,94,9.8,16.03,0.3,
2000-03-12,18.1,88,99,16.0,4.38,8.2,
2000-03-13,22.0,91,96,10.8,11.43,15.1,
2000-03-14,22.3,92,87,11.2,13.37,1.4,
2000-03-15,23.4,92,58,6.9,20.02,0.0,
2000-03-16,17.8,85,88,16.2,5.1,6.9,
2000-03-17,18.9,69,87,19.8,14.54,4.0,
2000-03-18,23.4,82,60,9.7,16.43,1.6,
2000-03-19,19.0,85,88,15.0,10.98,0.0,
2000-03-20,19.0,73,57,18.8,19.72,0.0,
2000-03-21,23.8,81,18,7.9,20.65,0.0,
2000-03-22,23.4,90,67,9.2,16.44,0.2,
2000-03-23,23.1,91,82,13.1,15.83,3.4,
2000-03-24,16.9,71,93,17.1,5.26,2.1,
2000-03-25,19.2,61,49,22.5,21.09,0.0,
2000-03-26,19.9,73,86,13.6,8.78,0.4,
2000-03-27,23.1,82,77,7.7,17.24,0.5,
2000-03-28,26.0,78,28,10.6,26.02,0.0,
2000-03-29,19.1,67,74,17.7,18.44,0.2,
2000-03-30,24.5,75,82,10.1,22.71,0.0,
2000-03-31,24.8,83,96,6.7,16.81,0.6,
2000-04-01,24.2,88,88,13.8,13.94,1.8,
2000-04-02,23.2,90,89,12.0,16.68,0.0,
2000-04-03,24.1,87,92,14.5,10.02,4.4,
2000-04-04,22.6,91,98,8.2,11.87,1.4,
2000-04-05,19.9,86,100,14.3,5.45,8.5,
2000-04-06,20.3,79,85,21.2,11.72,0.4,
2000-04-07,24.7,89,73,8.4,14.54,6.0,
2000-04-08,23.4,92,92,16.8,10.56,1.3,
2000-04-09,26.4,90,31,9.5,20.6,1.3,
2000-04-10,21.5,88,84,17.1,5.45,5.2,
2000-04-11,19.2,74,68,17.0,17.03,0.2,
2000-04-12,23.1,85,69,9.4,15.3,0.1,
2000-04-13,24.5,91,97,8.0,12.76,4.3,
2000-04-14,24.7,90,99,12.8,8.14,4.7,
2000-04-15,24.0,81,97,13.8,5.73,15.3,
2000-04-16,19.3,62,42,15.6,17.73,0.0,
2000-04-17,22.5,66,4,16.7,27.1,0.0,
2000-04-18,24.7,78,19,9.4,24.11,0.0,
2000-04-19,26.6,84,38,10.6,19.71,0.0,
2000-04-20,27.1,88,45,7.8,20.11,0.6,
2000-04-21,25.3,90,72,12.9,13.04,1.6,
2000-04-22,25.8,86,75,9.3,14.35,9.3,
2000-04-23,20.7,92,100,14.6,4.55,25.2,
2000-04-24,23.2,93,98,11.6,7.89,32.2,
2000-04-25,28.3,90,68,9.8,22.17,0.9,
2000-04-26,28.1,83,100,16.9,10.02,12.0,
2000-04-27,20.6,79,90,13.5,7.51,21.2,
2000-04-28,20.2,85,99,15.2,4.5,57.3,
2000-04-29,24.4,91,88,7.4,10.72,13.0,
2000-04-30,27.3,94,85,12.1,15.31,26.1,
2000-05-01,24.2,86,90,13.2,16.86,20.3,
2000-05-02,22.0,93,96,9.2,4.75,16.2,
2000-05-03,23.5,80,75,16.4,13.94,0.1,
2000-05-04,25.2,83,44,15.8,19.79,0.2,
2000-05-05,26.3,85,33,10.2,18.95,1.6,
2000-05-06,26.8,83,35,9.7,22.85,0.0,
2000-05-07,24.9,74,29,17.8,26.0,0.0,
2000-05-08,25.6,69,25,21.9,27.31,0.0,
2000-05-09,25.7,72,31,16.3,24.66,0.0,
2000-05-10,25.9,81,92,9.7,14.31,2.1,
2000-05-11,25.7,75,32,15.5,28.25,0.0,
2000-05-12,27.4,77,59,10.4,24.46,0.2,
2000-05-13,28.1,82,92,7.9,23.9,0.0,
2000-05-14,30.0,74,89,9.2,25.81,0.0,
2000-05-15,29.1,81,29,8.0,26.5,0.2,
2000-05-16,29.0,86,36,12.2,21.64,0.3,
2000-05-17,24.6,86,88,18.4,12.77,2.5,
2000-05-18,25.7,81,79,17.7,18.54,0.0,
2000-05-19,23.9,84,100,13.1,4.99,5.6,
2000-05-20,24.0,75,100,11.9,6.44,0.0,
2000-05-21,24.5,75,99,24.6,11.77,1.8,
2000-05-22,25.9,79,79,24.3,21.03,0.3,
2000-05-23,26.1,77,76,15.8,19.58,0.0,
2000-05-24,28.0,82,39,8.1,21.19,0.6,
2000-05-25,28.9,85,56,5.7,19.5,10.7,
2000-05-26,29.7,88,87,5.4,15.47,16.2,
2000-05-27,29.6,90,100,5.9,13.48,11.0,
2000-05-28,28.4,91,97,6.4,12.32,8.9,
2000-05-29,29.7,87,93,6.0,18.29,8.2,
2000-05-30,30.1,86,76,5.6,21.24,3.8,
2000-05-31,31.0,87,86,11.4,23.79,0.1,
2000-06-01,30.9,86,82,5.5,22.89,1.1,
2000-06-02,29.9,89,80,6.6,18.23,5.5,
2000-06-03,30.2,87,67,7.6,21.32,1.6,
2000-06-04,31.9,83,8,12.7,28.05,0.0,
2000-06-05,30.0,87,75,15.3,21.42,0.7,
2000-06-06,26.8,90,98,8.1,8.64,14.6,
2000-06-07,28.7,89,75,6.0,16.09,14.2,
2000-06-08,31.9,82,82,16.6,23.86,0.6,
2000-06-09,31.0,82,98,12.1,20.01,0.0,
2000-06-10,30.5,86,100,8.0,19.36,1.9,
2000-06-11,27.5,91,100,10.5,12.6,6.2,
2000-06-12,24.6,94,100,14.8,3.29,52.3,
2000-06-13,22.5,88,100,12.4,2.93,50.1,
2000-06-14,25.8,72,51,18.7,26.67,0.0,
2000-06-15,27.1,86,87,15.9,11.99,7.7,
2000-06-16,29.0,88,91,8.2,17.87,25.6,
2000-06-17,28.2,90,99,6.6,11.15,21.1,
2000-06-18,30.0,88,93,5.4,15.65,8.5,
2000-06-19,29.8,89,100,4.0,16.72,19.0,
2000-06-20,29.4,88,98,8.6,16.01,4.1,
2000-06-21,30.4,87,84,8.0,22.04,6.0,
2000-06-22,30.4,86,41,7.6,23.84,8.4,
2000-06-23,30.2,86,82,6.8,23.01,4.5,
2000-06-24,30.3,84,87,8.8,23.04,5.7,
2000-06-25,30.6,86,81,4.8,22.8,4.2,
2000-06-26,31.0,85,92,4.4,24.31,3.9,
2000-06-27,31.5,85,91,6.5,23.9,3.3,
