datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,22.7,67,11,7.1,12.41,0.0,
2000-01-02,22.1,81,84,7.4,10.41,0.0,
2000-01-03,20.8,80,61,17.1,10.42,1.4,
2000-01-04,15.0,94,85,17.7,8.49,11.9,
2000-01-05,11.5,87,83,26.9,5.69,14.6,
2000-01-06,14.3,83,59,18.6,9.92,7.2,
2000-01-07,14.4,86,58,11.1,7.12,1.2,
2000-01-08,16.4,82,50,8.9,10.57,0.2,
2000-01-09,14.9,81,47,14.8,10.07,0.9,
2000-01-10,15.0,76,38,15.5,10.18,0.0,
2000-01-11,14.9,69,26,11.6,12.5,0.0,
2000-01-12,15.0,67,29,9.5,10.31,0.0,
2000-01-13,16.0,65,24,10.8,13.45,0.0,
2000-01-14,16.7,61,90,10.1,11.12,0.0,
2000-01-15,15.6,67,41,11.9,11.07,0.3,
2000-01-16,14.7,69,26,5.5,10.45,0.0,
2000-01-17,15.5,68,10,9.2,12.73,0.0,
2000-01-18,15.1,62,44,31.3,10.97,2.9,
2000-01-19,13.9,80,75,32.2,6.4,12.5,
2000-01-20,15.5,71,52,35.8,11.01,11.3,
2000-01-21,12.2,74,67,19.9,9.16,9.4,
2000-01-22,13.0,81,57,19.1,9.93,5.3,
2000-01-23,14.9,82,56,13.4,10.21,6.1,
2000-01-24,19.6,65,10,11.4,14.44,0.0,
2000-01-25,17.3,66,19,19.1,12.52,0.4,
2000-01-26,14.0,87,65,19.5,8.61,14.5,
2000-01-27,10.0,93,87,23.0,2.54,22.2,
2000-01-28,9.5,87,79,17.0,9.12,2.5,
2000-01-29,13.3,78,42,12.1,11.21,0.2,
2000-01-30,16.4,69,9,9.4,14.75,0.0,
2000-01-31,16.8,67,14,10.5,15.84,0.0,
2000-02-01,15.4,83,49,12.6,11.42,0.1,
2000-02-02,16.2,82,35,13.7,11.31,0.2,
2000-02-03,18.2,75,16,6.8,15.16,0.0,
2000-02-04,18.6,70,22,7.7,16.13,0.0,
2000-02-05,17.1,80,37,13.8,11.52,0.4,
2000-02-06,14.9,68,57,26.5,10.0,1.8,
2000-02-07,15.1,64,8,9.5,16.5,0.0,
2000-02-08,15.7,63,20,5.2,13.5,0.0,
2000-02-09,17.4,66,13,7.6,16.88,0.0,
2000-02-10,18.9,52,76,10.1,14.04,0.0,
2000-02-11,18.8,63,7,9.2,17.09,0.0,
2000-02-12,19.7,70,18,14.2,16.69,0.2,
2000-02-13,14.9,92,90,23.4,11.06,12.9,
2000-02-14,16.4,82,48,14.9,13.91,1.6,
2000-02-15,18.2,75,7,14.5,15.86,0.0,
2000-02-16,13.8,79,49,28.5,10.79,3.5,
2000-02-17,15.3,72,57,14.0,10.89,0.1,
2000-02-18,18.6,71,3,9.0,18.31,0.0,
2000-02-19,18.0,73,16,23.1,17.62,0.5,
2000-02-20,16.2,71,51,12.6,11.46,0.0,
2000-02-21,17.9,72,2,11.7,18.64,0.0,
2000-02-22,17.2,72,13,17.5,17.74,0.0,
2000-02-23,14.6,81,54,15.2,11.31,0.5,
2000-02-24,15.3,69,23,14.8,16.25,0.0,
2000-02-25,15.8,65,17,13.2,14.62,0.0,
2000-02-26,16.7,71,7,14.3,18.59,0.0,
2000-02-27,15.0,74,45,15.6,14.11,0.6,
2000-02-28,15.5,74,35,8.0,13.62,1.1,
2000-02-29,17.6,72,6,12.0,17.57,0.0,
2000-03-01,13.9,79,67,25.4,11.79,12.8,
2000-03-02,14.9,69,59,18.6,13.14,0.5,
2000-03-03,19.2,68,2,6.8,20.41,0.0,
2000-03-04,16.6,78,33,20.6,17.34,1.9,
2000-03-05,17.9,77,50,11.1,14.98,0.0,
2000-03-06,16.9,78,52,15.5,16.3,0.0,
2000-03-07,12.5,71,64,27.0,11.88,3.0,
2000-03-08,13.8,55,54,20.5,18.07,0.0,
2000-03-09,16.3,65,44,10.1,17.63,0.0,
2000-03-10,17.0,68,12,12.2,19.99,0.0,
2000-03-11,17.2,71,24,14.2,19.18,0.0,
2000-03-12,18.1,77,45,12.6,15.01,0.0,
2000-03-13,18.1,73,35,17.1,19.53,0.0,
2000-03-14,17.8,75,46,14.3,13.31,0.3,
2000-03-15,20.8,76,16,12.4,21.12,0.0,
2000-03-16,22.5,69,0,13.2,22.35,0.0,
2000-03-17,21.2,74,0,13.0,22.15,0.0,
2000-03-18,22.5,66,20,21.4,21.81,0.0,
2000-03-19,19.6,67,10,11.5,22.37,0.0,
2000-03-20,19.8,70,26,10.9,22.14,0.0,
2000-03-21,19.6,71,91,14.1,16.18,2.8,
2000-03-22,17.7,74,27,15.6,21.07,0.0,
2000-03-23,14.9,71,45,26.9,17.74,3.6,
2000-03-24,17.0,72,63,23.8,16.55,3.4,
2000-03-25,17.5,75,52,15.6,16.38,0.2,
2000-03-26,19.9,71,5,12.2,23.21,0.0,
2000-03-27,23.6,72,6,9.6,24.15,0.0,
2000-03-28,23.5,66,8,13.6,23.72,0.0,
2000-03-29,22.9,55,15,12.9,24.33,0.0,
2000-03-30,22.2,55,43,11.8,21.69,0.0,
2000-03-31,25.8,63,42,10.2,23.71,0.0,
2000-04-01,31.0,45,61,10.7,22.28,0.0,
2000-04-02,32.4,35,25,12.1,24.58,0.0,
2000-04-03,22.6,71,29,11.2,23.83,0.0,
2000-04-04,23.5,70,56,11.5,23.7,0.0,
2000-04-05,27.9,55,29,10.7,23.85,0.0,
2000-04-06,31.3,49,77,8.1,21.8,0.0,
2000-04-07,20.7,70,64,14.2,23.57,0.0,
2000-04-08,20.2,72,49,20.5,20.36,0.0,
2000-04-09,19.1,72,45,26.8,18.45,1.7,
2000-04-10,19.7,61,22,12.6,24.16,0.0,
2000-04-11,29.7,46,34,10.0,23.86,0.0,
2000-04-12,37.4,27,88,13.0,24.06,0.0,
2000-04-13,32.3,43,67,21.2,24.54,0.0,
2000-04-14,21.4,72,48,14.6,22.61,0.0,
2000-04-15,22.9,74,21,12.1,25.17,0.0,
2000-04-16,27.1,67,23,12.3,25.02,0.0,
2000-04-17,31.5,56,31,6.3,25.52,0.0,
2000-04-18,30.4,45,79,14.1,22.37,0.0,
2000-04-19,25.3,44,9,22.4,26.4,0.0,
2000-04-20,24.3,52,13,20.3,24.22,0.0,
2000-04-21,24.0,48,22,19.9,24.75,0.0,
2000-04-22,20.9,61,18,17.7,23.67,0.0,
2000-04-23,23.3,62,5,14.2,23.84,0.0,
2000-04-24,23.9,67,14,13.8,24.48,0.0,
2000-04-25,24.7,65,3,16.3,26.42,0.0,
2000-04-26,26.9,59,0,16.1,27.46,0.0,
2000-04-27,26.8,65,15,16.8,25.85,0.0,
2000-04-28,24.4,64,8,15.6,26.43,0.0,
2000-04-29,22.2,71,33,16.5,24.05,0.2,
