datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,3.8,70,37,4.8,5.65,0.0,4.0
2000-01-02,5.8,84,50,4.7,5.35,0.0,5.0
2000-01-03,6.7,89,41,6.8,6.09,0.0,9.0
2000-01-04,7.0,89,48,6.1,5.9,0.0,11.0
2000-01-05,7.9,89,51,6.9,5.93,0.0,9.0
2000-01-06,7.8,87,88,8.3,5.19,0.0,10.0
2000-01-07,7.6,90,54,5.8,5.61,0.0,9.0
2000-01-08,6.0,89,41,7.2,5.8,0.0,8.0
2000-01-09,5.2,89,90,6.2,4.32,0.0,6.0
2000-01-10,6.2,89,76,6.1,4.92,0.0,6.0
2000-01-11,5.1,90,59,4.7,3.77,0.0,6.0
2000-01-12,3.9,90,59,5.1,3.04,0.0,3.0
2000-01-13,2.3,82,80,5.6,3.28,0.0,3.0
2000-01-14,4.1,81,71,7.6,4.94,0.0,3.0
2000-01-15,8.2,85,66,7.6,6.58,0.1,9.0
2000-01-16,4.7,89,70,7.2,3.12,0.0,6.0
2000-01-17,8.5,83,48,14.4,6.17,0.0,9.0
2000-01-18,12.5,61,36,14.1,5.41,0.0,21.0
2000-01-19,9.3,54,1,13.6,7.79,0.0,12.0
2000-01-20,7.1,67,24,8.5,7.73,0.0,10.0
2000-01-21,9.8,69,2,13.0,7.82,0.0,12.0
2000-01-22,7.0,73,30,10.9,7.97,0.0,10.0
2000-01-23,8.5,70,41,12.4,8.11,0.0,12.0
2000-01-24,5.2,67,26,13.7,8.36,0.3,5.0
2000-01-25,0.2,50,69,6.9,5.03,0.2,2.0
2000-01-26,1.6,52,30,4.0,7.33,0.0,3.0
2000-01-27,5.2,78,36,5.5,7.86,0.0,7.0
2000-01-28,5.2,81,43,6.5,7.89,0.0,8.0
2000-01-29,3.5,83,84,5.1,4.2,0.0,4.0
2000-01-30,12.3,84,50,9.2,6.06,0.2,15.0
2000-01-31,12.1,83,15,7.9,8.52,0.0,14.0
2000-02-01,9.6,92,64,6.6,7.26,0.0,10.0
2000-02-02,8.5,93,96,4.4,2.7,0.4,9.0
2000-02-03,14.6,69,14,13.1,9.44,0.0,14.0
2000-02-04,11.4,68,8,11.7,9.49,0.0,7.0
2000-02-05,10.9,83,45,5.1,9.08,0.0,10.3
2000-02-06,11.0,83,46,4.6,8.24,0.0,11.0
2000-02-07,11.1,86,77,7.0,7.62,0.0,14.0
2000-02-08,11.0,90,88,4.6,6.9,0.0,11.0
2000-02-09,12.4,66,30,16.1,10.02,0.2,16.0
2000-02-10,11.0,59,15,12.4,10.92,0.0,14.0
2000-02-11,8.0,74,97,6.9,4.64,0.5,9.0
2000-02-12,10.6,74,33,7.1,10.74,0.0,12.0
2000-02-13,11.2,70,17,6.8,10.17,0.0,13.0
2000-02-14,14.5,71,3,8.9,11.61,0.0,14.0
2000-02-15,11.3,81,40,6.6,10.83,0.0,11.0
2000-02-16,8.6,88,79,11.2,5.76,3.5,9.0
2000-02-17,8.6,49,54,13.2,11.13,0.0,10.0
2000-02-18,8.3,53,53,9.4,9.67,0.0,11.0
2000-02-19,11.7,67,7,8.1,12.3,0.0,14.0
2000-02-20,10.7,45,28,21.0,13.11,0.0,14.0
2000-02-21,9.8,42,13,13.2,13.27,0.0,11.0
2000-02-22,8.0,64,33,7.1,11.82,0.0,9.0
2000-02-23,7.7,71,36,8.0,11.87,0.0,9.0
2000-02-24,9.0,76,25,7.4,11.97,0.0,10.3
2000-02-25,11.0,79,34,7.2,12.09,0.0,12.0
2000-02-26,11.8,84,46,7.1,11.27,0.0,12.0
2000-02-27,12.1,82,54,4.5,7.55,0.0,12.0
2000-02-28,10.8,78,53,6.1,6.4,0.0,12.0
2000-02-29,9.9,85,93,7.2,5.14,6.0,8.1
2000-03-01,9.4,90,89,10.7,5.47,6.7,8.0
2000-03-02,11.6,40,16,23.0,15.54,0.0,14.0
2000-03-03,11.8,58,49,8.0,13.83,0.0,13.0
2000-03-04,14.5,60,37,17.8,14.48,0.0,16.0
2000-03-05,10.8,36,0,17.9,15.38,0.0,14.0
2000-03-06,10.6,61,22,6.6,15.19,0.0,13.0
2000-03-07,12.3,71,33,6.8,14.93,0.0,15.0
2000-03-08,15.8,74,20,7.4,15.24,0.0,17.0
2000-03-09,20.5,72,30,9.7,15.83,0.0,23.0
2000-03-10,21.2,62,14,12.0,16.37,0.0,24.0
2000-03-11,17.8,71,12,9.4,16.09,0.0,19.0
2000-03-12,15.9,77,33,8.1,14.21,0.0,17.0
2000-03-13,16.0,68,13,7.9,15.25,0.0,18.0
2000-03-14,16.8,70,30,6.5,16.39,0.0,18.0
2000-03-15,15.8,54,23,22.5,17.1,0.0,19.0
2000-03-16,17.9,40,2,17.0,17.17,0.0,22.0
2000-03-17,19.4,43,35,17.4,17.77,0.0,22.0
2000-03-18,18.8,46,26,12.2,17.91,0.0,14.0
2000-03-19,15.7,61,36,12.4,17.36,0.3,16.0
2000-03-20,11.8,56,58,19.2,14.68,1.1,13.0
2000-03-21,15.0,53,30,6.9,18.79,0.0,16.0
2000-03-22,16.6,56,0,6.5,19.18,0.0,18.0
2000-03-23,16.9,53,59,7.8,17.19,0.0,16.0
2000-03-24,12.7,74,97,5.4,5.62,1.6,11.0
2000-03-25,15.8,77,54,6.1,14.9,3.5,15.0
2000-03-26,12.0,90,94,6.7,4.85,29.4,11.0
2000-03-27,11.7,77,97,8.2,12.82,1.5,10.0
2000-03-28,11.7,74,63,7.7,15.1,5.5,12.0
2000-03-29,9.8,85,93,10.7,10.19,29.7,10.0
2000-03-30,13.1,77,48,8.0,20.59,0.0,14.0
2000-03-31,14.0,68,55,9.8,18.31,3.5,15.0
2000-04-01,14.6,73,54,7.5,20.2,3.9,14.0
2000-04-02,12.5,77,73,7.2,13.72,1.1,14.0
2000-04-03,9.1,88,100,9.2,3.36,22.0,9.0
2000-04-04,10.6,90,96,7.4,5.09,14.6,10.0
2000-04-05,17.1,73,35,8.3,19.19,0.0,18.0
2000-04-06,16.8,72,37,7.2,20.09,0.3,18.0
2000-04-07,13.7,65,32,9.4,19.43,2.0,15.0
2000-04-08,16.4,65,6,7.8,23.0,0.0,18.0
2000-04-09,13.5,68,95,9.2,14.6,2.6,15.0
2000-04-10,12.5,73,88,5.9,11.93,2.9,11.0
2000-04-11,12.0,78,82,7.4,8.77,0.1,13.0
2000-04-12,15.4,84,80,11.4,8.49,17.2,16.0
2000-04-13,16.2,79,86,11.2,11.16,8.4,15.0
2000-04-14,15.5,82,84,9.2,10.41,11.3,17.0
2000-04-15,14.2,90,93,8.9,6.73,23.1,16.0
2000-04-16,13.7,84,92,8.7,7.82,7.2,15.0
2000-04-17,9.6,88,100,13.0,2.09,37.9,9.0
2000-04-18,10.2,84,100,13.7,2.99,26.0,10.0
2000-04-19,19.6,69,50,8.7,20.87,0.3,22.0
2000-04-20,22.0,58,11,11.2,22.37,0.0,24.0
2000-04-21,23.8,64,37,10.5,24.74,0.0,26.0
2000-04-22,22.8,66,18,7.2,24.03,0.0,24.0
2000-04-23,20.4,71,74,9.0,16.06,4.3,21.0
2000-04-24,19.1,71,68,7.6,19.51,20.1,19.0
2000-04-25,20.4,67,5,7.2,25.21,0.0,22.0
2000-04-26,20.4,69,39,7.2,23.12,0.0,22.0
2000-04-27,21.2,69,87,8.3,18.83,0.0,22.0
2000-04-28,15.6,87,97,9.5,4.6,24.9,16.0
2000-04-29,15.3,88,99,8.8,5.54,22.5,14.0
2000-04-30,21.2,70,53,8.8,19.32,0.0,22.0
2000-05-01,23.4,68,16,9.3,25.11,0.0,25.0
2000-05-02,21.6,77,50,10.5,19.56,2.5,23.0
2000-05-03,22.8,73,60,9.4,23.11,0.7,25.0
2000-05-04,21.9,74,53,7.6,20.84,2.4,24.0
2000-05-05,21.0,77,48,7.3,20.26,2.5,22.0
2000-05-06,18.5,83,93,8.4,11.38,7.7,18.0
2000-05-07,17.6,82,92,7.2,8.47,4.1,20.0
2000-05-08,20.1,83,73,7.6,15.3,12.9,20.0
2000-05-09,21.7,78,50,8.2,20.44,0.5,22.0
2000-05-10,21.9,84,74,7.6,17.07,1.6,23.0
2000-05-11,22.2,85,97,8.0,16.55,17.6,24.0
2000-05-12,22.0,82,72,6.2,20.21,13.6,23.0
2000-05-13,23.6,81,63,9.9,22.66,8.4,25.0
2000-05-14,22.7,76,40,8.6,22.81,3.5,24.0
2000-05-15,23.8,72,26,8.2,23.55,0.0,26.0
2000-05-16,25.0,71,43,7.7,26.24,0.0,26.0
2000-05-17,24.5,69,31,9.0,23.57,0.0,26.0
2000-05-18,21.7,78,74,12.4,16.48,16.8,23.0
2000-05-19,21.9,65,28,11.8,28.33,3.4,24.0
2000-05-20,21.7,66,35,11.4,26.72,0.5,24.0
2000-05-21,18.5,72,91,10.2,12.7,0.1,19.0
2000-05-22,22.7,66,34,8.2,28.19,3.9,25.0
2000-05-23,22.2,71,18,6.6,23.45,0.0,24.0
2000-05-24,22.2,67,55,5.9,17.06,0.0,22.0
2000-05-25,23.9,68,42,7.2,21.79,0.0,26.0
2000-05-26,23.6,71,53,8.4,19.67,0.1,25.0
2000-05-27,22.8,71,55,9.7,20.45,0.2,23.0
2000-05-28,21.3,85,87,10.2,13.13,11.1,22.0
2000-05-29,23.4,66,54,12.2,26.43,2.2,26.0
2000-05-30,17.0,64,68,12.7,11.85,3.7,20.0
2000-05-31,24.1,63,65,12.6,26.54,0.0,25.0
2000-06-01,23.7,60,50,10.1,23.66,0.0,25.0
2000-06-02,24.6,67,28,5.2,23.01,0.0,27.0
2000-06-03,26.8,69,45,7.3,24.33,0.0,28.0
2000-06-04,27.8,69,51,7.8,25.33,0.0,30.0
2000-06-05,27.3,65,29,8.3,25.65,0.9,29.0
2000-06-06,25.0,65,56,8.9,21.61,0.3,26.0
2000-06-07,25.2,53,25,14.2,27.02,0.0,27.0
2000-06-08,23.1,63,60,9.0,14.4,1.5,25.0
2000-06-09,26.4,62,17,8.7,24.23,0.0,29.0
2000-06-10,26.5,67,45,10.0,22.3,7.2,29.0
2000-06-11,20.5,85,95,9.0,6.92,24.0,20.0
2000-06-12,27.1,69,76,9.0,21.95,0.5,27.0
2000-06-13,23.7,76,85,11.2,18.27,5.6,26.0
2000-06-14,25.7,80,56,7.3,23.77,0.6,27.0
2000-06-15,28.2,69,28,12.6,25.77,0.0,30.0
2000-06-16,28.3,48,8,11.3,27.06,0.0,31.0
2000-06-17,25.3,60,7,10.7,27.18,0.0,27.0
2000-06-18,24.1,54,19,7.4,26.1,0.0,25.0
2000-06-19,27.4,65,5,7.2,28.96,0.0,28.0
2000-06-20,28.9,62,0,7.1,29.08,0.0,30.0
2000-06-21,28.8,55,2,8.0,29.12,0.0,29.0
2000-06-22,28.0,66,20,8.2,26.05,0.0,29.0
2000-06-23,26.9,72,45,8.1,22.35,6.7,27.0
2000-06-24,24.5,69,60,8.0,22.23,0.2,26.0
2000-06-25,25.5,42,23,15.5,28.39,0.0,27.0
2000-06-26,24.1,59,34,11.6,22.19,0.0,25.0
2000-06-27,25.9,61,35,6.0,21.13,0.0,27.0
2000-06-28,25.6,67,57,8.4,21.7,0.6,27.0
2000-06-29,26.3,66,42,7.5,26.62,0.0,27.0
2000-06-30,25.5,69,52,7.0,20.3,0.9,27.0
2000-07-01,25.3,70,71,4.9,14.28,2.0,27.0
2000-07-02,26.5,73,78,5.1,11.92,2.0,29.0
2000-07-03,27.3,71,62,8.6,18.04,0.3,28.0
2000-07-04,23.6,77,60,15.5,13.43,15.3,31.0
2000-07-05,28.7,56,18,9.1,25.88,0.0,31.0
2000-07-06,29.9,56,7,6.8,27.0,0.0,30.0
2000-07-07,29.1,60,50,10.0,17.64,0.5,30.0
2000-07-08,28.0,50,31,20.4,24.81,0.0,32.0
2000-07-09,25.8,34,34,12.6,26.48,0.0,27.0
2000-07-10,22.3,64,73,5.4,9.69,14.7,22.0
2000-07-11,22.3,78,74,11.4,19.36,48.4,24.0
2000-07-12,22.3,66,40,8.4,25.6,0.9,24.0
2000-07-13,22.5,50,43,12.6,27.44,0.0,25.0
2000-07-14,20.5,65,75,6.3,15.92,1.5,24.0
2000-07-15,22.2,56,32,13.8,25.52,0.2,26.0
2000-07-16,22.3,50,20,9.4,26.79,0.8,24.0
2000-07-17,22.3,60,25,7.9,23.03,0.0,25.0
2000-07-18,24.4,62,26,7.9,24.73,0.0,26.0
2000-07-19,25.9,67,26,5.1,24.3,0.0,27.0
2000-07-20,25.8,66,62,6.0,23.91,0.0,27.0
2000-07-21,26.7,62,17,6.6,25.06,0.0,27.0
2000-07-22,27.0,61,43,7.0,20.41,0.0,28.0
2000-07-23,26.1,64,78,9.2,13.59,2.8,25.0
2000-07-24,22.9,84,98,13.2,7.29,40.1,22.0
2000-07-25,24.1,78,78,6.6,17.47,17.8,26.0
2000-07-26,24.9,79,60,6.9,16.31,11.8,27.0
2000-07-27,26.8,72,40,7.2,23.14,0.0,29.0
2000-07-28,26.3,63,46,12.6,23.03,2.1,29.0
2000-07-29,26.2,44,13,13.6,25.42,0.5,27.0
2000-07-30,26.6,47,8,12.8,26.84,0.0,29.0
2000-07-31,27.3,58,14,6.6,23.68,0.0,28.0
2000-08-01,28.3,61,14,6.8,23.54,0.0,29.0
2000-08-02,29.4,63,44,8.6,21.26,0.0,28.0
2000-08-03,24.1,79,75,8.7,9.55,24.4,23.0
2000-08-04,19.5,90,93,8.0,7.23,39.1,20.0
2000-08-05,19.6,85,94,10.7,10.54,46.4,21.0
2000-08-06,21.8,83,72,7.1,18.09,5.9,23.0
2000-08-07,25.8,69,16,9.8,25.15,0.0,28.0
2000-08-08,26.4,74,37,7.6,22.82,0.0,29.0
2000-08-09,25.2,78,48,6.8,22.57,1.6,27.0
2000-08-10,26.4,81,40,7.2,21.17,0.0,28.0
2000-08-11,27.1,80,36,6.5,20.76,0.2,29.0
2000-08-12,26.1,81,68,8.7,16.47,3.4,29.0
2000-08-13,25.8,84,78,7.0,14.36,4.2,26.0
2000-08-14,29.1,75,35,8.4,23.45,0.0,29.2
2000-08-15,29.3,78,29,7.9,21.22,0.0,30.0
2000-08-16,29.4,74,28,8.1,21.54,0.0,31.0
2000-08-17,29.4,67,36,8.9,20.01,0.0,31.0
2000-08-18,28.4,71,67,9.8,16.57,0.0,31.0
2000-08-19,29.4,65,42,15.1,20.75,0.9,31.0
2000-08-20,30.1,66,14,8.3,22.51,0.0,32.0
2000-08-21,28.9,69,34,9.4,18.19,0.1,28.0
2000-08-22,28.9,64,14,8.4,21.35,0.0,30.0
2000-08-23,29.8,65,21,7.9,20.6,0.0,31.0
2000-08-24,30.8,67,32,7.0,21.96,0.0,31.0
2000-08-25,33.0,57,2,9.4,23.58,0.0,33.0
2000-08-26,30.5,61,33,8.6,21.82,0.0,31.0
2000-08-27,24.5,64,63,9.4,13.45,2.3,26.0
2000-08-28,26.1,66,43,7.1,21.07,0.0,27.0
2000-08-29,24.8,61,64,7.2,13.81,1.8,27.0
2000-08-30,20.8,81,82,6.5,6.81,9.7,23.0
2000-08-31,18.1,93,91,8.9,5.28,23.8,21.0
2000-09-01,25.5,73,3,7.3,21.26,0.0,27.0
2000-09-02,23.5,74,40,11.0,13.87,0.3,26.0
2000-09-03,22.9,55,40,12.1,19.61,0.1,27.0
2000-09-04,22.6,59,29,9.7,19.82,0.3,26.0
2000-09-05,23.0,60,1,7.4,21.71,0.0,25.0
2000-09-06,22.7,65,65,5.6,17.95,0.2,24.0
2000-09-07,25.4,56,47,16.3,19.81,0.0,27.0
2000-09-08,23.0,56,8,9.5,20.2,0.0,25.0
2000-09-09,24.1,64,2,6.5,19.51,0.0,25.0
2000-09-10,25.9,67,19,6.8,18.8,0.0,26.0
2000-09-11,26.3,66,42,6.5,17.28,0.0,27.0
2000-09-12,26.5,66,74,7.2,16.92,0.0,27.0
2000-09-13,26.6,67,58,7.2,15.94,0.0,27.0
2000-09-14,26.4,67,79,4.9,15.6,0.0,27.0
2000-09-15,26.0,69,55,5.8,11.43,0.0,27.0
2000-09-16,22.8,84,74,13.4,6.97,16.7,26.0
2000-09-17,24.9,62,18,12.5,19.12,0.0,26.0
2000-09-18,20.4,84,58,6.0,8.33,15.8,22.0
2000-09-19,21.1,88,69,7.6,9.24,20.5,22.0
2000-09-20,17.3,93,99,12.6,2.34,71.7,24.0
2000-09-21,21.2,70,56,11.7,13.5,49.0,23.0
2000-09-22,22.3,61,6,12.0,17.78,0.0,26.0
2000-09-23,21.5,76,3,6.6,16.33,0.0,23.0
2000-09-24,18.9,80,56,5.6,6.49,0.1,22.0
2000-09-25,21.0,78,58,5.1,14.52,0.0,23.0
2000-09-26,21.3,83,66,4.3,8.65,0.0,24.0
2000-09-27,21.8,83,56,6.5,9.96,0.0,24.0
2000-09-28,21.5,82,67,7.8,7.5,4.7,23.0
2000-09-29,19.7,89,86,9.5,6.2,20.7,21.2
2000-09-30,16.2,92,100,11.2,1.01,92.8,18.0
2000-10-01,17.1,92,99,9.1,4.13,20.4,17.0
2000-10-02,17.6,92,88,6.8,8.49,6.3,19.0
2000-10-03,20.6,68,53,12.6,15.17,0.2,23.0
2000-10-04,22.4,71,61,7.1,13.12,0.0,24.0
2000-10-05,20.5,79,59,4.9,9.36,0.1,22.0
2000-10-06,18.6,79,84,13.3,9.55,4.6,21.0
2000-10-07,17.8,42,8,14.1,15.56,0.0,20.0
2000-10-08,17.5,52,44,11.9,14.62,0.0,20.0
2000-10-09,17.7,75,54,7.2,12.46,0.0,20.0
2000-10-10,12.6,89,100,7.6,1.48,14.8,13.0
2000-10-11,12.9,95,100,15.0,1.1,60.3,13.0
2000-10-12,15.0,97,100,10.0,1.44,36.6,14.0
2000-10-13,18.4,93,100,13.9,2.35,66.0,20.0
2000-10-14,17.3,91,98,10.0,1.64,43.3,20.0
2000-10-15,16.0,90,99,11.0,1.29,64.5,16.0
2000-10-16,14.1,91,98,6.9,2.23,28.6,14.0
2000-10-17,17.1,83,72,7.3,10.07,6.1,16.0
2000-10-18,17.6,84,67,8.0,10.9,0.0,19.0
2000-10-19,15.9,87,67,5.9,8.45,0.0,18.0
2000-10-20,16.5,86,74,5.6,6.64,0.0,18.0
2000-10-21,15.1,85,80,5.9,2.83,0.2,18.0
2000-10-22,16.1,83,51,5.1,7.73,0.0,16.0
2000-10-23,17.1,85,34,6.8,11.0,0.0,18.0
2000-10-24,16.8,88,54,6.9,9.75,0.0,19.0
2000-10-25,14.5,92,96,4.6,1.5,0.3,17.0
2000-10-26,15.8,89,75,4.6,2.97,0.3,16.0
2000-10-27,17.6,89,55,6.9,10.38,0.0,18.0
2000-10-28,15.9,87,73,6.2,5.8,0.0,16.0
2000-10-29,14.2,89,79,5.6,3.84,0.4,15.0
2000-10-30,13.3,92,99,8.6,1.81,17.2,15.0
2000-10-31,14.5,95,99,19.2,1.4,56.2,15.0
2000-11-01,14.7,77,14,10.4,10.67,0.2,17.0
2000-11-02,12.5,90,90,9.0,3.25,15.4,12.0
