datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,27.7,89,99,17.4,18.19,2.9,31.5
2000-01-02,26.9,90,100,13.0,14.73,12.2,31.0
2000-01-03,26.6,91,100,15.1,12.29,9.3,30.0
2000-01-04,25.8,90,94,12.8,9.73,14.3,31.0
2000-01-05,27.0,90,100,14.0,13.77,32.3,29.0
2000-01-06,25.9,90,100,5.6,5.85,23.0,28.0
2000-01-07,27.3,86,99,12.1,11.97,1.6,28.0
2000-01-08,28.7,85,77,18.4,19.75,2.9,31.0
2000-01-09,28.5,85,56,17.7,21.33,1.1,31.0
2000-01-10,26.6,89,94,14.6,14.36,11.7,26.0
2000-01-11,28.3,86,78,11.8,19.51,7.5,30.0
2000-01-12,28.2,88,83,12.3,17.94,8.0,31.0
2000-01-13,28.0,88,99,16.9,16.88,4.6,27.0
2000-01-14,28.6,83,72,20.1,20.6,0.1,31.0
2000-01-15,28.2,84,99,15.6,20.43,0.6,31.0
2000-01-16,28.3,82,94,15.9,18.0,2.6,31.0
2000-01-17,26.8,88,100,13.6,14.86,22.0,30.0
2000-01-18,26.8,89,98,15.6,10.89,18.1,30.0
2000-01-19,27.3,88,83,17.6,18.63,4.4,30.0
2000-01-20,27.0,88,95,19.7,17.02,12.9,30.0
2000-01-21,27.3,83,100,27.4,15.47,1.8,29.0
2000-01-22,26.8,83,98,20.6,16.19,5.2,30.0
2000-01-23,27.2,85,99,19.0,14.98,1.1,31.0
2000-01-24,27.2,88,99,18.0,14.95,5.2,30.0
2000-01-25,26.4,90,99,14.5,12.07,17.9,26.0
2000-01-26,28.0,86,97,28.5,19.76,8.1,28.0
2000-01-27,28.0,83,86,23.3,21.48,0.8,30.0
2000-01-28,27.3,84,94,27.9,16.99,3.2,29.0
2000-01-29,25.5,91,100,23.6,6.11,12.6,27.0
2000-01-30,25.7,91,100,22.4,7.71,14.5,27.0
2000-01-31,26.8,89,99,23.6,15.11,4.2,28.0
2000-02-01,26.9,86,100,27.0,9.94,3.8,27.0
2000-02-02,27.1,85,99,21.7,14.32,7.5,29.0
2000-02-03,27.8,83,93,25.2,18.32,0.5,29.0
2000-02-04,28.3,81,91,19.1,22.5,0.4,31.0
2000-02-05,28.2,82,91,14.8,17.01,0.0,30.0
2000-02-06,28.7,82,85,16.2,21.61,0.1,31.0
2000-02-07,28.8,83,89,12.3,20.21,0.8,31.0
2000-02-08,27.1,87,100,12.6,15.7,8.4,30.0
2000-02-09,28.4,83,81,19.5,22.52,0.0,31.0
2000-02-10,28.1,82,100,17.8,18.43,0.9,29.0
2000-02-11,28.5,82,89,18.5,21.76,0.2,31.0
2000-02-12,28.3,82,96,16.3,18.09,0.4,30.0
2000-02-13,28.3,83,79,12.3,21.74,1.3,31.0
2000-02-14,28.9,86,99,12.3,20.35,6.0,31.0
2000-02-15,27.9,88,93,17.3,21.0,6.3,31.0
2000-02-16,28.4,86,85,18.1,20.19,2.1,31.0
2000-02-17,28.8,86,72,15.4,20.74,8.7,31.0
2000-02-18,29.0,85,84,16.9,18.4,3.6,31.0
2000-02-19,28.7,85,94,15.0,15.96,2.4,30.0
2000-02-20,28.6,85,93,12.9,13.68,0.0,31.0
2000-02-21,29.2,86,82,10.6,19.98,3.1,30.0
2000-02-22,28.1,87,77,9.9,20.33,28.4,30.0
2000-02-23,28.2,88,99,9.8,17.65,22.7,31.0
2000-02-24,28.4,87,91,8.2,19.72,31.5,31.0
2000-02-25,28.3,88,100,16.3,16.61,8.8,29.0
2000-02-26,28.1,87,92,16.9,19.42,5.9,31.0
2000-02-27,28.0,86,100,18.7,17.3,2.4,31.0
2000-02-28,28.5,86,88,15.5,16.17,1.5,31.0
2000-02-29,29.2,85,92,14.3,21.63,1.5,31.5
2000-03-01,29.2,86,90,16.0,22.13,1.3,31.0
2000-03-02,29.2,84,71,18.3,21.21,1.7,32.0
2000-03-03,29.4,85,82,20.4,21.99,2.0,32.0
2000-03-04,29.9,82,76,18.6,22.74,0.0,32.0
2000-03-05,29.8,82,60,13.1,21.56,0.6,32.0
2000-03-06,30.1,83,87,13.2,21.18,0.0,32.0
2000-03-07,29.8,83,62,12.5,23.06,0.9,32.0
2000-03-08,29.9,83,21,11.8,23.11,1.0,33.0
2000-03-09,29.7,85,43,12.4,22.74,5.4,32.2
2000-03-10,29.4,83,54,14.5,22.48,3.6,31.0
2000-03-11,28.9,85,53,7.6,19.86,7.0,32.0
2000-03-12,28.5,86,98,9.6,15.24,7.0,28.2
2000-03-13,30.1,83,93,10.0,23.82,5.4,33.0
2000-03-14,29.2,86,82,9.4,20.16,8.8,31.1
2000-03-15,29.0,85,100,10.1,18.86,5.7,32.0
2000-03-16,29.2,86,79,12.2,19.81,7.1,31.0
2000-03-17,29.4,86,82,11.9,21.41,10.0,31.0
2000-03-18,29.3,85,92,16.1,20.68,27.7,31.0
2000-03-19,29.6,85,96,11.5,20.11,7.4,32.0
2000-03-20,28.3,87,92,9.8,16.9,4.8,30.0
2000-03-21,28.7,85,90,11.0,20.73,1.5,29.0
2000-03-22,28.5,86,94,10.9,19.22,4.7,27.0
