datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2021-01-01,,,,,,,,,,,,,,40,53,20.1,30.73,0.0,0.0172,0.9999,32.5,34.0,34.0,station
2021-01-02,,,,,,,,,,,,,,49,4,20.2,31.2,0.0,0.0344,0.9994,34.1,34.0,34.0,station
2021-01-03,,,,,,,,,,,,,,48,69,20.2,31.26,0.0,0.0516,0.9987,31.7,32.0,32.0,station
2021-01-04,,,,,,,,,,,,,,60,81,20.4,24.97,0.2,0.0688,0.9976,30.5,32.0,32.0,station
2021-01-05,,,,,,,,,,,,,,79,52,16.8,20.23,15.5,0.0859,0.9963,30.2,31.0,31.0,station
2021-01-06,,,,,,,,,,,,,,75,62,27.2,17.88,4.3,0.103,0.9947,24.8,24.0,24.0,station
2021-01-07,,,,,,,,,,,,,,60,11,25.4,31.02,0.0,0.1201,0.9928,30.9,33.0,33.0,station
2021-01-08,,,,,,,,,,,,,,53,59,17.4,28.3,0.0,0.1372,0.9905,28.4,31.0,31.0,station
2021-01-09,,,,,,,,,,,,,,65,65,20.5,23.06,2.0,0.1542,0.988,28.5,29.0,29.0,station
2021-01-10,,,,,,,,,,,,,,62,28,20.3,29.81,0.0,0.1712,0.9852,32.8,34.0,34.0,station
2021-01-11,,,,,,,,,,,,,,77,78,23.2,10.42,23.7,0.1881,0.9821,28.5,25.0,25.0,station
2021-01-12,,,,,,,,,,,,,,44,10,28.6,32.55,0.0,0.205,0.9788,25.0,25.0,25.0,station
2021-01-13,,,,,,,,,,,,,,44,4,20.2,32.22,0.0,0.2218,0.9751,27.4,27.0,27.0,station
2021-01-14,,,,,,,,,,,,,,53,8,24.5,31.71,0.0,0.2385,0.9711,29.1,29.0,29.0,station
2021-01-15,,,,,,,,,,,,,,70,81,26.4,11.99,4.3,0.2552,0.9669,24.9,25.0,25.0,station
