datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,22.1,72,32,28.8,12.17,0.0,23.3
2000-01-02,21.3,86,74,28.3,5.49,1.9,21.7
2000-01-03,18.6,52,27,34.5,13.15,2.2,20.6
2000-01-04,8.1,50,16,32.0,13.4,0.0,8.3
2000-01-05,12.1,46,0,26.0,13.53,0.0,13.3
2000-01-06,16.4,75,36,13.7,10.61,0.0,17.2
2000-01-07,12.6,88,90,13.8,2.49,16.1,13.3
2000-01-08,12.9,84,82,18.4,4.55,5.1,11.7
2000-01-09,19.9,61,0,28.3,13.42,0.0,21.1
2000-01-10,19.4,40,0,16.9,13.66,0.0,22.2
2000-01-11,20.2,55,0,15.5,13.62,0.0,21.7
2000-01-12,24.5,81,26,34.0,9.9,0.0,26.7
2000-01-13,17.5,43,1,30.3,13.84,0.0,18.9
2000-01-14,14.5,48,10,14.5,13.9,0.0,15.0
2000-01-15,20.2,60,79,32.7,11.87,0.0,20.0
2000-01-16,22.4,72,49,27.2,8.4,0.0,22.8
2000-01-17,23.8,69,36,29.3,11.71,0.0,24.4
2000-01-18,21.9,76,64,18.0,11.93,0.0,17.8
2000-01-19,23.9,75,18,21.1,13.19,0.0,22.8
2000-01-20,14.5,42,57,23.6,14.05,0.0,13.3
2000-01-21,15.5,52,50,24.8,13.46,0.0,13.9
2000-01-22,21.5,70,94,27.9,10.07,0.3,20.6
2000-01-23,15.8,74,73,19.2,10.73,0.0,17.2
2000-01-24,9.5,55,48,20.3,14.31,0.0,8.3
2000-01-25,10.3,51,51,24.1,14.37,0.0,10.0
2000-01-26,6.4,40,97,20.9,7.83,0.8,3.9
2000-01-27,2.9,86,100,23.1,1.99,26.7,1.1
2000-01-28,1.1,75,99,17.7,7.28,0.0,-0.6
2000-01-29,2.7,71,77,16.1,11.37,0.0,0.0
2000-01-30,6.4,78,52,9.7,14.86,0.0,8.3
2000-01-31,11.0,70,74,14.3,14.21,0.1,11.1
2000-02-01,12.9,65,81,13.1,9.73,0.0,12.8
2000-02-02,11.5,74,22,12.6,15.21,0.0,11.7
2000-02-03,19.1,66,0,16.6,16.04,0.0,21.1
2000-02-04,10.8,50,3,25.2,16.14,0.0,11.7
2000-02-05,9.6,61,43,11.5,15.48,0.0,10.0
2000-02-06,16.6,66,46,22.9,14.32,0.0,16.7
2000-02-07,19.5,76,25,13.3,14.53,0.0,18.9
2000-02-08,18.2,55,0,14.5,16.67,0.0,19.4
2000-02-09,23.5,56,59,29.9,15.14,0.0,22.8
2000-02-10,25.7,71,53,27.1,15.83,0.0,26.7
2000-02-11,18.5,73,52,18.8,14.94,0.0,16.7
2000-02-12,16.9,71,17,15.5,16.5,0.0,15.6
2000-02-13,22.9,61,50,28.0,16.14,0.0,23.9
2000-02-14,16.0,61,40,12.6,17.17,0.0,16.7
2000-02-15,26.5,60,49,25.8,15.96,0.0,26.7
2000-02-16,21.4,86,70,18.7,5.81,0.5,20.6
2000-02-17,25.7,81,70,32.2,9.91,1.5,26.1
2000-02-18,20.8,64,42,31.3,16.75,1.9,22.2
2000-02-19,13.5,55,21,20.0,18.32,0.0,13.3
2000-02-20,17.0,65,39,11.3,11.42,0.0,18.3
2000-02-21,21.3,60,55,30.4,12.85,0.0,21.1
2000-02-22,22.9,71,73,30.9,6.75,3.4,22.2
2000-02-23,23.2,62,21,31.6,18.99,16.6,24.4
2000-02-24,23.9,72,64,31.6,7.53,0.0,24.4
2000-02-25,24.5,77,67,38.2,8.49,10.6,26.1
2000-02-26,18.7,56,44,30.1,17.76,17.9,18.9
2000-02-27,19.9,58,0,12.2,19.73,0.0,20.6
2000-02-28,20.5,54,41,25.5,19.19,0.0,21.7
2000-02-29,25.3,64,45,29.2,13.63,0.7,26.7
2000-03-01,20.8,58,27,20.1,19.94,0.0,21.7
2000-03-02,22.0,75,63,30.7,7.65,12.5,23.9
2000-03-03,16.5,65,54,26.9,15.09,0.3,15.0
2000-03-04,15.5,69,8,12.8,20.46,0.0,16.7
2000-03-05,19.3,69,32,19.9,16.06,0.0,19.4
2000-03-06,22.2,77,80,22.0,8.81,0.0,22.8
2000-03-07,24.3,77,77,32.1,7.01,0.0,25.6
2000-03-08,23.2,57,62,19.5,20.2,8.3,25.6
2000-03-09,21.8,60,32,14.8,21.6,0.0,22.2
2000-03-10,16.7,75,55,26.2,7.96,18.4,16.1
2000-03-11,12.9,58,14,28.1,22.03,0.0,13.3
2000-03-12,15.3,66,5,11.4,22.13,0.0,16.1
2000-03-13,19.8,68,48,17.9,21.11,0.0,20.6
2000-03-14,20.1,69,97,15.3,12.29,0.4,17.8
2000-03-15,21.8,79,60,12.6,13.69,0.0,22.2
2000-03-16,22.4,83,80,28.6,13.1,1.1,21.7
2000-03-17,9.7,83,86,21.3,6.04,19.7,8.3
2000-03-18,21.3,79,49,25.2,7.87,0.2,21.7
2000-03-19,16.4,58,41,28.7,21.18,0.0,17.8
2000-03-20,21.6,60,23,29.2,23.22,0.0,23.3
2000-03-21,17.8,72,99,23.8,5.57,5.7,19.4
2000-03-22,23.4,81,95,26.2,9.79,8.5,23.3
2000-03-23,22.2,71,76,30.8,12.7,7.0,20.6
2000-03-24,26.8,69,69,17.0,21.56,0.0,28.3
2000-03-25,26.8,79,93,18.1,17.49,7.0,28.3
2000-03-26,27.4,79,35,18.9,16.77,1.9,27.8
2000-03-27,22.4,64,2,20.6,23.99,0.0,24.4
2000-03-28,27.5,68,22,21.8,22.93,2.2,27.2
2000-03-29,26.4,72,41,23.2,22.67,5.4,25.6
2000-03-30,17.6,70,44,19.2,21.46,0.0,15.0
2000-03-31,20.1,76,65,18.4,17.89,0.2,19.0
2000-04-01,19.7,82,100,15.6,6.79,10.7,19.0
2000-04-02,17.6,84,99,17.2,6.84,13.4,14.4
2000-04-03,16.4,68,54,30.8,20.68,0.3,15.0
2000-04-04,18.6,54,0,18.0,25.7,0.0,20.0
2000-04-05,24.4,54,0,31.9,25.6,0.0,25.6
2000-04-06,26.4,66,2,29.9,25.04,0.0,27.2
2000-04-07,30.7,62,6,37.5,23.92,0.0,30.0
2000-04-08,16.4,42,14,28.6,26.83,0.0,16.1
2000-04-09,19.8,54,53,25.1,25.63,0.0,21.1
2000-04-10,22.5,69,94,36.8,13.68,0.1,22.2
2000-04-11,23.1,84,95,19.9,10.59,13.4,25.0
2000-04-12,17.4,91,99,20.2,2.77,19.3,15.6
2000-04-13,17.7,75,88,9.3,14.77,0.0,18.9
2000-04-14,23.2,77,20,16.8,22.83,0.0,18.3
2000-04-15,21.9,80,66,25.7,12.4,0.4,24.4
2000-04-16,24.8,77,52,25.8,20.19,0.4,20.6
2000-04-17,23.0,71,41,12.6,16.79,0.0,23.9
2000-04-18,28.5,76,36,26.6,21.26,0.0,29.4
2000-04-19,29.3,72,80,31.8,18.87,0.0,27.2
2000-04-20,24.3,45,6,28.7,27.74,0.0,25.0
2000-04-21,22.6,58,17,18.1,27.61,0.0,23.9
2000-04-22,25.6,59,75,25.1,24.83,0.0,25.6
2000-04-23,30.1,55,10,29.6,25.47,0.0,30.0
2000-04-24,23.8,62,23,23.7,20.46,0.0,25.0
2000-04-25,25.7,64,12,11.0,26.54,0.0,26.7
2000-04-26,27.8,61,24,11.5,26.95,0.0,28.9
2000-04-27,26.6,61,76,18.4,22.06,0.1,22.2
2000-04-28,25.0,53,6,14.8,27.27,0.0,25.6
2000-04-29,28.2,60,77,19.5,20.48,0.4,27.8
2000-04-30,26.8,80,89,35.0,12.52,6.2,25.0
2000-05-01,24.9,74,89,25.3,16.3,6.8,23.3
2000-05-02,23.8,63,44,13.1,24.34,0.0,23.9
2000-05-03,22.6,86,55,10.9,15.34,20.3,23.3
2000-05-04,23.4,86,77,13.2,13.36,21.3,25.0
2000-05-05,26.4,86,81,26.1,14.98,2.7,25.6
2000-05-06,28.7,75,46,40.0,16.61,0.0,29.4
2000-05-07,30.0,71,21,33.8,25.44,0.0,30.6
2000-05-08,29.9,71,20,31.9,26.4,0.0,31.7
2000-05-09,25.1,76,63,31.7,12.21,3.3,25.6
2000-05-10,28.4,79,55,24.6,11.67,0.0,29.4
2000-05-11,31.3,73,45,34.9,18.71,0.0,32.8
2000-05-12,32.5,72,70,33.0,20.9,1.6,34.4
2000-05-13,25.4,47,36,26.2,29.71,0.2,27.2
2000-05-14,24.6,52,3,16.6,29.02,0.0,26.1
2000-05-15,27.9,65,43,23.4,23.9,0.0,29.4
2000-05-16,30.3,71,89,32.3,17.87,0.3,31.1
2000-05-17,30.5,65,89,37.5,25.17,0.0,31.7
2000-05-18,29.9,76,59,33.1,18.51,23.2,31.1
2000-05-19,21.3,82,99,14.8,7.98,38.7,20.0
2000-05-20,25.8,73,57,13.2,25.64,6.5,27.2
2000-05-21,28.5,72,13,13.2,26.46,0.0,31.1
2000-05-22,32.0,68,5,25.6,28.27,0.0,34.4
2000-05-23,32.0,70,1,29.7,28.54,0.0,35.0
2000-05-24,32.8,72,14,29.2,27.72,0.0,35.0
2000-05-25,31.5,74,75,30.7,17.65,0.0,33.9
