datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,7.7,75,66,22.6,6.45,0.0,8.3
2000-01-02,14.9,83,73,33.2,6.89,2.5,15.6
2000-01-03,3.3,91,99,20.5,1.8,7.8,3.3
2000-01-04,0.9,73,95,24.7,4.34,3.0,-1.1
2000-01-05,-2.5,66,50,22.4,8.25,0.0,-3.3
2000-01-06,3.2,68,6,22.0,8.79,0.0,5.0
2000-01-07,-2.1,58,30,19.4,8.88,0.0,-1.7
2000-01-08,7.8,66,34,25.7,8.59,0.0,6.1
2000-01-09,4.7,97,100,14.2,2.47,5.1,5.0
2000-01-10,6.9,81,72,31.8,6.46,3.5,7.2
2000-01-11,3.7,55,64,28.4,6.9,0.0,2.2
2000-01-12,1.4,64,86,21.4,7.04,0.0,1.1
2000-01-13,-0.1,66,59,23.8,8.28,1.0,0.6
2000-01-14,-2.3,54,46,21.3,6.08,0.0,-2.2
2000-01-15,6.2,61,69,20.5,7.98,0.0,5.6
2000-01-16,1.8,67,93,25.8,6.66,0.0,2.2
2000-01-17,-4.1,53,91,20.6,4.35,1.2,-3.9
2000-01-18,2.2,65,20,19.1,9.96,0.0,0.0
2000-01-19,-1.8,67,78,19.8,4.31,5.8,-2.2
2000-01-20,-4.2,73,54,27.2,10.47,1.0,-7.2
2000-01-21,-12.0,68,28,14.6,10.44,0.0,-11.1
2000-01-22,-4.1,79,94,14.3,5.4,2.8,-2.8
2000-01-23,-3.6,77,41,19.9,9.98,0.0,-2.8
2000-01-24,-11.2,71,17,15.5,11.21,0.0,-9.4
2000-01-25,-6.8,73,72,24.2,8.76,0.0,-5.6
2000-01-26,-7.8,75,40,20.5,9.77,0.0,-4.4
2000-01-27,-4.3,79,69,13.3,7.83,0.0,-3.3
2000-01-28,-3.2,83,87,11.3,10.36,0.0,-1.7
2000-01-29,-3.6,79,98,19.1,6.94,3.5,0.6
2000-01-30,-2.0,87,91,17.0,5.6,3.5,-2.2
2000-01-31,-6.1,79,26,24.1,11.89,0.0,-4.0
2000-02-01,-2.6,78,65,16.9,7.04,0.0,-0.7
2000-02-02,-2.4,80,73,24.6,10.24,1.4,-0.6
2000-02-03,2.4,82,65,22.5,9.32,0.7,2.8
2000-02-04,-2.3,79,65,27.5,8.16,0.2,-0.6
2000-02-05,-2.3,80,47,23.6,12.62,0.0,-2.8
2000-02-06,-0.5,85,93,15.4,7.83,0.0,0.6
2000-02-07,0.2,83,21,15.2,10.45,0.0,2.8
2000-02-08,-0.5,83,26,24.6,13.11,0.0,0.6
2000-02-09,5.5,83,75,27.2,12.61,0.0,8.3
2000-02-10,2.7,93,100,21.9,6.98,0.0,4.4
2000-02-11,-3.9,71,48,22.3,12.89,0.0,-1.7
2000-02-12,0.8,65,68,12.2,12.62,0.0,1.1
2000-02-13,-0.5,84,99,22.9,3.53,3.3,-0.6
2000-02-14,-1.3,80,92,18.6,6.81,0.0,0.0
2000-02-15,5.0,76,61,24.9,10.77,0.2,5.6
2000-02-16,4.3,69,60,25.4,11.26,0.0,2.8
2000-02-17,1.3,66,80,17.8,9.18,1.1,1.7
2000-02-18,-1.5,89,100,28.3,3.41,19.5,-0.6
2000-02-19,-0.9,82,65,19.9,11.84,0.0,0.0
2000-02-20,-0.6,82,47,18.5,12.95,0.0,-1.1
2000-02-21,5.5,77,49,22.5,13.83,0.0,7.8
2000-02-22,14.5,80,80,19.2,13.71,0.0,14.4
2000-02-23,16.7,65,92,22.7,12.01,0.2,18.3
2000-02-24,14.1,88,76,24.6,6.5,10.1,13.3
2000-02-25,20.7,85,90,29.5,11.01,0.0,22.2
2000-02-26,18.0,83,96,33.5,7.3,7.1,17.2
