datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,23.2,73,2,11.8,15.62,0.0,24.9
2000-01-02,24.8,72,9,12.7,15.15,0.0,26.3
2000-01-03,22.4,70,1,15.8,15.95,0.0,23.5
2000-01-04,22.2,80,13,15.8,14.99,0.0,25.0
2000-01-05,24.0,82,14,15.1,14.2,0.0,26.0
2000-01-06,23.5,85,45,8.1,10.14,0.0,26.0
2000-01-07,21.2,74,85,15.2,8.49,0.0,20.0
2000-01-08,21.2,79,32,13.5,13.84,0.0,23.0
2000-01-09,24.0,81,66,7.6,12.14,0.0,23.1
2000-01-10,23.4,84,32,18.4,14.6,0.0,26.0
2000-01-11,22.0,83,89,17.7,6.53,0.6,24.0
2000-01-12,24.4,81,54,13.4,11.41,0.5,26.9
2000-01-13,22.7,70,66,14.4,13.56,0.3,21.2
2000-01-14,21.1,77,90,18.4,7.71,2.7,20.0
2000-01-15,23.2,79,40,18.9,14.24,0.0,22.0
2000-01-16,22.1,78,65,19.3,10.98,0.0,22.0
2000-01-17,13.8,68,90,20.9,5.13,0.0,17.0
2000-01-18,15.6,60,79,24.8,13.38,1.0,12.1
2000-01-19,15.5,50,25,24.8,16.06,0.0,14.2
2000-01-20,17.6,52,1,20.0,17.77,0.0,18.0
2000-01-21,18.3,61,57,17.8,9.76,0.0,18.0
2000-01-22,20.1,69,81,12.5,8.16,3.6,21.0
2000-01-23,20.6,91,99,11.8,4.19,12.0,22.0
2000-01-24,18.8,95,100,28.2,1.41,38.7,20.0
2000-01-25,11.7,82,100,30.4,1.41,11.2,16.0
2000-01-26,12.0,59,55,29.1,13.39,0.0,12.0
2000-01-27,12.3,51,5,27.5,18.18,0.0,13.0
2000-01-28,13.8,55,16,20.6,17.36,0.0,16.0
2000-01-29,17.5,60,26,23.5,16.2,0.0,19.1
2000-01-30,15.8,59,62,27.5,18.05,0.0,17.0
2000-01-31,11.2,65,88,23.2,7.24,3.1,12.0
2000-02-01,11.9,77,78,23.4,7.65,2.8,12.0
2000-02-02,11.0,73,98,19.6,4.4,1.5,13.0
2000-02-03,14.9,78,95,15.2,7.75,1.3,17.9
2000-02-04,16.9,80,90,13.5,6.28,0.2,20.4
2000-02-05,21.0,78,30,19.6,17.9,0.0,23.2
2000-02-06,19.6,70,21,19.9,18.76,0.0,20.1
2000-02-07,18.9,65,39,18.9,18.52,0.0,20.0
2000-02-08,17.4,59,3,20.1,18.6,0.0,18.4
2000-02-09,17.0,65,67,13.6,12.64,0.0,19.0
2000-02-10,19.0,78,67,14.0,8.6,1.6,19.0
2000-02-11,22.1,81,63,12.0,12.17,0.2,24.7
2000-02-12,22.1,81,34,13.8,15.8,0.0,21.2
2000-02-13,21.7,83,40,14.3,13.45,0.0,23.2
2000-02-14,22.4,82,56,20.3,12.44,0.0,24.7
2000-02-15,18.2,67,68,19.7,8.9,0.0,20.0
2000-02-16,20.0,73,68,14.0,17.48,0.0,21.0
2000-02-17,19.6,75,98,14.5,8.83,0.5,19.0
2000-02-18,21.8,79,88,19.9,12.94,0.0,23.0
2000-02-19,23.7,91,88,13.2,7.64,0.3,25.3
2000-02-20,20.0,91,100,21.3,2.35,16.1,22.5
2000-02-21,15.3,86,100,19.2,3.03,11.0,14.2
2000-02-22,15.2,89,100,16.1,2.83,8.2,15.6
2000-02-23,14.7,90,100,17.7,2.45,11.9,15.0
2000-02-24,13.3,83,100,20.6,3.19,8.0,13.0
2000-02-25,11.6,83,100,23.5,2.74,12.8,12.0
2000-02-26,12.8,62,94,28.6,5.23,0.0,12.0
2000-02-27,14.8,62,94,16.1,8.25,0.6,12.0
2000-02-28,11.6,85,100,20.7,2.23,11.8,12.6
2000-02-29,13.4,80,100,21.2,5.58,1.1,13.0
2000-03-01,13.9,82,100,18.4,4.95,14.7,12.6
2000-03-02,15.3,87,95,17.7,5.23,10.5,16.0
2000-03-03,20.8,85,92,11.7,11.61,0.0,21.0
2000-03-04,24.0,85,44,11.6,16.66,0.0,25.0
2000-03-05,25.5,86,48,8.7,19.4,0.0,27.4
2000-03-06,23.4,85,92,12.1,11.95,0.0,21.9
2000-03-07,22.7,80,82,11.8,13.16,0.0,22.0
2000-03-08,21.6,77,84,14.6,13.05,0.2,20.6
2000-03-09,21.1,76,40,16.7,18.0,0.0,22.0
2000-03-10,21.5,80,41,18.8,16.51,0.0,25.0
2000-03-11,21.9,87,99,14.6,7.21,9.1,21.0
2000-03-12,18.8,85,99,13.9,5.74,4.3,19.0
2000-03-13,20.7,86,100,12.5,6.19,3.8,20.0
2000-03-14,23.6,86,95,14.9,12.42,1.7,24.0
2000-03-15,23.5,85,64,18.7,16.31,0.0,25.1
2000-03-16,20.5,85,88,17.5,7.16,4.0,21.0
2000-03-17,22.0,78,70,20.6,17.94,0.4,20.0
2000-03-18,22.9,82,70,19.1,14.32,0.0,21.0
2000-03-19,24.4,82,87,12.6,13.35,1.1,24.0
2000-03-20,23.7,78,72,18.1,19.04,1.7,24.0
2000-03-21,24.5,82,59,16.4,14.76,0.0,25.6
2000-03-22,25.9,86,29,16.3,17.63,0.0,27.5
2000-03-23,24.6,85,79,24.3,12.55,1.8,27.2
2000-03-24,22.8,68,73,22.3,15.94,0.0,24.0
2000-03-25,23.0,68,73,13.7,13.08,0.0,24.4
2000-03-26,23.8,66,65,13.2,21.36,0.0,23.3
2000-03-27,24.9,77,70,12.8,22.77,0.0,25.7
2000-03-28,28.7,75,69,12.7,25.24,0.0,29.4
2000-03-29,28.9,70,19,20.4,25.26,0.0,31.0
2000-03-30,26.7,73,21,17.6,22.9,0.0,26.8
2000-03-31,26.1,86,54,21.3,17.91,1.8,28.0
2000-04-01,24.9,90,85,19.9,12.26,25.3,28.6
2000-04-02,25.4,93,99,19.5,9.35,7.8,28.0
2000-04-03,24.6,94,100,17.4,6.71,37.8,26.0
2000-04-04,25.8,80,82,15.1,17.79,1.7,24.0
2000-04-05,25.0,80,75,15.5,15.02,1.4,24.0
2000-04-06,23.6,81,86,16.4,14.59,2.8,23.0
2000-04-07,24.4,83,98,14.6,12.09,6.2,22.0
2000-04-08,25.2,84,62,18.2,18.65,2.7,27.0
2000-04-09,26.4,84,74,16.4,16.08,0.0,27.0
2000-04-10,25.5,88,62,16.6,14.29,1.7,25.2
2000-04-11,25.2,77,88,16.3,18.5,0.8,25.0
2000-04-12,25.9,85,95,13.2,12.45,16.2,25.8
2000-04-13,26.3,91,93,17.6,9.86,7.8,25.0
2000-04-14,25.9,92,99,24.3,7.24,23.0,25.0
2000-04-15,24.1,75,77,24.3,18.04,11.1,25.0
2000-04-16,24.3,62,29,20.6,27.24,0.0,26.0
