datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,8.2,81,97,16.0,5.8,0.0,
2000-01-02,5.2,81,74,22.5,6.04,10.7,
2000-01-03,-1.1,55,29,20.6,9.65,0.0,
2000-01-04,3.9,52,75,10.0,8.91,0.0,
2000-01-05,3.5,83,100,22.4,1.14,24.2,
2000-01-06,4.1,80,91,24.0,4.14,6.2,
2000-01-07,-3.4,48,49,23.7,9.23,0.0,
2000-01-08,-1.0,64,84,10.1,5.94,0.1,
2000-01-09,0.8,64,91,12.2,5.56,0.1,
2000-01-10,1.0,62,32,18.8,10.58,0.2,
2000-01-11,5.6,50,83,13.8,8.61,0.0,
2000-01-12,4.9,82,100,13.8,3.08,3.3,
2000-01-13,2.1,83,98,20.1,4.44,1.4,
2000-01-14,0.5,67,98,11.4,5.61,0.0,
2000-01-15,2.0,66,92,10.1,9.31,0.0,
2000-01-16,3.0,61,49,15.0,10.73,0.0,
2000-01-17,3.4,68,53,14.3,9.74,0.0,
2000-01-18,1.4,58,2,14.4,11.7,0.0,
2000-01-19,-2.3,57,38,24.7,11.31,0.0,
2000-01-20,-5.5,49,7,22.7,12.04,0.0,
2000-01-21,-2.7,42,34,18.1,12.12,0.0,
2000-01-22,1.5,48,99,8.4,7.74,0.8,
2000-01-23,6.2,76,83,14.0,10.52,0.9,
2000-01-24,-1.8,52,78,21.8,11.61,0.0,
2000-01-25,-3.9,37,8,23.8,13.01,0.0,
2000-01-26,-4.3,47,8,20.0,12.91,0.0,
2000-01-27,-1.3,47,0,15.1,12.98,0.0,
2000-01-28,0.7,61,13,9.4,12.38,0.0,
2000-01-29,2.1,76,81,11.5,6.23,0.0,
2000-01-30,-0.2,57,67,26.7,12.46,0.0,
2000-01-31,-4.6,45,14,21.7,13.37,0.0,
2000-02-01,-2.3,49,35,13.6,12.03,0.0,
2000-02-02,-0.2,59,59,12.9,10.12,0.0,
2000-02-03,2.4,61,54,19.1,11.08,0.3,
2000-02-04,1.6,59,8,11.9,13.93,0.0,
2000-02-05,3.4,67,86,8.4,6.24,1.0,
2000-02-06,3.6,76,52,17.2,12.74,0.0,
2000-02-07,0.9,72,74,24.2,6.3,0.0,
2000-02-08,-3.7,47,11,34.2,14.44,0.0,
2000-02-09,-0.9,48,3,20.2,14.96,0.0,
2000-02-10,1.8,58,71,12.2,12.49,0.0,
2000-02-11,4.8,75,37,15.1,11.67,0.0,
2000-02-12,5.2,79,36,10.9,12.05,0.0,
2000-02-13,4.5,81,69,9.0,10.65,0.0,
2000-02-14,1.6,64,36,27.7,15.44,1.0,
2000-02-15,-2.2,42,35,30.3,15.06,0.0,
2000-02-16,-1.2,45,30,24.5,14.57,0.0,
2000-02-17,-0.1,46,22,23.2,15.46,0.0,
2000-02-18,1.8,47,34,13.7,16.26,0.0,
2000-02-19,4.4,49,87,14.0,12.19,0.0,
2000-02-20,2.5,60,9,22.8,16.65,0.0,
2000-02-21,2.3,48,5,22.5,16.7,0.0,
2000-02-22,2.7,52,56,14.6,16.46,0.0,
2000-02-23,3.8,60,57,20.7,10.38,0.0,
2000-02-24,0.9,38,9,24.0,16.87,0.0,
2000-02-25,2.5,46,54,13.3,14.79,0.0,
2000-02-26,2.2,69,68,23.6,12.01,0.4,
2000-02-27,5.4,69,36,24.8,15.13,0.2,
2000-02-28,-0.3,47,0,25.1,18.48,0.0,
2000-02-29,2.3,51,1,16.3,18.08,0.0,
2000-03-01,6.0,78,14,16.1,16.95,0.0,
2000-03-02,7.7,87,29,12.8,16.46,0.0,
2000-03-03,11.4,78,97,11.6,15.55,0.0,
2000-03-04,10.3,75,67,16.7,15.27,0.0,
2000-03-05,8.1,54,65,15.0,17.31,0.0,
2000-03-06,7.2,62,23,27.4,16.57,0.0,
2000-03-07,1.0,36,0,27.1,19.88,0.0,
2000-03-08,3.5,44,25,29.5,18.51,0.2,
2000-03-09,4.8,49,1,24.4,19.85,0.0,
2000-03-10,7.3,77,39,17.9,18.96,0.0,
2000-03-11,6.8,89,89,11.9,7.53,0.6,
2000-03-12,6.0,89,47,17.9,17.37,0.0,
2000-03-13,8.5,60,11,16.3,20.53,0.0,
2000-03-14,8.1,65,6,14.6,20.88,0.0,
2000-03-15,10.1,69,100,11.2,11.24,0.7,
2000-03-16,8.4,73,60,23.4,14.06,0.0,
2000-03-17,10.1,78,7,21.0,20.78,0.0,
2000-03-18,10.2,72,47,24.6,17.39,0.3,
2000-03-19,10.0,67,58,20.7,18.07,0.2,
2000-03-20,8.7,61,30,12.6,21.68,0.0,
2000-03-21,9.7,71,84,10.2,15.27,0.0,
2000-03-22,13.8,66,18,16.6,21.75,0.0,
2000-03-23,8.6,79,71,22.0,12.1,2.1,
2000-03-24,6.7,43,6,35.1,22.28,0.0,
2000-03-25,8.5,59,3,26.4,21.97,0.0,
2000-03-26,10.4,68,5,11.2,22.34,0.0,
2000-03-27,14.0,71,71,32.6,18.23,2.9,
2000-03-28,11.2,84,86,31.7,14.27,12.4,
2000-03-29,10.2,62,36,22.4,22.53,0.0,
2000-03-30,10.6,66,49,18.5,20.39,0.0,
2000-03-31,12.9,67,42,21.5,19.74,0.0,
2000-04-01,12.6,54,45,18.2,22.99,0.0,
2000-04-02,13.2,65,97,9.5,11.84,0.0,
2000-04-03,15.7,68,33,10.2,22.95,0.0,
2000-04-04,15.3,71,90,14.0,20.27,0.0,
2000-04-05,11.3,62,40,29.0,23.67,0.8,
2000-04-06,10.2,59,1,21.0,24.31,0.0,
2000-04-07,10.5,54,3,30.7,24.75,0.1,
2000-04-08,12.0,58,0,15.8,24.67,0.0,
2000-04-09,13.0,68,94,18.9,15.68,0.1,
2000-04-10,8.7,53,28,36.9,24.81,5.7,
2000-04-11,12.1,62,0,28.8,24.69,0.0,
2000-04-12,13.2,78,43,21.0,21.8,0.0,
2000-04-13,15.1,78,50,17.2,22.29,0.0,
2000-04-14,16.2,47,84,17.3,21.47,0.0,
2000-04-15,15.2,55,79,16.3,18.98,0.3,
2000-04-16,13.9,72,21,17.4,24.6,0.0,
2000-04-17,15.1,80,27,15.8,24.4,0.0,
2000-04-18,13.6,77,92,22.0,12.91,3.1,
2000-04-19,18.2,74,75,18.2,14.28,6.0,
2000-04-20,18.6,72,77,17.6,23.79,0.3,
2000-04-21,13.3,90,90,18.2,11.7,3.2,
2000-04-22,12.3,78,38,22.5,13.77,2.1,
2000-04-23,13.5,61,14,28.1,24.3,0.0,
2000-04-24,15.0,65,45,23.2,25.93,0.0,
2000-04-25,17.2,63,99,17.6,14.05,2.4,
2000-04-26,12.9,88,76,18.9,13.74,6.8,
2000-04-27,13.6,88,64,6.7,13.68,2.6,
2000-04-28,17.5,78,19,19.8,24.41,0.0,
2000-04-29,17.9,70,53,16.3,25.44,0.0,
2000-04-30,15.6,79,59,20.3,21.1,0.1,
2000-05-01,16.3,81,63,23.9,20.39,0.9,
2000-05-02,15.8,78,26,13.3,20.19,0.0,
2000-05-03,17.4,79,49,14.3,25.78,0.0,
2000-05-04,19.3,68,20,15.7,25.64,0.0,
2000-05-05,17.9,72,80,16.9,17.43,5.4,
2000-05-06,17.2,70,27,20.8,25.74,0.1,
2000-05-07,16.3,74,3,18.4,26.7,0.0,
2000-05-08,17.7,77,36,18.1,27.09,0.0,
2000-05-09,25.1,72,100,8.4,19.59,0.0,
2000-05-10,15.7,82,83,28.8,9.18,16.8,
2000-05-11,14.5,87,70,21.8,11.45,1.8,
2000-05-12,16.9,83,85,10.2,18.64,0.0,
2000-05-13,20.9,82,59,12.2,22.79,0.4,
2000-05-14,20.8,81,75,13.1,24.77,0.0,
2000-05-15,18.3,79,61,16.0,16.96,0.7,
2000-05-16,18.6,84,52,14.9,18.63,4.0,
2000-05-17,19.0,88,55,15.2,20.2,0.0,
2000-05-18,19.0,85,79,11.3,16.82,0.0,
2000-05-19,17.2,87,82,22.3,13.55,9.0,
2000-05-20,18.2,88,65,18.4,18.95,1.5,
2000-05-21,18.4,84,57,14.1,19.54,0.0,
2000-05-22,20.8,81,57,13.2,23.35,0.0,
2000-05-23,21.1,89,53,19.0,20.07,0.0,
2000-05-24,21.8,86,36,14.2,24.07,0.0,
2000-05-25,23.5,88,67,9.6,23.43,0.0,
2000-05-26,21.0,88,100,11.2,14.36,2.0,
2000-05-27,19.2,90,93,14.6,2.64,7.5,
2000-05-28,22.0,70,18,24.9,26.4,0.0,
2000-05-29,21.4,74,39,17.1,27.9,0.0,
2000-05-30,19.4,87,99,15.3,12.54,0.1,
2000-05-31,22.7,73,44,18.4,25.78,0.3,
2000-06-01,22.6,77,38,16.8,26.74,0.0,
2000-06-02,22.9,80,94,10.9,24.91,0.0,
2000-06-03,26.6,80,89,13.0,22.63,0.0,
2000-06-04,28.4,64,94,12.5,26.18,0.0,
2000-06-05,25.5,69,34,17.7,27.65,0.0,
2000-06-06,23.3,79,28,19.9,27.93,0.0,
2000-06-07,23.1,69,100,20.5,22.04,0.0,
2000-06-08,19.6,83,90,16.7,4.62,13.4,
2000-06-09,23.4,81,38,12.9,24.18,6.9,
2000-06-10,22.1,88,55,11.8,17.12,4.2,
2000-06-11,23.4,83,40,9.7,23.32,6.5,
2000-06-12,23.6,80,34,16.0,26.26,0.0,
2000-06-13,23.8,75,25,19.3,27.34,0.0,
2000-06-14,24.1,79,46,21.3,26.39,0.2,
2000-06-15,25.6,86,94,14.8,24.6,0.0,
2000-06-16,25.5,85,98,11.4,16.56,0.0,
2000-06-17,27.3,79,40,10.1,22.53,0.0,
2000-06-18,26.9,78,10,16.0,26.49,0.0,
2000-06-19,27.0,82,20,14.9,28.27,0.0,
2000-06-20,25.6,85,97,13.4,19.27,0.0,
2000-06-21,28.2,77,87,16.8,25.67,0.0,
2000-06-22,26.6,81,98,10.9,14.3,1.4,
2000-06-23,25.3,85,94,8.1,15.45,0.7,
2000-06-24,26.7,82,79,12.9,19.08,0.9,
2000-06-25,25.5,90,98,14.2,13.31,1.3,
2000-06-26,23.2,97,100,13.2,6.04,30.4,
2000-06-27,27.8,86,75,20.7,17.33,24.3,
2000-06-28,28.3,79,4,12.9,27.89,0.0,
2000-06-29,23.8,92,93,18.5,5.85,42.2,
2000-06-30,23.7,91,76,21.3,16.07,3.3,
2000-07-01,26.5,88,70,10.8,24.07,0.0,
2000-07-02,26.7,94,65,14.4,17.64,0.2,
2000-07-03,27.9,90,62,12.6,20.69,0.0,
2000-07-04,29.3,91,79,7.8,20.98,0.0,
2000-07-05,28.4,91,92,13.4,21.68,0.0,
2000-07-06,28.6,87,33,13.6,25.93,0.5,
2000-07-07,30.5,81,32,12.4,22.3,0.4,
2000-07-08,28.7,72,43,11.5,22.6,0.0,
2000-07-09,26.4,86,38,12.8,21.47,0.1,
2000-07-10,30.7,85,94,13.6,23.37,5.8,
2000-07-11,25.0,89,94,38.2,8.98,20.5,
2000-07-12,26.7,82,45,33.2,22.04,1.4,
2000-07-13,27.3,90,89,18.9,22.86,0.0,
2000-07-14,27.9,86,68,14.8,15.37,0.0,
2000-07-15,27.0,87,78,12.6,15.18,0.6,
2000-07-16,26.4,91,100,11.8,13.73,0.0,
2000-07-17,26.4,92,100,18.4,12.75,0.0,
2000-07-18,27.9,90,95,14.1,14.52,1.9,
2000-07-19,26.1,96,97,17.3,6.31,33.5,
2000-07-20,27.8,92,79,23.8,15.89,10.9,
2000-07-21,27.7,91,77,26.0,19.02,1.1,
2000-07-22,24.8,96,96,25.2,3.36,28.3,
2000-07-23,27.0,89,77,19.6,17.23,0.3,
2000-07-24,27.3,85,57,12.7,21.28,0.2,
2000-07-25,26.9,89,56,10.5,22.23,0.3,
2000-07-26,29.1,83,46,9.7,24.57,0.0,
2000-07-27,28.5,87,75,10.9,22.49,0.0,
2000-07-28,28.6,84,88,10.2,14.5,0.0,
2000-07-29,28.8,87,78,16.5,17.31,5.1,
2000-07-30,26.8,84,87,17.7,8.51,4.6,
2000-07-31,27.6,77,23,13.9,23.57,0.0,
2000-08-01,27.6,85,14,10.8,23.7,0.0,
2000-08-02,30.7,80,49,8.1,22.98,0.0,
2000-08-03,29.8,74,69,13.6,21.95,0.2,
2000-08-04,28.0,84,90,23.8,15.79,8.6,
2000-08-05,26.5,93,100,14.2,9.34,16.0,
2000-08-06,25.5,97,97,8.6,4.69,24.2,
2000-08-07,25.9,93,94,12.5,9.92,9.5,
2000-08-08,28.2,90,82,8.2,16.12,1.2,
2000-08-09,29.2,87,80,9.4,21.44,2.8,
2000-08-10,28.7,87,92,13.0,17.01,0.0,
2000-08-11,28.5,90,39,14.4,21.32,0.6,
2000-08-12,29.7,87,41,10.9,19.23,0.0,
2000-08-13,29.9,83,58,9.3,20.78,0.7,
2000-08-14,28.6,90,66,15.1,20.56,0.8,
2000-08-15,28.8,92,47,14.1,18.21,1.6,
2000-08-16,30.8,87,72,8.2,19.09,4.6,
2000-08-17,30.9,84,25,13.7,20.96,3.7,
2000-08-18,31.0,76,83,13.4,19.71,0.7,
2000-08-19,26.9,89,98,13.9,8.73,28.2,
2000-08-20,24.3,94,100,16.3,2.67,34.9,
2000-08-21,24.2,87,72,28.1,10.33,4.9,
2000-08-22,27.0,82,29,20.4,22.6,0.2,
2000-08-23,26.6,87,93,13.9,18.27,0.3,
2000-08-24,24.9,95,100,17.8,3.16,42.5,
2000-08-25,24.1,97,100,13.0,1.93,122.0,
2000-08-26,23.6,97,100,21.2,1.66,90.0,
2000-08-27,26.5,93,99,36.2,7.66,51.7,
2000-08-28,27.7,93,98,16.1,10.66,21.0,
2000-08-29,29.6,86,76,10.0,16.62,1.0,
2000-08-30,31.2,77,74,11.9,20.05,0.1,
2000-08-31,27.2,84,99,51.1,4.73,50.7,
