datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,22.3,75,7,12.3,15.77,0.0,22.7
2000-01-02,24.0,74,5,11.0,15.37,0.0,23.6
2000-01-03,20.3,76,3,20.2,16.14,0.0,20.5
2000-01-04,20.9,84,16,17.9,15.19,0.0,20.5
2000-01-05,22.5,86,13,13.0,14.08,0.0,23.2
2000-01-06,23.4,87,51,8.0,11.78,0.0,23.4
2000-01-07,20.1,83,74,19.9,10.67,0.0,20.8
2000-01-08,20.2,81,41,16.2,14.73,0.0,20.2
2000-01-09,22.9,84,67,7.6,13.83,0.0,22.8
2000-01-10,21.6,88,48,19.0,14.93,0.0,22.1
2000-01-11,20.6,87,97,16.5,5.48,0.0,20.3
2000-01-12,24.5,84,46,10.1,12.07,0.0,24.0
2000-01-13,22.4,76,49,15.1,13.94,0.0,21.0
2000-01-14,20.8,83,79,20.9,11.23,0.0,18.8
2000-01-15,21.6,81,53,20.9,14.92,0.0,19.6
2000-01-16,21.7,81,47,15.8,14.52,0.0,21.1
2000-01-17,16.7,65,87,18.2,8.34,0.0,19.2
2000-01-18,16.6,60,71,22.0,13.21,0.2,15.2
2000-01-19,15.4,52,35,22.1,16.36,0.0,15.2
2000-01-20,16.1,59,7,22.1,17.0,0.0,15.7
2000-01-21,17.4,69,67,21.4,10.39,0.0,16.9
2000-01-22,19.9,74,88,19.1,7.96,2.2,19.3
2000-01-23,20.2,92,99,14.8,4.64,10.6,19.6
2000-01-24,18.8,97,100,27.0,1.95,35.0,18.6
2000-01-25,11.8,84,100,27.8,1.76,7.8,17.8
2000-01-26,12.1,61,54,24.5,13.74,0.0,11.9
2000-01-27,12.1,54,7,23.0,18.57,0.0,12.7
2000-01-28,13.6,60,37,16.5,13.89,0.0,15.4
2000-01-29,17.6,62,29,20.2,17.15,0.0,18.1
2000-01-30,16.0,58,48,24.5,18.36,0.0,17.3
2000-01-31,11.4,64,91,20.6,6.59,0.7,14.0
2000-02-01,9.7,75,97,20.6,6.28,1.2,12.9
2000-02-02,13.5,71,100,16.5,6.88,0.0,15.3
2000-02-03,17.3,77,95,11.3,9.09,0.2,18.7
2000-02-04,18.2,81,78,16.3,9.54,0.0,18.3
2000-02-05,21.8,74,40,16.9,18.51,0.0,20.6
2000-02-06,20.2,66,33,18.4,18.92,0.0,18.3
2000-02-07,19.2,60,54,19.1,18.57,0.0,19.5
