datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,14.4,71,31,11.0,10.44,0.0,13.9
2000-01-02,15.8,59,13,18.2,12.34,0.0,15.6
2000-01-03,19.5,42,0,12.1,12.34,0.0,18.9
2000-01-04,20.9,39,1,12.9,12.43,0.0,19.4
2000-01-05,22.2,40,0,16.7,12.74,0.0,21.1
2000-01-06,21.6,26,13,15.4,13.12,0.0,19.4
2000-01-07,17.8,37,62,10.9,10.84,0.0,16.7
2000-01-08,20.0,47,31,10.5,12.95,0.0,16.1
2000-01-09,18.7,67,48,10.3,12.46,0.0,16.7
2000-01-10,18.3,71,17,9.8,12.8,0.0,16.1
2000-01-11,17.8,78,18,10.4,12.0,0.0,15.0
2000-01-12,17.8,84,32,9.2,11.87,0.0,16.7
2000-01-13,23.5,66,52,14.3,13.02,0.0,23.3
2000-01-14,24.4,52,97,11.3,10.29,0.0,24.4
2000-01-15,21.7,54,96,11.6,10.25,0.3,23.3
2000-01-16,16.3,80,100,10.6,5.31,1.0,17.8
2000-01-17,20.5,78,100,7.9,4.7,2.3,20.0
2000-01-18,22.9,75,99,14.0,9.99,0.0,23.9
2000-01-19,20.9,82,98,16.2,11.1,0.0,21.1
2000-01-20,18.5,89,76,15.6,7.68,0.0,19.0
2000-01-21,16.5,85,98,10.0,11.41,0.0,16.1
2000-01-22,15.4,82,100,8.2,9.76,0.0,15.6
2000-01-23,17.5,78,82,11.5,8.48,0.0,17.8
2000-01-24,21.0,75,86,10.4,11.22,0.1,21.1
2000-01-25,15.9,87,95,12.3,1.96,12.5,16.7
2000-01-26,17.8,78,32,20.1,14.55,0.0,18.9
2000-01-27,17.4,77,10,10.4,14.57,0.0,17.8
2000-01-28,19.0,79,36,8.4,14.12,0.0,18.9
2000-01-29,16.3,75,34,14.1,11.7,0.0,16.7
2000-01-30,14.3,88,95,13.5,3.2,7.6,15.0
2000-01-31,16.5,85,90,8.8,10.14,0.9,16.1
2000-02-01,22.3,73,6,11.4,15.04,0.0,22.8
2000-02-02,24.2,63,0,13.9,15.6,0.0,26.1
2000-02-03,20.7,61,40,13.6,15.59,0.0,23.9
2000-02-04,16.1,76,95,9.9,4.5,2.1,17.2
2000-02-05,18.0,76,66,11.2,14.58,0.0,18.3
2000-02-06,21.5,74,38,14.4,15.81,0.0,20.6
2000-02-07,23.5,65,82,10.6,15.06,0.0,18.9
2000-02-08,19.8,74,84,15.2,9.15,0.0,21.1
2000-02-09,17.5,80,66,13.2,14.5,0.0,15.6
2000-02-10,15.7,83,74,22.3,7.25,10.0,15.6
2000-02-11,15.1,78,88,13.1,11.02,0.9,15.6
2000-02-12,15.3,81,80,25.5,11.95,12.8,17.0
2000-02-13,14.4,89,94,14.6,2.86,4.0,15.6
2000-02-14,17.0,88,95,15.0,8.8,4.2,17.2
2000-02-15,16.9,85,79,8.4,15.57,0.0,16.1
2000-02-16,13.7,86,83,24.2,4.38,7.8,13.3
2000-02-17,14.3,76,21,16.2,16.02,0.0,14.4
2000-02-18,19.2,74,74,9.3,13.94,0.0,21.1
2000-02-19,22.2,65,94,14.8,15.74,0.0,24.4
2000-02-20,15.0,84,97,33.3,6.63,32.6,16.7
2000-02-21,12.2,89,81,20.6,6.32,22.4,13.9
2000-02-22,14.8,84,51,11.5,11.26,0.1,15.0
2000-02-23,12.6,87,70,21.1,3.98,22.1,13.9
2000-02-24,13.4,72,64,18.5,17.22,0.0,13.9
2000-02-25,14.1,80,89,11.9,9.55,0.0,15.0
2000-02-26,16.6,82,65,11.5,18.17,0.0,16.1
2000-02-27,13.6,89,63,16.6,6.4,6.9,13.9
2000-02-28,15.6,80,66,12.0,18.55,0.0,15.6
2000-02-29,15.3,81,66,14.5,14.02,0.2,15.0
2000-03-01,16.4,80,52,13.9,19.92,0.0,16.7
2000-03-02,17.3,79,32,17.0,18.51,0.1,18.3
2000-03-03,15.4,85,69,16.5,13.84,8.1,16.1
2000-03-04,14.3,80,68,14.8,14.66,0.5,15.0
2000-03-05,12.0,83,76,27.7,8.29,22.6,13.3
2000-03-06,11.9,80,55,14.8,13.47,9.2,13.3
2000-03-07,13.1,78,72,14.8,11.6,1.1,13.9
2000-03-08,13.6,83,76,17.3,10.92,13.3,14.4
2000-03-09,14.5,78,66,18.4,16.29,0.0,14.4
2000-03-10,19.3,76,24,13.9,21.75,0.0,18.3
2000-03-11,24.0,73,27,16.7,21.84,0.0,21.7
2000-03-12,20.9,81,71,10.5,20.24,0.0,21.1
2000-03-13,19.7,88,13,12.7,21.15,0.0,16.1
2000-03-14,22.1,82,13,11.0,22.06,0.0,16.1
2000-03-15,21.0,88,21,13.9,21.57,0.0,17.2
2000-03-16,19.4,87,55,15.1,20.75,0.0,16.1
2000-03-17,21.8,77,47,15.8,22.35,0.0,17.8
2000-03-18,23.0,79,1,10.5,22.98,0.0,19.4
2000-03-19,20.7,81,25,12.6,22.52,0.0,18.9
2000-03-20,20.5,60,28,23.4,22.8,0.0,22.2
2000-03-21,21.8,41,2,16.3,24.38,0.0,20.6
2000-03-22,21.3,63,29,17.6,23.96,0.0,20.0
2000-03-23,18.9,71,52,14.3,22.89,0.0,20.2
2000-03-24,18.7,70,95,14.9,20.65,0.0,16.1
2000-03-25,17.8,76,38,13.8,22.39,0.0,15.6
2000-03-26,20.1,75,43,16.0,23.13,0.0,16.7
2000-03-27,17.1,80,81,12.0,19.0,0.0,16.7
2000-03-28,17.2,76,45,11.5,19.38,0.0,16.1
2000-03-29,16.6,78,48,10.7,15.84,0.0,16.7
2000-03-30,19.4,76,23,14.5,23.81,0.0,16.7
2000-03-31,26.7,48,1,20.7,26.04,0.0,27.8
2000-04-01,28.0,40,0,26.5,26.12,0.0,24.4
2000-04-02,23.9,55,0,14.3,25.48,0.0,21.0
2000-04-03,23.8,69,8,11.4,25.45,0.0,19.4
2000-04-04,25.4,68,4,18.1,25.62,0.0,17.0
2000-04-05,20.7,76,26,12.5,25.28,0.0,18.0
2000-04-06,19.1,77,61,12.1,24.12,0.0,17.0
2000-04-07,21.3,76,98,13.8,23.94,0.0,17.0
2000-04-08,25.4,68,29,21.0,26.46,0.0,18.3
2000-04-09,22.1,69,11,16.5,26.34,0.0,17.2
2000-04-10,22.0,73,9,16.0,26.68,0.0,18.0
2000-04-11,25.8,68,14,16.1,26.72,0.0,19.0
2000-04-12,25.8,66,11,14.9,26.83,0.0,21.1
2000-04-13,23.4,69,15,20.5,25.94,0.0,19.0
2000-04-14,17.7,73,29,24.2,21.97,0.3,17.2
2000-04-15,17.8,72,45,14.3,19.83,0.0,18.0
2000-04-16,18.5,67,92,16.7,20.27,0.0,18.0
2000-04-17,14.5,82,88,32.1,3.91,35.5,15.0
2000-04-18,16.0,83,54,14.8,18.43,16.1,16.0
