datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,10.0,90,75,14.9,7.38,0.0,
2000-01-02,11.4,87,62,10.4,9.21,0.0,4.1
2000-01-03,8.5,90,93,7.2,3.49,0.0,4.4
2000-01-04,8.9,87,73,6.5,5.89,0.0,
2000-01-05,10.0,89,84,12.3,4.88,0.0,7.4
2000-01-06,10.2,74,88,10.5,3.79,0.0,
2000-01-07,10.1,78,76,9.8,5.43,0.0,
2000-01-08,10.2,83,91,7.9,3.58,0.0,9.4
2000-01-09,9.8,88,94,10.3,2.27,0.7,
2000-01-10,10.2,88,94,9.4,3.41,0.0,8.3
2000-01-11,10.5,83,92,9.5,2.43,0.0,10.2
2000-01-12,10.2,67,86,10.4,6.16,0.1,9.4
2000-01-13,10.9,74,77,15.0,7.52,0.0,10.7
2000-01-14,8.9,86,99,11.7,2.83,0.3,7.7
2000-01-15,8.0,85,99,15.5,4.09,0.7,6.5
2000-01-16,6.5,81,95,15.8,4.38,0.0,5.8
2000-01-17,9.0,70,72,9.8,10.08,0.0,9.6
2000-01-18,10.6,64,44,10.0,13.39,0.0,10.0
2000-01-19,9.0,69,62,10.2,8.4,0.0,10.3
2000-01-20,6.7,86,99,12.2,3.48,6.5,6.6
2000-01-21,6.9,86,98,11.1,4.78,0.0,5.1
2000-01-22,7.1,82,92,10.4,4.94,0.0,6.3
2000-01-23,7.9,76,74,10.0,6.99,0.0,7.7
2000-01-24,9.6,72,73,10.2,8.54,0.0,
2000-01-25,7.7,81,82,13.4,6.71,0.2,6.2
2000-01-26,7.7,81,91,9.3,8.11,0.2,5.7
2000-01-27,5.5,87,99,10.0,4.1,4.3,3.8
2000-01-28,6.4,82,96,9.0,7.86,0.6,4.4
2000-01-29,9.1,69,66,13.4,12.9,0.7,8.4
2000-01-30,6.1,67,99,13.4,6.15,1.4,4.2
2000-01-31,5.6,85,98,10.3,7.5,4.9,2.4
2000-02-01,4.1,84,98,10.1,5.39,0.5,2.5
2000-02-02,5.0,81,98,9.0,7.27,0.0,4.4
2000-02-03,5.5,80,96,9.1,6.42,0.0,5.6
2000-02-04,5.3,80,93,11.5,5.22,0.0,6.6
2000-02-05,9.9,71,60,7.2,11.66,0.0,8.6
2000-02-06,9.0,72,51,10.5,8.13,0.0,9.0
2000-02-07,10.4,66,70,9.5,11.44,0.0,11.9
2000-02-08,10.6,65,68,12.5,10.52,0.0,9.4
2000-02-09,9.3,72,81,10.0,5.86,0.0,10.4
2000-02-10,10.5,78,74,7.9,6.74,0.0,10.6
2000-02-11,11.4,79,63,9.7,7.73,0.0,12.6
2000-02-12,10.1,83,99,11.5,3.75,0.0,11.7
2000-02-13,10.6,78,93,8.7,4.71,1.0,11.2
2000-02-14,11.1,56,91,11.6,8.34,0.0,
2000-02-15,11.9,64,81,9.0,9.7,0.0,14.1
2000-02-16,11.0,79,58,9.7,8.23,0.4,11.0
2000-02-17,9.3,84,93,10.8,3.18,0.3,9.4
2000-02-18,11.3,81,81,11.6,6.16,0.0,
2000-02-19,12.9,71,76,15.4,9.65,0.0,13.5
2000-02-20,11.4,65,97,9.5,8.19,0.0,11.1
2000-02-21,11.2,79,97,8.3,7.83,0.5,9.0
2000-02-22,11.5,82,94,12.9,7.37,0.2,9.0
2000-02-23,12.0,81,86,11.4,9.94,1.5,10.8
2000-02-24,9.7,82,97,13.8,6.65,6.2,9.8
2000-02-25,9.6,58,89,26.6,13.81,1.7,10.0
2000-02-26,12.5,52,63,9.8,17.24,0.0,12.6
2000-02-27,11.5,61,67,11.3,13.05,0.2,11.0
2000-02-28,12.4,66,86,7.0,15.6,0.7,11.4
2000-02-29,12.3,73,88,6.8,11.22,4.6,11.5
2000-03-01,12.2,79,73,9.0,10.61,1.5,10.6
2000-03-02,11.0,81,95,10.7,5.89,0.9,10.2
2000-03-03,14.3,74,58,7.7,14.2,0.8,14.1
2000-03-04,14.2,69,66,7.1,11.4,0.2,14.7
2000-03-05,14.6,71,58,13.8,9.45,0.0,15.4
2000-03-06,12.4,81,96,14.6,5.95,2.1,12.3
2000-03-07,12.2,74,97,12.3,7.32,0.0,10.0
2000-03-08,12.4,81,95,17.1,8.91,2.7,10.3
2000-03-09,10.8,84,99,17.2,5.79,5.5,
2000-03-10,13.2,79,96,8.4,12.86,2.2,10.9
2000-03-11,14.0,76,82,7.5,13.77,1.1,13.3
2000-03-12,13.5,72,62,12.8,9.66,0.0,13.8
2000-03-13,14.9,74,95,8.6,9.61,0.0,13.4
2000-03-14,14.7,75,87,10.6,7.24,0.0,14.9
2000-03-15,17.7,71,87,10.9,19.43,3.0,17.0
2000-03-16,17.5,69,72,7.9,17.25,0.5,19.0
2000-03-17,16.4,78,72,6.9,11.57,0.7,15.7
2000-03-18,18.0,74,85,7.3,12.12,0.1,
2000-03-19,17.4,77,78,10.7,9.47,0.9,16.4
2000-03-20,17.9,80,73,12.1,8.41,0.0,18.1
2000-03-21,19.6,72,53,10.0,10.0,0.0,21.8
