datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,9.1,96,100,9.4,0.73,0.0,
2000-01-02,9.3,96,100,11.9,1.35,0.0,
2000-01-03,8.8,91,84,18.1,1.7,0.0,
2000-01-04,9.7,89,95,24.3,0.77,2.8,
2000-01-05,9.3,91,92,16.6,2.39,0.1,
2000-01-06,10.5,89,74,22.9,4.28,2.4,
2000-01-07,7.1,94,81,15.5,2.24,0.0,
2000-01-08,9.3,94,93,16.0,0.76,1.9,
2000-01-09,7.5,90,83,13.6,3.43,0.7,
2000-01-10,4.7,88,57,9.1,4.27,0.0,
2000-01-11,2.4,90,59,8.7,4.8,0.0,
2000-01-12,2.2,88,90,12.1,3.39,0.0,
2000-01-13,2.6,86,99,15.3,1.19,1.4,
2000-01-14,4.4,95,96,10.7,2.59,2.8,
2000-01-15,4.9,89,52,18.5,4.0,0.0,
2000-01-16,4.7,86,56,17.2,4.06,0.0,
2000-01-17,8.5,92,70,15.8,4.65,0.0,
2000-01-18,8.3,87,99,21.1,1.61,0.1,
2000-01-19,6.2,81,74,17.0,3.64,0.0,
2000-01-20,5.6,87,54,11.0,5.4,0.0,
2000-01-21,6.8,87,82,14.2,3.06,0.0,
2000-01-22,6.3,87,79,25.4,3.28,3.2,
2000-01-23,5.9,84,60,22.9,3.68,0.1,
2000-01-24,1.3,80,55,11.9,5.96,0.0,
2000-01-25,1.9,72,3,10.7,6.93,0.0,
2000-01-26,1.5,69,0,10.0,7.14,0.0,
2000-01-27,3.3,76,0,10.5,7.24,0.0,
2000-01-28,6.8,85,56,22.4,6.2,0.0,
2000-01-29,9.9,90,100,31.6,1.01,3.2,
2000-01-30,11.2,88,100,28.0,1.1,1.6,
2000-01-31,11.1,80,100,22.4,3.88,0.0,
2000-02-01,11.8,88,88,13.2,5.69,0.0,
2000-02-02,9.7,89,75,14.5,1.85,5.2,
2000-02-03,8.4,87,59,10.3,5.38,0.0,
2000-02-04,8.8,87,89,14.3,6.39,0.0,
2000-02-05,12.6,81,65,12.3,8.17,0.0,
2000-02-06,9.9,90,99,22.7,2.8,1.5,
2000-02-07,10.2,88,84,28.3,3.59,5.4,
2000-02-08,12.1,89,86,31.9,0.53,7.2,
2000-02-09,10.2,69,46,24.1,7.15,0.0,
2000-02-10,9.4,85,83,26.9,3.9,4.3,
2000-02-11,8.0,82,7,12.7,8.79,0.0,
2000-02-12,8.4,82,63,29.1,6.36,1.6,
2000-02-13,11.1,90,99,24.0,3.36,3.9,
2000-02-14,10.6,90,97,18.8,2.69,1.3,
2000-02-15,10.5,83,94,22.8,5.21,1.7,
2000-02-16,7.2,82,63,32.0,6.75,4.1,
2000-02-17,7.1,75,51,22.5,9.04,2.7,
2000-02-18,12.0,81,84,25.6,5.62,4.9,
2000-02-19,8.8,82,59,24.6,6.59,2.1,
2000-02-20,7.4,78,35,15.3,8.95,0.0,
2000-02-21,8.3,77,81,10.1,8.22,0.0,
2000-02-22,8.4,78,82,10.4,5.28,0.0,
2000-02-23,8.8,77,84,14.2,5.22,0.0,
2000-02-24,12.0,91,100,20.2,1.59,0.5,
2000-02-25,10.5,81,91,24.2,5.33,1.7,
2000-02-26,8.2,77,82,6.5,5.93,0.0,
2000-02-27,15.4,83,49,18.8,11.78,0.0,
2000-02-28,11.1,85,88,31.9,3.07,6.2,
2000-02-29,9.1,89,98,35.9,2.52,8.4,
2000-03-01,8.5,80,72,26.5,8.95,2.5,
2000-03-02,9.0,76,64,25.5,8.92,0.0,
2000-03-03,11.4,81,100,35.8,2.71,11.4,
2000-03-04,7.0,67,29,16.5,12.77,0.4,
2000-03-05,7.8,71,28,8.0,10.09,0.0,
2000-03-06,9.7,72,11,9.4,14.22,0.0,
2000-03-07,13.2,72,78,14.7,6.76,0.0,
2000-03-08,15.5,65,87,22.5,11.96,0.0,
2000-03-09,12.6,79,84,19.5,5.48,0.1,
2000-03-10,12.4,89,82,14.3,5.75,0.0,
2000-03-11,12.0,86,79,15.2,4.69,0.0,
2000-03-12,10.9,76,82,14.3,10.52,0.0,
2000-03-13,14.0,80,45,9.9,14.14,0.0,
2000-03-14,15.1,85,84,25.2,10.86,1.1,
2000-03-15,8.8,73,59,14.8,9.86,0.0,
2000-03-16,10.9,80,65,9.6,7.8,0.0,
2000-03-17,11.7,80,94,14.1,8.7,0.0,
2000-03-18,10.1,75,91,22.0,6.79,0.0,
2000-03-19,10.7,74,85,18.4,12.66,0.5,
2000-03-20,10.9,74,91,17.8,12.85,0.0,
2000-03-21,13.8,72,44,10.2,17.61,0.0,
2000-03-22,16.2,75,34,8.4,17.16,0.0,
2000-03-23,15.6,80,94,11.1,11.71,1.3,
2000-03-24,13.6,81,93,19.6,6.55,5.2,
2000-03-25,11.1,79,95,15.0,9.63,3.1,
2000-03-26,10.0,87,67,16.1,11.79,5.3,
2000-03-27,9.4,86,69,15.3,13.94,1.9,
2000-03-28,9.2,80,94,23.1,9.64,0.0,
2000-03-29,6.5,82,90,17.2,5.89,4.4,
2000-03-30,9.8,86,100,9.9,6.0,4.9,
2000-03-31,11.1,82,74,10.2,14.14,3.2,
2000-04-01,11.1,86,89,18.8,9.55,0.9,
2000-04-02,15.2,77,98,18.9,15.27,0.0,
2000-04-03,14.4,76,99,16.7,10.86,3.9,
2000-04-04,14.9,84,60,22.2,17.87,6.4,
2000-04-05,6.5,75,98,22.8,4.61,1.6,
2000-04-06,9.3,59,52,19.1,17.42,0.0,
2000-04-07,13.2,63,0,16.3,22.0,0.0,
2000-04-08,15.0,66,9,13.3,21.98,0.0,
2000-04-09,14.5,79,95,11.4,14.88,3.0,
