datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,4.7,90,95,10.8,1.32,0.3,
2000-01-02,5.9,53,2,11.5,10.6,0.0,
2000-01-03,8.9,56,27,12.9,9.0,0.0,
2000-01-04,4.7,86,78,7.7,3.04,3.3,
2000-01-05,2.9,97,100,12.0,1.49,5.9,
2000-01-06,-0.4,54,43,16.8,10.52,0.0,
2000-01-07,-2.2,28,23,6.4,10.34,0.0,
2000-01-08,2.6,49,83,5.0,6.73,0.0,
2000-01-09,4.8,71,75,7.8,6.57,0.0,
2000-01-10,4.8,69,45,15.6,11.06,0.0,
2000-01-11,0.4,66,100,15.8,2.95,0.3,
2000-01-12,0.5,74,93,9.5,6.5,1.6,
2000-01-13,0.2,59,62,10.9,10.16,0.0,
2000-01-14,1.9,57,33,8.6,11.42,0.0,
2000-01-15,0.3,71,99,6.1,4.42,2.7,
2000-01-16,0.3,72,92,13.3,7.06,0.0,
2000-01-17,3.1,66,31,7.5,11.73,0.0,
2000-01-18,4.0,60,3,13.0,11.88,0.0,
2000-01-19,-0.1,33,0,11.3,12.52,0.0,
2000-01-20,1.6,38,3,9.7,12.41,0.0,
2000-01-21,2.5,58,97,7.3,7.17,0.7,
2000-01-22,2.3,78,96,8.4,5.99,1.1,
2000-01-23,3.1,71,72,16.8,11.17,0.0,
2000-01-24,-3.4,50,76,19.9,9.64,0.0,
2000-01-25,-2.7,36,0,13.8,13.04,0.0,
2000-01-26,-1.2,33,0,13.0,13.14,0.0,
2000-01-27,1.7,36,0,8.2,13.22,0.0,
2000-01-28,4.5,41,24,14.9,13.28,0.0,
2000-01-29,1.7,42,18,14.8,13.23,0.0,
2000-01-30,-1.8,29,1,15.7,13.71,0.0,
2000-01-31,-4.1,26,83,11.5,11.89,0.0,
2000-02-01,-0.8,29,7,7.3,13.85,0.0,
2000-02-02,3.0,42,31,8.7,12.88,0.0,
2000-02-03,3.8,46,1,9.4,14.19,0.0,
2000-02-04,5.6,40,55,8.1,12.38,0.0,
2000-02-05,5.0,64,85,12.6,8.38,0.5,
2000-02-06,7.8,71,27,10.5,13.54,0.0,
2000-02-07,2.2,55,41,19.4,13.06,3.9,
2000-02-08,-1.6,35,0,20.0,15.15,0.0,
2000-02-09,4.7,39,71,10.8,13.33,0.0,
2000-02-10,8.3,57,3,9.3,14.47,0.0,
2000-02-11,9.2,61,3,8.6,15.02,0.0,
2000-02-12,13.0,74,59,10.1,12.06,0.0,
2000-02-13,5.2,92,100,10.7,4.72,2.5,
2000-02-14,4.2,66,56,15.2,13.42,0.0,
2000-02-15,3.4,33,0,15.7,16.26,0.0,
2000-02-16,7.1,42,0,9.6,15.76,0.0,
2000-02-17,8.2,59,44,8.6,10.31,0.0,
2000-02-18,9.2,72,99,10.0,8.9,0.9,
2000-02-19,4.5,76,83,12.6,7.07,1.4,
2000-02-20,5.7,56,1,12.0,16.69,0.0,
2000-02-21,9.2,47,37,10.0,15.94,0.0,
2000-02-22,10.1,50,65,12.2,15.94,0.0,
2000-02-23,6.1,60,74,14.6,9.12,0.0,
2000-02-24,7.4,51,97,11.9,14.7,0.0,
2000-02-25,5.3,74,79,25.5,6.98,5.0,
2000-02-26,9.7,49,0,12.1,17.76,0.0,
2000-02-27,12.5,41,0,11.3,17.85,0.0,
2000-02-28,5.7,48,6,20.7,17.72,0.0,
2000-02-29,11.4,54,0,19.0,17.84,0.0,
2000-03-01,14.9,46,11,20.3,18.13,0.0,
2000-03-02,16.3,46,48,17.2,17.44,0.0,
2000-03-03,17.7,53,84,15.9,17.32,0.0,
2000-03-04,13.3,51,65,20.9,17.13,0.0,
2000-03-05,14.9,45,46,21.3,17.33,0.0,
2000-03-06,9.3,29,0,21.1,19.76,0.0,
2000-03-07,11.9,39,7,17.1,19.09,0.0,
2000-03-08,12.4,41,3,8.7,19.86,0.0,
2000-03-09,15.4,42,9,8.5,19.86,0.0,
2000-03-10,16.8,50,98,14.8,15.92,0.0,
2000-03-11,15.5,52,36,10.6,19.09,0.0,
2000-03-12,15.6,60,22,11.0,17.44,0.0,
2000-03-13,15.0,62,80,8.4,11.2,0.0,
