datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,18.3,89,55,11.3,7.11,0.0,18.9
2000-01-02,18.4,90,89,14.5,4.04,0.0,20.0
2000-01-03,21.7,82,69,23.2,9.37,0.0,22.2
2000-01-04,16.4,72,76,27.5,7.16,14.1,17.2
2000-01-05,7.8,52,27,24.2,13.07,0.0,8.9
2000-01-06,10.9,67,1,12.1,12.92,0.0,11.7
2000-01-07,13.2,70,39,15.0,12.24,0.0,13.9
2000-01-08,13.4,66,74,13.5,9.18,0.6,11.7
2000-01-09,15.7,95,93,21.5,2.24,8.0,16.1
2000-01-10,16.3,72,41,24.5,12.68,20.4,16.7
2000-01-11,17.8,61,0,16.4,13.12,0.0,18.9
2000-01-12,20.1,77,1,14.6,12.8,0.0,19.4
2000-01-13,17.3,72,37,24.8,6.94,2.0,20.6
2000-01-14,7.3,45,0,23.5,13.91,0.0,7.8
2000-01-15,10.7,53,0,12.9,13.68,0.0,12.8
2000-01-16,14.6,67,80,16.8,6.41,0.0,15.0
2000-01-17,14.8,80,70,10.0,10.49,0.0,15.6
2000-01-18,13.6,89,86,18.1,2.82,4.7,12.2
2000-01-19,10.6,72,84,18.8,9.57,3.4,8.9
2000-01-20,10.3,67,69,30.4,8.97,1.1,8.9
2000-01-21,3.4,39,3,20.2,14.68,0.0,2.2
2000-01-22,2.9,53,93,17.2,3.79,2.7,2.2
2000-01-23,2.0,97,100,17.1,1.51,22.0,2.2
2000-01-24,4.7,85,68,23.3,7.51,1.8,3.9
2000-01-25,2.9,47,33,24.4,12.07,0.0,1.7
2000-01-26,0.2,49,60,25.3,13.54,0.0,0.0
2000-01-27,4.6,47,42,14.4,15.41,0.0,6.1
2000-01-28,3.4,52,99,19.7,5.96,2.4,3.3
2000-01-29,-0.4,89,100,23.8,1.72,15.6,21.0
2000-01-30,3.0,94,99,16.2,3.28,4.0,1.7
2000-01-31,3.9,72,48,19.6,15.32,0.0,3.3
2000-02-01,8.5,68,18,19.2,15.58,0.0,9.4
2000-02-02,7.8,66,0,14.5,16.27,0.0,10.0
2000-02-03,11.2,64,0,16.3,16.25,0.0,14.4
2000-02-04,9.2,66,16,26.1,15.03,0.0,9.4
2000-02-05,6.5,60,12,18.9,15.84,0.0,7.2
2000-02-06,9.9,62,20,11.0,16.62,0.0,12.8
2000-02-07,13.1,66,69,10.9,14.54,0.0,15.6
2000-02-08,13.8,71,71,13.3,13.74,0.0,14.4
2000-02-09,15.3,74,5,10.6,15.99,0.0,16.1
2000-02-10,18.6,70,54,16.8,16.22,0.0,20.0
2000-02-11,19.6,79,58,16.9,9.04,0.0,21.7
2000-02-12,18.0,90,54,20.1,7.74,1.1,20.0
2000-02-13,14.6,98,98,27.1,1.88,5.8,12.2
2000-02-14,17.8,82,72,28.1,11.55,7.8,18.9
2000-02-15,17.3,61,5,15.1,17.41,0.0,20.0
2000-02-16,21.7,72,69,14.6,12.49,0.5,22.2
2000-02-17,18.0,69,57,20.2,12.93,0.2,18.3
2000-02-18,20.0,84,94,19.4,5.94,0.2,13.9
2000-02-19,16.9,77,74,22.5,10.8,2.5,17.8
2000-02-20,12.4,56,19,18.5,18.75,0.0,12.2
2000-02-21,13.1,57,0,13.9,18.77,0.0,14.4
2000-02-22,15.7,63,4,12.4,18.12,0.0,16.7
2000-02-23,17.6,55,51,15.7,17.4,0.0,18.3
2000-02-24,20.5,77,68,11.5,10.47,0.0,21.1
2000-02-25,22.6,68,19,13.4,17.11,0.0,23.3
2000-02-26,22.1,67,45,22.3,16.05,0.0,22.2
2000-02-27,15.4,78,73,18.9,5.04,9.0,17.2
2000-02-28,17.9,59,0,15.5,20.01,0.0,18.9
2000-02-29,19.3,62,30,10.0,19.7,0.0,20.0
2000-03-01,20.1,77,42,20.5,11.76,0.0,22.2
2000-03-02,18.2,57,7,17.5,19.86,0.0,18.3
2000-03-03,21.1,55,47,10.9,17.82,1.4,21.1
2000-03-04,13.6,82,75,24.3,7.3,8.9,13.9
2000-03-05,19.8,59,0,13.6,20.61,0.0,20.6
2000-03-06,22.3,57,17,9.2,21.0,0.0,23.3
2000-03-07,24.3,56,34,10.1,20.11,0.0,25.0
2000-03-08,24.9,58,33,11.1,20.6,0.0,25.0
2000-03-09,24.3,73,59,20.4,14.62,0.4,22.2
2000-03-10,24.3,82,86,15.5,11.98,2.7,22.8
2000-03-11,20.8,90,96,25.1,8.01,17.0,19.4
2000-03-12,11.2,45,34,25.8,22.55,0.0,10.6
2000-03-13,13.6,53,2,10.5,22.4,0.0,13.9
2000-03-14,17.7,58,61,10.9,21.87,0.0,17.8
2000-03-15,20.4,59,94,17.6,15.49,0.5,21.1
2000-03-16,18.7,86,100,19.4,3.09,21.1,19.4
2000-03-17,17.1,75,59,20.8,16.39,0.0,17.2
2000-03-18,14.1,49,43,23.4,18.71,0.0,10.0
2000-03-19,14.8,79,100,32.0,5.36,9.8,13.9
2000-03-20,16.0,77,53,22.5,17.57,23.4,16.7
2000-03-21,19.7,71,8,10.9,22.55,0.0,20.6
2000-03-22,21.5,72,49,11.8,22.33,0.0,22.8
2000-03-23,20.0,69,0,15.8,22.83,0.0,21.7
