datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,28.5,82,51,21.0,15.22,0.0,31.0
2000-01-02,28.3,82,96,15.4,13.13,0.3,31.0
2000-01-03,27.7,75,16,24.8,16.77,0.0,31.0
2000-01-04,28.3,75,16,24.0,17.87,0.0,30.0
2000-01-05,28.0,76,32,21.1,12.91,0.0,31.0
2000-01-06,28.4,81,18,13.7,14.81,0.0,31.0
2000-01-07,28.3,82,61,14.5,13.32,0.2,32.0
2000-01-08,28.4,82,93,19.8,15.08,0.0,30.0
2000-01-09,29.5,79,47,15.5,17.87,0.0,31.7
2000-01-10,29.2,81,66,15.2,13.95,0.0,32.0
2000-01-11,29.0,78,48,18.2,18.33,0.0,32.0
2000-01-12,28.6,81,32,13.6,14.84,0.0,31.0
2000-01-13,28.6,81,30,15.2,13.21,0.0,31.0
2000-01-14,28.8,80,26,14.4,15.15,0.3,31.8
2000-01-15,29.5,78,22,15.8,15.57,0.0,31.0
2000-01-16,30.0,79,11,12.6,18.71,0.0,31.0
2000-01-17,29.5,78,36,13.7,17.0,0.0,31.0
2000-01-18,27.4,77,61,16.0,15.1,0.6,30.0
2000-01-19,27.8,79,68,9.2,16.01,0.5,29.4
2000-01-20,28.2,77,40,21.5,17.33,0.0,29.8
2000-01-21,26.9,80,70,19.8,10.32,3.7,28.5
2000-01-22,26.4,78,58,32.2,12.37,2.1,26.0
2000-01-23,27.0,74,16,31.6,17.52,0.0,30.0
2000-01-24,28.2,70,13,28.4,18.99,0.0,31.0
2000-01-25,28.0,73,32,19.2,16.89,0.1,30.0
2000-01-26,27.9,71,51,28.0,19.27,0.0,29.0
2000-01-27,26.2,73,24,26.4,17.46,0.1,27.1
2000-01-28,25.3,70,34,34.9,18.17,0.2,28.0
2000-01-29,25.2,64,50,32.4,20.36,0.0,27.0
2000-01-30,26.0,67,44,32.9,16.91,0.0,29.0
2000-01-31,25.6,70,77,30.8,15.97,0.0,27.0
2000-02-01,23.2,81,100,17.6,4.46,11.0,28.0
2000-02-02,24.2,81,97,24.5,4.29,1.0,29.0
2000-02-03,24.1,89,100,18.4,4.19,20.1,28.0
2000-02-04,26.5,89,96,18.3,8.7,8.5,29.0
2000-02-05,26.8,89,98,13.7,8.46,2.7,28.0
2000-02-06,25.8,93,100,5.2,5.15,14.1,30.0
2000-02-07,27.7,91,80,9.2,15.21,3.0,30.0
2000-02-08,26.4,84,97,21.0,8.27,17.7,29.9
2000-02-09,25.5,71,47,31.3,19.31,0.0,28.8
2000-02-10,25.7,76,95,24.1,12.65,3.2,29.0
2000-02-11,27.3,82,97,16.0,11.46,0.5,28.0
