datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,8.5,80,44,14.0,8.62,0.5,
2000-01-02,10.5,62,2,12.9,11.43,0.0,9.4
2000-01-03,9.5,82,71,12.2,10.32,0.0,1.0
2000-01-04,3.1,64,99,13.5,2.43,0.0,
2000-01-05,3.3,71,87,14.8,2.88,0.5,1.0
2000-01-06,8.4,48,37,13.4,10.34,0.0,
2000-01-07,-0.7,42,36,13.2,5.5,0.0,
2000-01-08,4.3,67,66,8.4,9.25,0.0,-0.8
2000-01-09,7.9,76,45,11.6,11.58,0.3,
2000-01-10,1.4,90,88,18.9,2.13,9.3,-0.2
2000-01-11,-0.3,92,96,22.1,3.19,9.4,-1.3
2000-01-12,0.3,85,63,9.3,11.0,0.0,-1.0
2000-01-13,-0.7,88,91,10.4,8.51,0.0,-2.4
2000-01-14,-0.1,85,74,8.5,8.96,1.3,-2.1
2000-01-15,-1.1,91,97,9.8,5.94,4.9,-2.5
2000-01-16,0.2,86,94,12.9,7.76,0.0,-1.2
2000-01-17,4.1,81,49,8.4,11.95,0.0,-0.2
2000-01-18,5.4,62,15,19.3,13.21,0.0,5.8
2000-01-19,1.4,51,3,15.3,13.65,0.0,1.7
2000-01-20,1.5,60,21,13.0,12.98,0.0,-0.7
2000-01-21,-0.9,76,85,12.6,4.05,2.6,-2.3
2000-01-22,2.9,78,44,9.2,12.9,0.0,2.3
2000-01-23,1.8,81,70,14.2,7.66,0.2,-3.6
2000-01-24,-1.9,71,83,22.5,9.82,0.1,-3.8
2000-01-25,-1.4,56,39,6.5,13.33,0.0,-2.4
2000-01-26,0.4,53,0,9.3,13.87,0.0,-0.8
2000-01-27,1.8,51,22,10.4,14.2,0.0,2.2
2000-01-28,4.2,53,94,10.7,10.87,0.0,1.7
2000-01-29,5.2,45,33,17.8,13.56,0.0,4.4
2000-01-30,0.7,35,50,15.9,13.54,0.0,0.6
2000-01-31,-0.6,36,82,13.0,10.2,0.0,-3.5
2000-02-01,1.5,44,16,10.1,14.29,0.0,-0.8
2000-02-02,4.7,60,26,9.4,14.03,0.0,3.6
2000-02-03,5.0,70,36,8.8,14.05,0.0,1.7
2000-02-04,5.4,70,92,6.5,10.05,0.0,1.3
2000-02-05,9.5,71,5,13.5,14.72,0.0,8.4
2000-02-06,11.6,59,29,11.8,14.28,0.0,11.3
2000-02-07,6.4,34,0,26.0,15.84,0.0,6.1
2000-02-08,2.4,38,35,24.4,15.76,0.0,1.0
2000-02-09,6.6,52,51,10.2,14.54,0.0,5.6
2000-02-10,12.0,72,18,9.5,15.41,0.0,10.7
2000-02-11,11.3,76,48,7.7,14.77,0.0,8.1
2000-02-12,14.4,76,29,10.3,15.06,0.0,12.0
2000-02-13,9.2,86,71,12.1,6.36,0.6,6.0
2000-02-14,11.2,57,83,15.7,15.25,0.0,
2000-02-15,8.3,59,20,10.5,16.44,0.0,8.3
2000-02-16,11.1,64,34,11.8,15.8,0.0,9.9
2000-02-17,12.1,73,60,11.3,12.63,0.0,8.5
2000-02-18,4.8,87,98,19.0,3.14,4.4,4.2
2000-02-19,6.9,83,90,15.5,7.73,0.0,
2000-02-20,7.7,62,59,7.3,11.92,0.0,5.2
2000-02-21,8.2,66,67,13.5,10.12,0.0,6.0
2000-02-22,9.5,68,93,10.2,11.79,0.0,7.8
2000-02-23,11.1,68,59,12.7,11.94,0.0,8.0
2000-02-24,9.1,59,89,12.2,10.16,0.0,4.3
2000-02-25,10.0,49,39,33.0,18.03,0.4,9.0
2000-02-26,12.6,33,0,16.8,18.8,0.0,13.7
2000-02-27,15.3,45,25,10.4,18.55,0.0,15.7
2000-02-28,10.4,53,58,21.9,18.05,0.0,8.5
2000-02-29,12.6,64,40,15.2,18.18,0.0,12.8
2000-03-01,14.7,57,66,16.3,16.62,0.0,14.2
2000-03-02,15.4,61,66,14.7,15.05,0.0,15.3
2000-03-03,17.4,61,72,11.4,16.03,0.0,15.9
2000-03-04,15.1,49,65,24.1,17.25,0.0,
2000-03-05,16.7,44,18,9.5,19.16,0.0,15.6
2000-03-06,13.5,38,28,19.9,19.48,0.0,12.3
2000-03-07,14.6,42,61,9.4,16.18,0.0,14.3
2000-03-08,14.1,48,83,9.2,19.74,0.0,13.4
2000-03-09,16.4,46,94,11.5,18.75,0.0,15.6
2000-03-10,13.1,53,92,11.6,11.0,0.0,12.4
2000-03-11,15.3,64,18,13.5,20.39,0.0,14.1
2000-03-12,15.4,69,48,16.0,19.33,0.0,14.2
2000-03-13,16.4,68,88,11.4,18.18,0.0,13.5
2000-03-14,17.1,61,63,16.3,14.69,0.0,15.6
2000-03-15,18.3,55,74,19.1,18.26,0.0,16.9
2000-03-16,20.0,49,55,12.0,20.95,0.0,20.0
2000-03-17,20.6,48,71,14.8,13.19,0.0,20.8
2000-03-18,24.6,42,36,23.4,21.0,0.0,
2000-03-19,15.4,28,6,18.3,22.22,0.0,13.5
2000-03-20,17.4,42,47,10.8,19.36,0.0,13.9
2000-03-21,14.7,50,81,16.4,6.66,0.2,12.4
2000-03-22,15.7,52,62,12.3,11.7,0.6,12.4
2000-03-23,17.8,18,61,22.7,22.62,0.0,16.8
2000-03-24,19.4,26,28,10.3,23.38,0.0,17.7
2000-03-25,22.1,23,77,15.8,22.54,0.0,22.1
2000-03-26,24.3,18,8,20.5,23.71,0.0,24.4
2000-03-27,23.4,24,22,39.3,20.71,0.0,24.0
2000-03-28,20.2,18,0,22.7,23.88,0.0,20.2
2000-03-29,22.1,26,2,18.0,23.36,0.0,
2000-03-30,27.0,48,3,11.5,22.38,0.0,24.2
2000-03-31,24.4,34,28,22.6,23.05,0.0,22.1
2000-04-01,16.6,61,100,16.3,3.56,6.9,15.0
2000-04-02,17.2,72,75,9.2,17.08,0.2,13.3
2000-04-03,19.6,62,93,11.2,15.41,0.0,17.3
2000-04-04,25.3,53,58,24.5,21.99,0.0,
2000-04-05,17.0,25,21,17.7,25.16,0.0,16.9
2000-04-06,22.4,38,80,17.3,19.84,0.0,22.9
2000-04-07,21.7,29,67,16.6,23.82,0.0,20.0
2000-04-08,23.5,60,75,13.0,18.92,6.2,19.8
2000-04-09,25.6,57,65,29.6,22.89,0.2,24.7
2000-04-10,17.8,35,71,10.2,24.17,0.0,17.4
2000-04-11,22.8,36,54,16.4,21.33,0.0,22.8
2000-04-12,29.6,43,3,17.6,24.94,0.0,30.0
2000-04-13,25.2,48,28,31.9,24.19,0.4,21.0
2000-04-14,12.1,59,95,27.1,8.83,8.5,
2000-04-15,20.0,55,15,12.5,25.43,0.0,20.8
2000-04-16,24.4,41,1,11.6,26.07,0.0,25.2
2000-04-17,26.7,59,34,18.7,24.49,2.1,25.4
2000-04-18,26.0,72,71,15.7,21.63,1.4,24.3
2000-04-19,26.3,73,66,16.3,22.51,0.0,
2000-04-20,25.0,40,40,24.6,18.81,0.0,25.0
2000-04-21,28.9,28,49,17.4,24.77,0.0,
2000-04-22,26.4,28,26,19.5,26.79,0.0,
2000-04-23,25.9,39,49,13.0,25.31,0.0,23.6
2000-04-24,29.0,54,37,19.4,24.8,0.2,
2000-04-25,28.2,30,100,24.5,18.73,0.0,24.8
2000-04-26,24.7,23,17,15.9,27.13,0.0,25.0
2000-04-27,27.8,36,53,15.2,26.06,0.0,25.4
2000-04-28,28.8,38,59,19.1,26.34,0.0,27.4
2000-04-29,26.0,36,81,24.2,21.99,0.0,26.1
2000-04-30,30.3,27,67,14.5,26.0,0.0,30.8
2000-05-01,32.4,27,60,15.0,26.3,0.0,29.1
2000-05-02,31.7,39,35,19.2,26.21,0.0,29.9
2000-05-03,33.3,25,5,20.7,27.58,0.0,32.5
2000-05-04,36.1,35,20,23.2,26.95,0.0,
2000-05-05,27.2,42,50,35.6,25.13,0.0,23.8
2000-05-06,24.9,39,59,18.3,27.53,0.6,22.9
2000-05-07,27.5,36,11,13.9,27.67,0.0,27.1
2000-05-08,29.9,56,77,17.5,21.52,3.6,25.3
2000-05-09,29.4,57,43,20.9,25.45,2.0,28.0
2000-05-10,28.0,48,10,14.4,27.88,0.0,28.9
2000-05-11,23.9,65,52,21.9,13.86,8.4,
2000-05-12,29.4,46,4,27.0,27.51,0.0,28.0
2000-05-13,25.8,61,57,12.6,25.87,0.3,23.7
2000-05-14,25.6,71,70,12.7,16.32,7.0,22.8
2000-05-15,23.7,80,91,19.9,11.17,0.1,20.4
2000-05-16,26.7,65,62,8.8,21.65,0.0,24.7
2000-05-17,30.2,59,56,19.8,23.04,0.5,31.4
2000-05-18,30.1,28,32,26.0,28.77,0.0,30.6
2000-05-19,31.7,25,0,18.7,28.94,0.0,32.6
2000-05-20,36.3,37,4,19.0,28.24,0.0,36.5
2000-05-21,37.7,36,17,22.1,26.62,0.0,38.5
2000-05-22,36.2,37,95,18.0,25.21,0.0,30.1
2000-05-23,36.0,37,83,17.4,22.04,0.0,34.3
2000-05-24,33.7,50,50,22.4,20.05,0.1,33.6
2000-05-25,28.2,58,70,18.9,16.91,0.0,28.1
2000-05-26,29.8,61,44,14.5,18.93,0.2,26.9
2000-05-27,26.1,56,84,23.1,20.45,0.0,25.0
2000-05-28,27.5,46,95,14.2,10.02,0.0,27.0
2000-05-29,22.5,60,81,16.3,9.09,0.2,21.3
2000-05-30,31.7,62,77,18.6,24.6,0.0,32.7
2000-05-31,35.9,57,26,22.5,28.16,0.0,36.9
2000-06-01,31.2,66,100,18.9,13.68,1.2,
2000-06-02,24.1,94,99,21.0,1.66,46.0,
2000-06-03,24.5,80,98,20.5,7.44,11.6,22.5
2000-06-04,27.1,68,43,9.4,21.86,0.0,29.1
2000-06-05,28.3,70,22,13.5,24.43,0.0,30.7
2000-06-06,29.7,66,17,13.2,28.28,0.0,32.5
2000-06-07,33.0,62,71,17.6,23.79,0.0,34.1
2000-06-08,33.1,52,34,16.5,26.35,0.0,35.7
2000-06-09,28.9,55,77,26.5,25.07,0.0,28.1
2000-06-10,29.6,55,55,11.8,25.14,0.0,28.7
2000-06-11,30.4,70,25,12.3,25.21,1.4,32.0
2000-06-12,29.3,65,20,13.6,26.09,6.7,29.4
2000-06-13,31.6,50,48,13.2,29.18,0.0,33.6
2000-06-14,32.8,52,82,20.6,23.48,0.0,33.9
2000-06-15,33.3,54,80,17.9,25.19,0.0,34.6
2000-06-16,32.5,54,41,11.6,25.36,0.0,32.3
2000-06-17,32.2,52,46,16.0,26.42,0.0,31.2
2000-06-18,33.0,49,89,12.8,25.75,0.0,32.6
2000-06-19,33.8,46,89,5.9,19.72,0.0,
2000-06-20,33.8,56,79,11.8,24.37,3.7,30.6
2000-06-21,31.7,74,87,11.9,21.2,5.5,31.1
2000-06-22,27.4,84,97,6.8,12.79,13.2,25.7
2000-06-23,31.0,73,40,10.0,21.28,0.0,31.1
2000-06-24,31.2,78,90,16.4,20.19,4.6,32.3
2000-06-25,23.7,98,100,17.2,1.26,97.5,26.7
2000-06-26,25.8,88,100,19.8,5.81,21.3,27.8
2000-06-27,28.1,85,100,12.4,11.43,8.0,31.7
2000-06-28,25.8,90,99,6.9,8.6,27.1,27.0
2000-06-29,31.7,79,32,11.2,26.74,0.0,34.4
2000-06-30,33.3,73,10,11.2,26.81,0.0,35.9
2000-07-01,33.4,79,93,12.4,22.24,0.0,36.2
2000-07-02,30.8,79,41,11.4,20.49,3.6,34.3
2000-07-03,26.7,92,94,15.7,5.14,23.9,25.4
