datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,25.7,68,28,24.8,13.19,0.0,25.6
2000-01-02,25.9,77,71,23.8,8.4,0.9,24.4
2000-01-03,20.7,44,15,25.1,14.49,0.7,22.8
2000-01-04,12.5,31,0,32.1,14.69,0.0,12.8
2000-01-05,14.4,40,0,21.6,14.63,0.0,15.6
2000-01-06,19.7,80,43,16.5,8.82,0.7,19.4
2000-01-07,14.3,96,100,20.9,1.64,27.0,12.2
2000-01-08,16.9,82,81,13.0,11.55,7.2,16.7
2000-01-09,22.4,66,0,21.2,14.3,0.0,24.4
2000-01-10,23.8,34,0,17.1,14.77,0.0,26.1
2000-01-11,24.8,67,0,16.7,14.47,0.0,24.4
2000-01-12,24.8,85,59,25.3,8.94,0.0,26.1
2000-01-13,20.3,67,20,23.6,14.34,0.0,21.7
2000-01-14,17.8,33,23,17.3,13.97,0.0,19.4
2000-01-15,22.4,67,87,25.8,10.98,0.0,23.0
2000-01-16,22.8,76,68,25.9,7.98,0.0,23.9
2000-01-17,23.7,74,68,20.1,9.64,0.0,25.6
2000-01-18,25.8,76,8,19.6,14.49,0.0,27.8
2000-01-19,27.7,64,24,18.6,14.89,0.0,30.0
2000-01-20,17.4,39,45,25.9,15.37,0.0,17.2
2000-01-21,18.7,57,63,19.2,7.41,0.0,15.6
2000-01-22,23.7,79,91,25.6,9.0,0.0,22.8
2000-01-23,22.6,68,34,18.9,15.03,0.0,23.3
2000-01-24,16.0,53,28,16.8,15.34,0.0,11.7
2000-01-25,16.3,46,44,16.4,14.82,0.0,16.1
2000-01-26,10.2,43,64,13.7,6.2,0.0,8.3
2000-01-27,9.0,89,100,23.9,2.6,17.3,6.7
2000-01-28,6.6,66,79,22.9,13.94,0.0,2.2
2000-01-29,7.1,59,62,16.3,15.62,0.0,5.0
2000-01-30,9.4,65,30,11.1,14.0,0.0,7.8
2000-01-31,14.8,71,51,14.4,14.98,0.0,12.2
2000-02-01,10.6,83,100,17.9,3.11,6.2,11.1
2000-02-02,14.1,74,65,14.4,12.29,5.8,11.7
2000-02-03,21.4,71,0,13.8,16.89,0.0,22.8
2000-02-04,15.9,51,0,24.5,17.16,0.0,16.7
2000-02-05,12.8,51,9,12.8,17.39,0.0,13.9
2000-02-06,17.4,75,52,18.4,10.47,0.0,18.3
2000-02-07,21.9,78,38,13.1,11.91,0.5,22.8
2000-02-08,21.9,68,0,10.1,17.59,0.0,23.3
2000-02-09,22.7,74,55,25.3,14.98,0.0,23.3
2000-02-10,26.4,77,29,23.8,14.77,0.0,26.7
2000-02-11,26.2,70,42,13.9,16.12,0.0,21.1
2000-02-12,19.2,73,82,18.2,9.1,0.0,18.9
2000-02-13,27.2,62,44,22.4,16.03,0.0,27.8
2000-02-14,24.0,45,32,10.7,18.1,0.0,22.8
2000-02-15,26.0,74,42,17.7,14.22,0.0,27.8
2000-02-16,25.1,82,81,15.5,7.93,0.1,25.6
2000-02-17,26.5,83,74,30.7,10.72,2.1,27.8
2000-02-18,25.5,71,60,23.4,9.27,1.3,26.7
2000-02-19,18.1,40,40,21.5,18.53,0.0,16.7
2000-02-20,19.6,45,74,11.3,14.29,0.0,19.4
2000-02-21,22.6,72,86,20.3,5.74,0.0,
2000-02-22,23.5,80,90,29.9,6.2,0.4,23.9
2000-02-23,25.8,71,36,22.8,17.87,10.3,25.6
2000-02-24,26.4,78,52,34.7,13.49,0.3,26.1
2000-02-25,27.4,77,55,29.7,12.65,1.4,26.7
2000-02-26,21.3,59,50,25.1,17.05,20.6,21.7
2000-02-27,21.6,48,0,10.8,20.7,0.0,22.2
2000-02-28,22.9,60,29,22.9,20.25,0.0,23.3
2000-02-29,25.5,76,69,25.3,11.23,0.2,25.0
2000-03-01,24.8,85,89,17.6,9.41,0.1,25.6
2000-03-02,26.4,76,61,32.1,11.79,0.2,26.7
2000-03-03,20.1,57,31,24.3,20.98,0.2,21.7
2000-03-04,19.1,53,32,15.7,21.32,0.0,18.9
2000-03-05,22.0,65,77,20.1,11.94,0.0,22.2
2000-03-06,26.5,72,83,23.5,11.96,0.4,26.1
2000-03-07,27.2,80,77,36.6,12.38,1.6,26.7
2000-03-08,22.1,64,85,24.7,8.86,13.5,25.0
2000-03-09,27.3,72,50,11.2,17.79,0.0,29.4
2000-03-10,26.8,85,86,23.4,10.96,10.7,27.8
2000-03-11,16.2,56,6,30.5,22.67,0.7,16.1
2000-03-12,18.0,59,27,11.4,22.8,0.0,19.4
2000-03-13,21.6,71,61,15.6,14.97,0.0,21.7
2000-03-14,18.8,84,95,20.4,6.2,6.6,17.8
2000-03-15,21.1,83,73,11.1,10.45,0.0,22.8
2000-03-16,26.1,80,33,25.8,19.89,13.4,27.2
2000-03-17,12.7,76,100,22.2,6.94,15.3,10.0
2000-03-18,22.7,77,84,26.2,10.85,0.1,21.1
2000-03-19,19.4,54,24,25.8,23.93,3.5,20.6
2000-03-20,22.7,58,28,25.3,23.54,0.0,23.9
2000-03-21,19.8,91,96,25.2,4.37,7.6,22.2
2000-03-22,25.8,85,94,32.0,10.86,2.7,26.7
2000-03-23,23.9,80,83,28.2,11.52,4.7,23.9
2000-03-24,26.8,81,89,16.2,15.13,0.9,29.4
2000-03-25,26.7,77,71,16.7,19.39,0.0,28.3
2000-03-26,27.2,80,80,16.1,14.16,0.0,29.4
2000-03-27,27.2,66,21,23.4,23.79,0.0,28.3
2000-03-28,29.0,77,47,20.4,18.8,4.7,27.2
2000-03-29,30.6,65,34,20.6,24.3,8.2,32.8
2000-03-30,23.0,60,51,23.2,24.33,0.0,23.3
2000-03-31,23.4,69,95,16.9,15.9,0.0,22.2
2000-04-01,23.6,89,100,17.1,5.27,12.9,21.1
2000-04-02,18.2,91,100,16.7,4.35,21.3,16.0
2000-04-03,21.9,68,37,27.0,24.06,4.3,19.0
2000-04-04,19.6,47,0,17.4,26.24,0.0,20.0
2000-04-05,23.9,57,0,23.3,25.97,0.0,25.6
2000-04-06,26.8,73,1,24.5,25.37,0.0,27.8
2000-04-07,29.6,76,26,24.5,24.33,2.2,29.4
2000-04-08,20.1,35,20,33.0,26.81,0.0,19.4
2000-04-09,22.0,55,42,22.9,25.68,0.0,23.3
2000-04-10,23.8,71,91,27.0,10.84,0.0,24.0
2000-04-11,26.7,78,85,20.4,12.08,3.9,25.6
2000-04-12,21.9,85,94,18.4,9.07,16.9,21.1
2000-04-13,21.5,74,47,12.9,17.33,0.0,22.2
2000-04-14,24.8,76,37,15.1,20.11,0.0,21.7
2000-04-15,26.6,77,65,22.8,15.15,0.0,26.7
2000-04-16,27.5,79,69,16.5,15.12,0.6,28.9
2000-04-17,28.3,76,38,13.0,23.72,0.0,28.9
2000-04-18,28.1,78,96,20.0,15.57,0.0,26.7
2000-04-19,30.6,73,73,25.1,22.69,0.0,30.6
2000-04-20,27.0,60,55,24.4,24.24,0.0,28.9
2000-04-21,26.4,55,18,13.8,27.51,0.0,27.2
2000-04-22,28.9,53,58,27.6,26.63,0.0,27.8
2000-04-23,33.6,57,19,19.6,26.62,2.6,36.0
2000-04-24,28.6,48,0,19.8,27.36,0.0,30.0
2000-04-25,29.4,51,11,14.3,27.24,0.0,30.0
2000-04-26,30.7,53,8,15.5,26.91,0.0,30.6
2000-04-27,31.0,58,44,21.4,27.03,0.0,31.1
2000-04-28,29.4,60,58,15.8,21.77,0.0,30.0
2000-04-29,28.7,67,79,24.7,16.59,0.3,29.4
2000-04-30,29.2,75,86,30.4,15.92,8.8,30.0
2000-05-01,25.5,87,98,16.6,10.79,109.6,23.3
2000-05-02,23.6,85,81,13.7,13.64,24.0,23.9
2000-05-03,26.8,79,43,13.6,18.62,0.0,27.8
2000-05-04,26.9,89,93,16.8,11.71,17.0,30.6
2000-05-05,27.9,83,77,24.3,15.81,1.3,30.6
2000-05-06,29.5,78,56,29.5,21.56,0.0,31.1
2000-05-07,30.3,78,43,24.9,25.21,0.0,31.1
2000-05-08,30.6,76,53,24.3,24.58,0.0,31.1
2000-05-09,28.6,79,76,22.6,15.93,2.1,30.0
2000-05-10,30.2,80,66,20.6,17.83,1.2,31.1
2000-05-11,31.9,77,61,29.3,22.94,0.0,31.7
2000-05-12,31.5,79,94,23.9,16.9,0.0,32.2
2000-05-13,26.3,69,49,27.1,20.56,3.9,27.2
2000-05-14,26.1,54,53,15.0,23.03,0.0,26.7
2000-05-15,28.4,71,42,19.2,20.58,0.0,29.4
2000-05-16,31.5,74,71,28.8,26.64,0.0,31.7
2000-05-17,30.3,70,96,34.3,25.56,0.0,31.1
2000-05-18,30.7,74,73,26.3,17.26,0.5,31.1
2000-05-19,29.0,87,81,22.4,15.15,30.9,31.7
2000-05-20,25.0,86,91,18.9,10.72,30.0,25.0
