stad,label_nu,kampioen,beste_klimvariant,mae_kampioen,mae_ridge,mae_ridge_klim,p_vs_ridge,upgrade,flip
New York,ML,ridge,klimL,0.889,0.889,0.888,0.774,0,0
Chicago,LINEAIR,ref_lin,klimL,0.935,0.916,0.916,0.645,0,0
Miami,LINEAIR,ref_lin,klimG,0.611,0.587,0.584,0.56,0,0
Los Angeles,ML,ridge,klimL,0.97,0.97,0.97,0.695,0,0
San Francisco,LINEAIR,ref_lin,klimG,1.089,1.124,1.086,0.001,1,0
Seattle,ML,ridge,klimL,0.757,0.757,0.757,0.181,0,0
Denver,ML,ridge,klimG,1.013,1.013,1.007,0.418,0,0
Dallas,ML,ridge,klimG,0.958,0.958,0.926,0.003,1,1
Houston,ML,ridge,klimG,0.845,0.845,0.835,0.044,0,0
Austin,GEPOOLD,pooled,klimG,0.896,0.949,0.915,0.017,1,0
Atlanta,ML,ridge,klimG,0.878,0.878,0.855,0.021,1,0
Londen,ML,ridge,klimL,0.715,0.715,0.715,0.538,0,0
Parijs,LINEAIR,ref_lin,klimG,0.733,0.742,0.736,0.102,0,0
Amsterdam,LINEAIR,ref_lin,klimL,0.689,0.682,0.682,0.473,0,0
Madrid,LINEAIR,ref_lin,klimL,0.744,0.776,0.776,0.754,0,0
Milaan,ML,ridge,klimG,0.837,0.837,0.801,0.0,1,0
München,ML,ridge,klimG,0.809,0.809,0.802,0.415,0,0
Warschau,ML,ridge,klimL,0.733,0.733,0.733,0.51,0,0
Helsinki,ML,ridge,klimL,0.759,0.759,0.759,1.0,0,0
Ankara,LINEAIR,ref_lin,klimL,0.716,0.709,0.709,0.152,0,0
Tokio,ML,ridge,klimG,0.82,0.82,0.814,0.276,0,0
Seoul,ML,ridge,klimL,0.796,0.796,0.796,0.927,0,0
Busan,LINEAIR,ref_lin,klimG,0.814,0.81,0.805,0.576,0,0
Taipei,ML,ridge,klimG,1.045,1.045,1.017,0.103,0,0
Peking,ML,ridge,klimG,0.89,0.89,0.881,0.442,0,0
Shanghai,ML,ridge,klimG,0.78,0.78,0.764,0.011,0,0
Guangzhou,ML,ridge,klimG,0.999,0.999,0.997,0.685,0,0
Shenzhen,LINEAIR,ref_lin,klimG,0.855,0.824,0.81,0.219,0,0
Chengdu,ML,ridge,klimG,1.021,1.021,1.001,0.028,1,0
Chongqing,ML,ridge,klimG,0.943,0.943,0.942,0.895,0,0
Wuhan,ML,ridge,klimG,0.867,0.867,0.866,0.111,0,0
Qingdao,ML,ridge,klimG,0.816,0.816,0.809,0.439,0,0
Jinan,ML,ridge,klimL,0.6,0.6,0.6,1.0,0,0
Zhengzhou,ML,ridge,klimG,0.904,0.904,0.868,0.0,1,0
Manila,LINEAIR,ref_lin,klimG,0.823,0.83,0.827,0.315,0,0
Kuala Lumpur,ML,ridge,klimL,0.873,0.873,0.873,0.796,0,0
Singapore,ML,ridge,klimL,0.646,0.646,0.646,0.285,0,0
Karachi,LINEAIR,ref_lin,klimL,0.76,0.745,0.746,0.564,0,0
Lucknow,ML,ridge,klimG,0.929,0.929,0.928,0.974,0,0
Jeddah,ML,ridge,klimG,0.888,0.888,0.886,0.538,0,0
Toronto,ML,ridge,klimL,0.856,0.856,0.856,0.392,0,0
Mexico-Stad,ML,ridge,klimG,0.694,0.694,0.691,0.178,0,0
Panama-Stad,LINEAIR,ref_lin,klimL,0.76,0.75,0.75,0.016,0,0
Buenos Aires,LINEAIR,ref_lin,klimG,0.973,0.976,0.973,0.759,0,0
São Paulo,ML,ridge,klimL,0.98,0.98,0.98,0.564,0,0
Kaapstad,LINEAIR,ref_lin,klimG,0.832,0.832,0.825,0.074,0,0
Wellington,ML,ridge,klimL,0.723,0.723,0.723,0.638,0,0
Istanbul,ML,ridge,klimL,0.787,0.787,0.787,1.0,0,0
Moskou,ML,ridge,klimL,0.788,0.788,0.788,1.0,0,0
Tel Aviv,ML,ridge,klimG,0.625,0.625,0.621,0.354,0,0
Hongkong,ML,ridge,klimG,0.765,0.765,0.749,0.023,0,0
