stad,n_test,mae_ref_lin,mae_ridge,mae_nn,nn_haalt_ml_drempel_vs_ref,nn_verslaat_ridge,p_nn_vs_ridge,crps_ridge,crps_nn
New York,572,1.001,0.889,0.921,1,0,0.123,0.647,0.672
Chicago,572,0.935,0.916,0.979,0,0,0.003,0.66,0.697
Miami,572,0.611,0.587,0.641,0,0,0.0,0.422,0.463
Los Angeles,573,1.072,0.97,1.011,0,0,0.079,0.704,0.73
San Francisco,573,1.089,1.124,1.179,0,0,0.063,0.802,0.841
Seattle,573,0.811,0.757,0.824,0,0,0.0,0.557,0.6
Denver,566,1.069,1.013,1.057,0,0,0.088,0.726,0.752
Dallas,572,1.027,0.958,0.918,1,0,0.096,0.688,0.665
Houston,572,0.924,0.845,0.903,0,0,0.001,0.614,0.656
Austin,572,0.995,0.949,0.954,0,0,0.846,0.676,0.671
Atlanta,572,0.966,0.878,0.874,1,0,0.86,0.632,0.626
Londen,572,0.757,0.715,0.743,0,0,0.081,0.514,0.539
Parijs,572,0.733,0.742,0.704,0,1,0.03,0.53,0.51
Amsterdam,572,0.689,0.682,0.703,0,0,0.204,0.48,0.5
Madrid,572,0.744,0.776,0.822,0,0,0.003,0.552,0.577
Milaan,572,0.881,0.837,0.818,1,0,0.285,0.598,0.588
München,572,0.88,0.809,0.828,1,0,0.294,0.584,0.593
Warschau,572,0.809,0.733,0.755,1,0,0.215,0.516,0.537
Helsinki,572,0.809,0.759,0.773,0,0,0.445,0.541,0.549
Ankara,572,0.716,0.709,0.726,0,0,0.285,0.511,0.522
Tokio,572,0.882,0.82,0.869,0,0,0.005,0.579,0.612
Seoul,572,0.974,0.796,0.868,1,0,0.0,0.573,0.626
Busan,572,0.814,0.81,0.861,0,0,0.003,0.578,0.614
Taipei,432,1.115,1.045,1.011,1,0,0.137,0.743,0.727
Peking,572,0.985,0.89,0.943,0,0,0.007,0.643,0.673
Shanghai,572,0.89,0.78,0.865,0,0,0.0,0.553,0.614
Guangzhou,572,1.073,0.999,1.015,1,0,0.379,0.714,0.724
Shenzhen,572,0.855,0.824,0.836,0,0,0.453,0.581,0.591
Chengdu,572,1.184,1.021,1.055,1,0,0.127,0.715,0.744
Chongqing,572,1.05,0.943,0.933,1,0,0.579,0.667,0.668
Wuhan,572,0.978,0.867,0.897,1,0,0.085,0.618,0.636
Qingdao,572,0.849,0.816,0.864,0,0,0.007,0.595,0.621
Jinan,574,0.677,0.6,0.737,0,0,0.0,0.43,0.524
Zhengzhou,572,1.048,0.904,0.914,1,0,0.635,0.642,0.653
Manila,572,0.823,0.83,0.821,0,0,0.532,0.577,0.576
Kuala Lumpur,572,0.991,0.873,0.94,1,0,0.0,0.625,0.675
Singapore,572,0.727,0.646,0.72,0,0,0.0,0.46,0.508
Karachi,570,0.76,0.745,0.767,0,0,0.165,0.537,0.554
Lucknow,549,1.031,0.929,0.93,1,0,0.923,0.664,0.67
Jeddah,572,1.017,0.888,0.943,1,0,0.003,0.627,0.668
Toronto,572,0.898,0.856,0.92,0,0,0.0,0.62,0.658
Mexico-Stad,572,0.745,0.694,0.711,1,0,0.27,0.5,0.508
Panama-Stad,566,0.76,0.75,0.767,0,0,0.19,0.54,0.554
Buenos Aires,572,0.973,0.976,1.005,0,0,0.134,0.71,0.725
São Paulo,572,1.031,0.98,1.001,0,0,0.249,0.698,0.715
Kaapstad,548,0.832,0.832,0.871,0,0,0.065,0.598,0.628
Wellington,574,0.754,0.723,0.746,0,0,0.149,0.508,0.524
Istanbul,572,0.847,0.787,0.822,0,0,0.084,0.564,0.584
Moskou,572,0.849,0.788,0.854,0,0,0.001,0.561,0.608
Tel Aviv,572,0.744,0.625,0.714,0,0,0.0,0.445,0.511
Hongkong,546,0.87,0.765,0.777,1,0,0.413,0.547,0.558
