datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,0.1,94,87,10.5,1.39,0.1,0.0
2000-01-02,-1.4,87,64,14.3,3.47,0.0,-1.0
2000-01-03,2.6,97,100,19.9,0.74,1.2,2.1
2000-01-04,3.3,96,100,19.0,0.35,2.0,3.3
2000-01-05,4.9,95,95,24.2,1.66,7.7,4.9
2000-01-06,2.1,89,96,19.9,2.29,0.1,1.6
2000-01-07,2.3,88,79,17.0,1.18,0.0,1.7
2000-01-08,3.7,91,81,13.5,1.83,0.0,4.2
2000-01-09,2.5,87,92,11.7,1.18,0.0,2.5
2000-01-10,2.4,93,86,13.5,1.84,0.9,2.4
2000-01-11,0.1,86,88,11.2,1.43,0.0,1.3
2000-01-12,0.6,77,39,13.9,3.77,0.0,1.6
2000-01-13,-0.2,77,11,17.0,4.1,0.0,-1.6
2000-01-14,-0.1,79,58,11.0,3.2,0.0,-2.6
2000-01-15,-2.2,81,97,12.1,1.48,0.1,-2.1
2000-01-16,0.1,87,94,18.6,1.85,0.0,-0.2
2000-01-17,4.1,90,79,28.1,2.4,2.5,4.0
2000-01-18,1.4,74,78,30.5,2.6,1.3,1.2
2000-01-19,-1.2,69,57,27.9,4.12,0.7,-1.3
2000-01-20,1.1,82,88,31.0,2.37,2.3,1.0
2000-01-21,0.8,78,91,25.0,3.48,2.2,0.1
2000-01-22,-3.3,69,54,23.0,4.6,0.0,-5.1
2000-01-23,-5.3,78,71,10.1,4.6,0.0,-7.3
2000-01-24,-5.7,78,81,10.1,3.16,0.0,-8.1
2000-01-25,-3.6,78,97,25.9,3.57,1.2,-4.4
2000-01-26,0.0,89,97,25.0,1.61,1.0,0.6
2000-01-27,2.6,92,100,24.6,1.31,0.7,1.8
2000-01-28,1.9,87,100,28.7,1.52,0.8,1.7
2000-01-29,4.3,77,90,29.6,3.28,3.8,3.7
2000-01-30,5.3,76,65,36.8,4.53,3.3,5.2
2000-01-31,6.8,78,74,40.0,1.63,6.8,7.9
2000-02-01,6.2,91,97,20.9,1.12,3.1,6.8
2000-02-02,5.5,93,100,25.5,0.73,6.8,6.4
2000-02-03,5.1,83,64,29.9,3.65,1.8,4.1
2000-02-04,2.8,81,52,29.0,5.23,4.5,3.2
2000-02-05,7.6,97,100,32.1,0.67,6.4,8.3
2000-02-06,10.2,89,99,17.9,4.97,0.2,11.3
2000-02-07,10.5,85,96,19.0,5.55,0.1,11.0
2000-02-08,7.8,84,84,31.3,2.62,2.0,7.9
2000-02-09,7.1,76,69,33.1,6.0,2.9,7.6
2000-02-10,4.7,84,87,15.9,3.53,0.2,4.2
2000-02-11,5.7,85,79,17.8,2.46,1.3,5.9
2000-02-12,5.4,82,62,14.6,4.94,0.0,6.1
2000-02-13,5.5,76,73,24.8,5.43,2.2,6.2
2000-02-14,3.4,90,71,19.8,6.09,1.9,2.6
2000-02-15,2.6,84,86,19.2,4.45,1.0,1.8
2000-02-16,6.3,92,100,23.1,3.39,3.7,5.4
2000-02-17,2.9,82,90,16.6,4.38,0.0,2.4
2000-02-18,2.7,85,70,19.2,5.39,1.8,0.6
2000-02-19,2.6,78,86,10.1,5.28,0.1,1.8
2000-02-20,-0.3,75,73,16.0,4.34,0.0,1.6
2000-02-21,1.1,76,66,13.4,5.34,0.0,-0.2
2000-02-22,0.8,75,53,9.7,6.06,0.0,0.6
2000-02-23,0.9,66,77,7.1,6.31,0.0,1.7
2000-02-24,2.8,67,45,20.5,9.31,1.5,2.8
2000-02-25,4.8,88,96,22.7,4.46,1.1,3.6
2000-02-26,5.3,82,78,24.2,5.7,1.3,5.0
2000-02-27,6.6,83,89,14.3,4.45,0.1,6.8
2000-02-28,10.6,56,9,28.3,11.09,0.0,12.6
2000-02-29,9.7,58,77,26.6,5.67,0.0,9.0
2000-03-01,10.7,68,97,30.0,5.47,1.2,11.0
2000-03-02,6.0,78,69,22.8,7.14,0.0,5.7
2000-03-03,6.2,78,79,34.3,6.15,2.2,6.1
2000-03-04,5.6,71,63,28.8,9.26,0.2,6.0
2000-03-05,2.0,76,61,24.2,10.07,2.1,1.2
2000-03-06,4.0,75,69,26.1,7.27,0.8,4.6
2000-03-07,8.2,77,99,30.7,1.99,1.9,9.6
2000-03-08,8.7,87,100,31.4,5.12,7.4,9.4
2000-03-09,9.3,78,90,35.5,5.15,5.4,10.6
2000-03-10,3.7,69,41,28.1,11.73,0.9,3.6
2000-03-11,1.9,82,88,20.5,4.45,8.1,1.0
2000-03-12,1.7,73,36,18.1,13.32,0.2,0.6
2000-03-13,5.1,76,65,12.4,8.19,0.0,3.7
2000-03-14,9.0,78,81,21.7,6.73,1.5,8.9
2000-03-15,6.6,81,87,29.7,11.28,10.2,6.0
2000-03-16,4.3,69,33,27.4,12.99,0.8,3.7
2000-03-17,3.4,74,73,22.7,11.62,2.5,2.6
2000-03-18,3.2,74,90,19.0,9.48,0.9,1.2
2000-03-19,3.8,75,72,16.9,12.01,0.8,1.0
2000-03-20,5.7,75,48,14.5,14.72,0.0,5.3
2000-03-21,6.6,89,96,11.0,3.63,0.0,5.6
2000-03-22,10.7,79,79,17.4,12.5,0.0,10.7
2000-03-23,10.5,75,71,19.3,9.08,0.0,10.8
