datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,9.1,91,97,13.5,2.36,4.1,10.0
2000-01-02,7.3,68,18,22.9,10.8,0.0,6.0
2000-01-03,5.2,72,68,20.3,7.18,0.0,6.2
2000-01-04,7.7,84,95,20.8,1.38,5.5,8.0
2000-01-05,4.8,92,100,20.7,1.01,6.0,6.0
2000-01-06,1.9,65,64,26.1,6.28,0.0,1.6
2000-01-07,-3.1,37,29,16.3,9.91,0.0,-3.0
2000-01-08,2.1,60,89,7.2,4.83,0.0,2.4
2000-01-09,4.2,90,99,12.9,2.12,3.9,5.0
2000-01-10,4.0,71,45,13.4,11.33,0.0,5.0
2000-01-11,1.5,63,99,14.4,3.15,0.5,2.0
2000-01-12,2.7,73,97,17.9,7.17,2.6,1.0
2000-01-13,0.6,59,95,19.5,6.11,0.0,-2.0
2000-01-14,1.5,58,57,14.9,11.56,0.0,1.0
2000-01-15,1.6,65,100,9.7,6.9,0.8,1.0
2000-01-16,1.4,66,76,18.1,8.91,0.0,2.0
2000-01-17,1.8,62,45,15.6,11.76,0.0,2.0
2000-01-18,5.2,67,11,18.1,11.6,0.0,4.0
2000-01-19,-1.5,47,11,25.4,11.46,0.0,-2.0
2000-01-20,1.4,42,1,11.8,12.48,0.0,1.0
2000-01-21,0.8,57,58,11.5,9.36,0.0,2.0
2000-01-22,3.7,93,100,13.8,3.08,4.7,3.7
2000-01-23,1.8,73,98,19.5,6.93,0.0,1.0
2000-01-24,-3.4,50,99,26.0,7.08,0.0,-5.0
2000-01-25,-2.5,41,34,22.0,13.11,0.0,-3.0
2000-01-26,-1.5,50,49,23.6,10.65,0.0,-1.0
2000-01-27,1.3,56,39,15.4,12.51,0.0,1.0
2000-01-28,4.2,56,27,11.2,13.5,0.0,4.0
2000-01-29,4.5,50,45,20.5,12.83,0.0,3.0
2000-01-30,-1.5,46,28,24.2,11.52,0.0,-1.0
2000-01-31,-2.3,45,78,18.1,9.67,0.0,-3.0
2000-02-01,-1.0,48,19,9.5,13.98,0.0,-2.0
2000-02-02,2.6,42,25,9.3,13.77,0.0,3.0
2000-02-03,2.9,48,0,17.7,14.43,0.0,2.0
2000-02-04,4.0,52,46,9.0,12.5,0.0,5.0
2000-02-05,4.1,76,78,8.6,9.5,1.9,1.4
2000-02-06,8.4,71,33,11.4,13.59,0.0,4.0
2000-02-07,0.7,65,63,25.4,8.81,5.0,1.0
2000-02-08,-2.2,48,17,25.2,15.37,0.0,-1.0
2000-02-09,2.1,51,60,11.2,14.93,0.0,1.0
2000-02-10,6.0,74,51,12.8,13.06,0.0,4.0
2000-02-11,8.5,64,0,10.9,15.45,0.0,9.0
2000-02-12,10.5,76,38,11.0,13.1,0.0,9.0
2000-02-13,10.4,80,95,16.7,11.02,0.4,9.0
2000-02-14,3.6,59,33,24.6,15.23,0.0,3.0
2000-02-15,0.8,39,0,27.7,16.39,0.0,1.0
2000-02-16,5.5,40,0,9.9,16.32,0.0,6.0
2000-02-17,7.4,67,17,10.5,14.39,0.0,7.0
2000-02-18,6.8,84,98,19.8,9.59,1.3,8.0
2000-02-19,6.8,87,92,16.3,7.73,1.5,9.0
2000-02-20,4.1,57,20,16.2,16.88,0.0,5.0
2000-02-21,6.1,55,36,11.2,16.82,0.0,6.0
2000-02-22,7.9,62,65,13.6,16.64,0.0,7.0
2000-02-23,9.4,65,50,17.7,15.73,0.0,8.0
2000-02-24,5.9,51,99,15.0,15.37,0.0,7.0
2000-02-25,3.7,67,95,19.3,7.2,2.8,3.0
2000-02-26,7.2,62,24,24.3,17.94,0.0,7.0
2000-02-27,13.3,54,2,19.4,17.47,0.0,13.0
2000-02-28,4.5,43,3,16.8,18.35,0.0,4.0
2000-02-29,9.0,55,0,13.2,18.33,0.0,8.0
2000-03-01,12.0,68,10,17.2,18.33,0.0,11.0
2000-03-02,12.2,76,58,18.0,18.21,0.0,11.0
2000-03-03,13.4,81,96,15.0,13.99,0.0,11.0
