datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2021-01-01,,,,,,,,,,,,,,54,38,23.0,12.32,0.0,0.0172,0.9999,19.5,19.4,19.4,station
2021-01-02,,,,,,,,,,,,,,78,63,14.7,11.63,0.0,0.0344,0.9994,16.1,16.7,16.7,station
2021-01-03,,,,,,,,,,,,,,91,58,12.2,10.49,0.0,0.0516,0.9987,15.0,15.6,15.6,station
2021-01-04,,,,,,,,,,,,,,90,17,22.9,11.91,0.0,0.0688,0.9976,14.5,15.0,15.0,station
2021-01-05,,,,,,,,,,,,,,93,60,13.7,10.52,0.0,0.0859,0.9963,13.2,13.3,13.3,station
2021-01-06,,,,,,,,,,,,,,76,64,10.8,11.84,0.0,0.103,0.9947,16.9,18.9,18.9,station
2021-01-07,,,,,,,,,,,,,,71,55,13.0,9.96,0.0,0.1201,0.9928,18.9,18.3,18.3,station
2021-01-08,,,,,,,,,,,,,,62,33,35.9,12.56,0.0,0.1372,0.9905,18.5,19.4,19.4,station
2021-01-09,,,,,,,,,,,,,,54,15,17.9,12.64,0.0,0.1542,0.988,20.8,21.7,21.7,station
2021-01-10,,,,,,,,,,,,,,52,35,14.7,12.05,0.0,0.1712,0.9852,18.9,21.1,21.1,station
2021-01-11,,,,,,,,,,,,,,56,26,15.3,12.95,0.0,0.1881,0.9821,19.3,21.7,21.7,station
2021-01-12,,,,,,,,,,,,,,52,44,17.1,11.23,0.0,0.205,0.9788,19.5,21.1,21.1,station
2021-01-13,,,,,,,,,,,,,,52,47,16.9,12.06,0.0,0.2218,0.9751,21.2,22.2,22.2,station
2021-01-14,,,,,,,,,,,,,,42,1,15.7,12.95,0.0,0.2385,0.9711,24.8,24.4,24.4,station
2021-01-15,,,,,,,,,,,,,,27,10,31.0,13.5,0.0,0.2552,0.9669,28.1,30.6,30.6,station
2021-01-16,,,,,,,,,,,,,,33,12,16.6,12.97,0.0,0.2718,0.9624,27.1,27.2,27.2,station
2021-01-17,,,,,,,,,,,,,,37,16,14.9,13.23,0.0,0.2883,0.9575,26.9,28.9,28.9,station
2021-01-18,,,,,,,,,,,,,,54,0,15.3,13.33,0.0,0.3047,0.9524,22.7,23.9,23.9,station
2021-01-19,,,,,,,,,,,,,,55,72,37.7,10.71,0.1,0.3211,0.9471,20.9,21.7,21.7,station
2021-01-20,,,,,,,,,,,,,,38,12,16.7,13.08,0.0,0.3373,0.9414,22.0,25.0,25.0,station
2021-01-21,,,,,,,,,,,,,,64,3,16.8,13.41,0.0,0.3534,0.9355,19.4,20.0,20.0,station
2021-01-22,,,,,,,,,,,,,,81,50,27.2,10.99,0.0,0.3695,0.9292,14.9,15.6,15.6,station
2021-01-23,,,,,,,,,,,,,,80,82,21.6,4.89,6.3,0.3854,0.9227,11.2,12.2,12.2,station
2021-01-24,,,,,,,,,,,,,,77,30,30.7,13.68,2.2,0.4012,0.916,13.4,13.9,13.9,station
2021-01-25,,,,,,,,,,,,,,68,47,47.2,12.54,4.1,0.4169,0.9089,11.5,12.2,12.2,station
2021-01-26,,,,,,,,,,,,,,62,18,23.1,14.58,0.0,0.4325,0.9016,12.1,12.8,12.8,station
2021-01-27,,,,,,,,,,,,,,72,77,24.0,8.09,0.2,0.4479,0.8941,13.6,14.4,14.4,station
2021-01-28,,,,,,,,,,,,,,73,77,26.0,11.65,13.0,0.4633,0.8862,16.0,17.2,17.2,station
2021-01-29,,,,,,,,,,,,,,86,65,20.3,9.69,12.4,0.4784,0.8781,11.6,12.8,12.8,station
2021-01-30,,,,,,,,,,,,,,83,1,13.0,14.44,0.0,0.4935,0.8698,13.9,15.0,15.0,station
2021-01-31,,,,,,,,,,,,,,69,90,14.1,10.66,0.0,0.5084,0.8611,18.7,20.6,20.6,station
2021-02-01,,,,,,,,,,,,,,69,94,17.0,5.7,0.0,0.5231,0.8523,16.2,19.4,19.4,station
2021-02-02,,,,,,,,,,,,,,82,29,23.3,14.43,0.0,0.5377,0.8432,16.6,17.2,17.2,station
2021-02-03,,,,,,,,,,,,,,92,79,18.3,13.74,0.0,0.5521,0.8338,15.1,15.0,15.0,station
2021-02-04,,,,,,,,,,,,,,90,58,15.5,12.35,0.3,0.5664,0.8242,15.5,16.1,16.1,station
2021-02-05,,,,,,,,,,,,,,75,1,15.6,15.88,0.0,0.5805,0.8143,15.7,16.1,16.1,station
