datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,-5.3,90,96,14.7,1.66,0.2,-5.0
2000-01-02,-5.6,91,99,9.2,1.48,0.0,-6.0
2000-01-03,-9.6,87,99,11.4,1.18,0.0,-9.0
2000-01-04,-3.0,88,100,24.6,1.39,2.2,-3.0
2000-01-05,0.5,88,88,23.9,1.14,0.7,1.0
2000-01-06,-0.8,88,89,17.7,1.23,0.0,0.0
2000-01-07,-4.4,89,96,21.4,1.93,0.0,-3.0
2000-01-08,-2.8,88,92,19.1,1.76,0.0,-1.0
2000-01-09,0.7,90,96,19.2,1.32,0.0,1.0
2000-01-10,-0.3,93,98,14.3,1.28,0.0,1.0
2000-01-11,-0.7,90,87,14.2,1.31,0.0,0.0
2000-01-12,-0.7,92,98,15.7,1.21,0.0,-1.0
2000-01-13,-1.0,87,77,22.3,1.93,0.0,-1.0
2000-01-14,-4.7,85,90,20.4,2.03,0.0,-5.0
2000-01-15,-5.3,90,97,11.2,1.09,0.0,-5.0
2000-01-16,-6.4,89,97,16.7,1.72,0.0,-7.0
2000-01-17,-4.7,86,99,25.7,1.7,2.5,-5.0
2000-01-18,-5.3,87,100,18.7,1.98,0.4,-7.0
2000-01-19,-6.1,90,100,10.2,2.03,0.7,-6.0
2000-01-20,-8.9,84,100,17.6,2.23,0.3,-10.0
2000-01-21,-12.9,84,99,13.8,1.98,0.9,-12.0
2000-01-22,-16.4,82,97,12.5,3.45,0.0,-17.0
2000-01-23,-12.6,82,98,15.6,3.16,0.0,-14.0
2000-01-24,-14.4,82,97,15.8,3.27,0.0,-14.0
2000-01-25,-16.2,81,97,14.9,2.84,0.0,-16.0
2000-01-26,-18.2,76,93,16.1,2.61,1.0,-17.0
2000-01-27,-4.6,80,98,25.3,2.18,2.8,-5.0
2000-01-28,-0.5,89,92,28.4,1.95,2.4,0.0
2000-01-29,-0.2,87,82,19.6,2.95,0.1,0.0
2000-01-30,-0.5,88,95,31.7,2.69,3.3,1.0
2000-01-31,-0.2,87,81,23.0,3.29,2.2,0.0
2000-02-01,-6.9,83,58,17.2,4.33,0.0,-5.0
2000-02-02,1.5,89,82,24.6,1.83,2.6,2.0
2000-02-03,1.4,88,84,20.5,4.08,0.8,1.0
2000-02-04,-5.2,79,96,21.1,3.15,0.0,-5.0
2000-02-05,-0.6,87,92,24.0,2.66,5.8,-1.0
2000-02-06,-1.9,85,99,20.0,3.15,0.0,-1.0
2000-02-07,1.8,88,73,18.7,3.95,0.3,2.0
2000-02-08,2.2,94,100,20.3,2.0,0.9,2.0
2000-02-09,1.8,94,99,14.8,2.61,1.2,2.0
2000-02-10,1.4,95,95,17.9,2.63,3.4,1.0
2000-02-11,-0.3,87,85,19.3,4.35,0.0,0.0
2000-02-12,1.6,89,79,17.4,2.83,0.5,1.0
2000-02-13,0.7,89,84,17.0,3.67,0.0,1.0
2000-02-14,-0.3,86,95,19.6,3.7,0.1,0.0
2000-02-15,0.0,86,76,20.4,5.59,1.4,0.0
2000-02-16,-1.4,85,94,19.7,4.48,0.0,-1.0
