datum,p1_ifs,p1_aifs,p1_gfs,p1_icon,p1_gem,p2_ifs,p2_aifs,p2_gfs,p2_icon,p2_gem,mm_gem,mm_spreiding,run2run,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,doy_sin,doy_cos,era5_max,station_max,doel,doelbron
2021-01-01,,,,,,,,,,,,,,79,85,10.1,4.07,0.0,0.0172,0.9999,2.9,3.0,3.0,station
2021-01-02,,,,,,,,,,,,,,89,99,10.4,2.67,0.7,0.0344,0.9994,0.4,0.0,0.0,station
2021-01-03,,,,,,,,,,,,,,85,94,7.4,2.64,0.2,0.0516,0.9987,0.9,0.0,0.0,station
2021-01-04,,,,,,,,,,,,,,86,92,9.6,2.21,0.0,0.0688,0.9976,0.6,0.0,0.0,station
2021-01-05,,,,,,,,,,,,,,88,96,6.2,2.37,0.0,0.0859,0.9963,0.4,0.0,0.0,station
2021-01-06,,,,,,,,,,,,,,90,100,14.6,1.45,8.7,0.103,0.9947,0.4,0.0,0.0,station
2021-01-07,,,,,,,,,,,,,,89,73,12.9,4.0,0.7,0.1201,0.9928,1.3,1.0,1.0,station
2021-01-08,,,,,,,,,,,,,,86,79,17.0,3.64,0.1,0.1372,0.9905,1.0,1.0,1.0,station
2021-01-09,,,,,,,,,,,,,,88,65,9.2,4.0,0.0,0.1542,0.988,0.0,1.0,1.0,station
2021-01-10,,,,,,,,,,,,,,93,55,10.9,3.86,0.0,0.1712,0.9852,-2.5,-3.0,-3.0,station
2021-01-11,,,,,,,,,,,,,,90,82,12.0,3.3,0.0,0.1881,0.9821,-4.1,-7.0,-7.0,station
2021-01-12,,,,,,,,,,,,,,79,87,35.8,1.58,4.4,0.205,0.9788,1.8,2.0,2.0,station
2021-01-13,,,,,,,,,,,,,,81,72,23.8,4.54,1.3,0.2218,0.9751,1.7,2.0,2.0,station
2021-01-14,,,,,,,,,,,,,,83,88,24.5,2.99,2.4,0.2385,0.9711,1.8,2.0,2.0,station
2021-01-15,,,,,,,,,,,,,,80,44,10.0,6.15,1.0,0.2552,0.9669,0.5,-2.0,-2.0,station
2021-01-16,,,,,,,,,,,,,,80,89,18.9,2.96,0.2,0.2718,0.9624,-1.2,-1.0,-1.0,station
2021-01-17,,,,,,,,,,,,,,85,100,10.0,2.44,4.9,0.2883,0.9575,-0.6,-2.0,-2.0,station
2021-01-18,,,,,,,,,,,,,,87,98,18.0,1.72,4.1,0.3047,0.9524,1.3,1.0,1.0,station
2021-01-19,,,,,,,,,,,,,,76,94,25.2,4.93,1.9,0.3211,0.9471,4.2,4.0,4.0,station
2021-01-20,,,,,,,,,,,,,,73,81,13.8,6.19,0.0,0.3373,0.9414,6.5,7.0,7.0,station
2021-01-21,,,,,,,,,,,,,,70,75,13.3,6.71,0.0,0.3534,0.9355,11.5,7.0,7.0,station
2021-01-22,,,,,,,,,,,,,,72,78,14.5,6.31,0.1,0.3695,0.9292,11.7,11.0,11.0,station
