datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,27.9,88,98,7.0,17.32,12.8,
2000-01-02,26.9,90,99,6.3,14.73,14.0,
2000-01-03,27.6,90,99,7.2,16.48,15.6,
2000-01-04,27.0,90,96,5.6,15.05,17.1,
2000-01-05,27.4,90,98,9.0,12.82,25.0,
2000-01-06,26.4,90,99,13.4,9.38,8.2,
2000-01-07,29.1,84,77,10.5,20.71,4.2,
2000-01-08,28.8,87,68,7.6,21.69,5.8,
2000-01-09,28.3,85,69,7.1,21.02,1.1,
2000-01-10,26.9,91,87,6.4,12.82,19.2,
2000-01-11,27.6,88,89,7.1,15.78,6.7,
2000-01-12,28.8,88,68,9.7,19.72,10.6,
2000-01-13,27.9,89,99,8.0,18.25,6.9,
2000-01-14,28.5,86,71,6.6,20.6,1.0,
2000-01-15,28.2,86,100,9.6,21.57,1.6,
2000-01-16,27.3,87,95,7.5,21.12,1.8,
2000-01-17,28.6,88,100,5.6,17.47,17.6,
2000-01-18,28.6,87,100,7.6,17.88,7.8,
2000-01-19,28.0,89,90,5.4,17.79,7.7,
2000-01-20,28.6,80,89,7.4,22.89,0.0,
2000-01-21,29.2,77,98,13.8,23.8,0.0,
2000-01-22,29.2,74,88,12.3,21.02,0.0,
2000-01-23,28.0,82,80,9.0,19.53,0.0,
2000-01-24,27.7,88,98,11.2,16.62,25.6,
2000-01-25,26.5,90,99,6.4,10.12,10.3,
2000-01-26,29.0,82,89,14.8,20.79,0.7,
2000-01-27,28.3,79,84,11.8,21.59,0.0,
2000-01-28,28.4,77,78,13.4,21.09,0.0,
2000-01-29,27.7,83,90,12.2,16.06,2.2,
2000-01-30,26.7,87,99,13.2,12.56,8.3,
2000-01-31,28.4,81,99,17.7,15.81,6.2,
2000-02-01,28.1,78,96,17.5,14.46,0.0,
2000-02-02,28.8,77,98,11.8,20.64,0.0,
2000-02-03,28.4,82,66,9.2,22.17,0.0,
2000-02-04,28.2,85,82,10.8,21.86,0.6,
2000-02-05,28.1,85,99,9.6,21.1,0.3,
2000-02-06,27.7,86,87,11.3,19.66,1.8,
2000-02-07,28.9,85,77,10.0,22.81,0.3,
