datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,8.6,94,78,13.6,3.52,0.0,
2000-01-02,9.9,92,93,22.1,2.34,0.0,10.0
2000-01-03,10.3,92,100,27.1,0.21,7.4,11.0
2000-01-04,8.2,90,67,26.8,2.45,0.9,9.0
2000-01-05,10.0,86,73,32.2,3.03,0.0,11.0
2000-01-06,10.5,87,74,33.8,2.14,0.6,11.0
2000-01-07,9.7,88,83,28.1,2.97,0.0,11.0
2000-01-08,9.7,81,47,27.3,4.21,0.0,
2000-01-09,5.6,88,0,11.8,4.28,0.0,7.0
2000-01-10,6.2,91,50,16.1,4.22,0.0,8.0
2000-01-11,9.3,88,95,22.9,1.68,0.0,10.0
2000-01-12,7.7,84,100,24.8,1.57,0.0,8.0
2000-01-13,5.5,88,97,21.7,1.32,2.2,7.0
2000-01-14,5.6,89,93,17.8,3.28,0.0,6.0
2000-01-15,6.1,89,58,16.8,3.5,0.0,
2000-01-16,4.8,87,71,11.7,3.7,0.0,7.0
2000-01-17,6.5,92,46,15.1,4.08,0.0,8.0
2000-01-18,7.7,87,81,25.2,1.71,0.0,8.0
2000-01-19,6.9,85,87,16.2,2.29,0.3,7.0
2000-01-20,5.6,90,73,17.4,2.28,0.0,5.0
2000-01-21,6.8,89,53,13.8,4.0,0.0,9.0
2000-01-22,6.0,80,52,28.1,4.09,1.1,
2000-01-23,6.2,80,57,22.4,5.09,0.1,7.0
2000-01-24,4.2,88,80,12.1,3.63,0.0,5.0
2000-01-25,4.8,89,66,6.7,4.51,0.0,5.0
2000-01-26,4.8,91,43,8.0,4.46,0.0,6.0
2000-01-27,4.0,87,11,13.7,6.01,0.0,5.0
2000-01-28,7.5,83,84,32.4,2.58,0.3,9.0
2000-01-29,11.8,84,90,39.1,3.94,1.3,
2000-01-30,11.7,82,99,36.2,1.16,0.0,13.0
2000-01-31,11.9,79,90,36.1,2.32,0.0,13.0
2000-02-01,10.5,87,100,27.8,2.33,3.0,11.0
