datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,25.8,31,0,29.8,16.67,0.0,26.0
2000-01-02,26.3,36,2,29.3,16.47,0.0,27.0
2000-01-03,25.8,36,0,23.7,16.55,0.0,27.0
2000-01-04,25.2,40,0,14.3,16.66,0.0,26.0
2000-01-05,26.0,37,0,18.8,16.73,0.0,26.0
2000-01-06,26.2,38,0,15.9,16.69,0.0,27.0
2000-01-07,25.2,72,11,20.1,16.48,0.0,28.0
2000-01-08,25.7,77,33,17.3,15.01,0.0,27.0
2000-01-09,26.0,81,71,14.5,15.26,0.0,
2000-01-10,25.3,84,52,9.7,14.2,0.0,
2000-01-11,24.6,69,31,16.5,14.58,0.1,
2000-01-12,23.2,67,42,18.0,15.42,2.4,
2000-01-13,22.5,38,0,15.6,17.45,0.0,
2000-01-14,21.5,30,0,15.8,17.85,0.0,
2000-01-15,21.4,31,0,17.1,17.91,0.0,
2000-01-16,21.2,27,0,31.9,17.85,0.0,
2000-01-17,21.3,28,13,40.0,17.67,0.0,
2000-01-18,24.1,28,5,33.3,17.75,0.0,
2000-01-19,25.4,40,0,16.3,17.66,0.0,
2000-01-20,25.6,75,1,29.6,17.27,0.0,
2000-01-21,25.9,79,23,32.1,15.99,0.0,
2000-01-22,27.6,66,4,17.0,17.61,0.0,
2000-01-23,26.3,57,0,17.1,17.24,0.0,
2000-01-24,25.1,84,26,19.5,15.79,0.0,
2000-01-25,26.5,80,46,14.1,15.1,0.0,
2000-01-26,25.1,57,18,26.9,16.93,0.0,
2000-01-27,24.7,42,1,29.2,18.23,0.0,
2000-01-28,24.5,42,0,23.5,18.54,0.0,
2000-01-29,26.5,39,0,14.8,18.84,0.0,
2000-01-30,25.7,62,0,25.4,19.06,0.0,
2000-01-31,28.3,58,13,24.4,18.57,0.0,
2000-02-01,26.1,27,25,20.1,19.32,0.0,
2000-02-02,25.5,64,33,23.1,18.9,0.0,
2000-02-03,24.3,60,38,28.6,16.14,0.0,
2000-02-04,24.9,63,24,22.3,15.85,0.4,
2000-02-05,22.5,60,1,20.2,19.35,0.0,
2000-02-06,25.5,52,8,15.8,19.24,0.0,
2000-02-07,25.1,43,46,22.2,19.05,0.0,
2000-02-08,24.6,67,4,19.5,18.98,0.0,
2000-02-09,24.7,77,40,21.4,15.62,0.4,
2000-02-10,26.2,52,7,22.7,19.49,0.0,
2000-02-11,23.9,21,21,18.8,20.66,0.0,
2000-02-12,24.7,24,3,21.3,20.96,0.0,
2000-02-13,24.1,23,1,28.6,20.78,0.0,
2000-02-14,24.4,25,2,22.8,20.8,0.0,
2000-02-15,25.8,27,0,17.7,20.4,0.0,
2000-02-16,29.9,46,0,14.8,20.74,0.0,
2000-02-17,29.0,54,0,23.4,20.75,0.0,
2000-02-18,26.9,75,10,16.1,19.83,0.0,
2000-02-19,28.6,46,0,19.4,21.19,0.0,
2000-02-20,28.4,30,0,22.4,21.2,0.0,
2000-02-21,26.9,29,0,24.1,21.52,0.0,
2000-02-22,26.6,27,0,26.4,21.66,0.0,
2000-02-23,28.6,25,0,27.0,21.84,0.0,
2000-02-24,29.4,22,0,26.6,21.92,0.0,
2000-02-25,29.0,40,0,19.0,22.06,0.0,
2000-02-26,30.6,60,0,22.1,22.08,0.0,
2000-02-27,28.6,74,0,21.2,21.36,0.0,
2000-02-28,30.4,77,29,19.0,20.17,0.0,
2000-02-29,29.4,76,29,26.7,20.6,0.0,
2000-03-01,32.3,63,0,26.5,22.11,0.0,
2000-03-02,32.6,59,0,25.7,22.56,0.0,
2000-03-03,29.0,66,1,35.6,22.27,0.0,
2000-03-04,30.0,43,0,27.7,23.81,0.0,
2000-03-05,28.5,25,0,17.2,24.07,0.0,
2000-03-06,26.2,56,0,25.3,23.27,0.0,
2000-03-07,29.1,51,2,14.1,22.71,0.0,
2000-03-08,29.3,30,0,16.9,23.9,0.0,
2000-03-09,29.2,53,0,28.1,23.92,0.0,
2000-03-10,28.0,70,0,31.6,23.01,0.0,
2000-03-11,30.9,66,4,26.6,23.39,0.0,
2000-03-12,28.5,69,3,21.9,23.4,0.0,
2000-03-13,31.4,58,16,18.3,24.43,0.0,
2000-03-14,30.8,55,0,20.4,24.74,0.0,
2000-03-15,29.7,61,0,21.3,24.63,0.0,
2000-03-16,27.8,75,8,30.6,23.26,0.0,
2000-03-17,34.0,51,9,22.9,24.88,0.0,
2000-03-18,34.1,28,0,18.4,25.46,0.0,
2000-03-19,32.7,51,0,21.1,24.99,0.0,
2000-03-20,30.2,74,10,26.1,24.28,0.0,
2000-03-21,31.5,61,18,19.5,24.14,0.0,
2000-03-22,32.8,48,0,12.5,25.32,0.0,34.4
2000-03-23,32.5,35,15,19.9,25.49,0.0,33.0
2000-03-24,33.3,50,3,17.6,25.39,0.0,35.0
2000-03-25,35.2,27,0,17.1,25.51,0.0,37.0
2000-03-26,36.3,26,4,22.6,25.86,0.0,39.0
2000-03-27,37.1,31,9,21.4,25.86,0.0,38.0
2000-03-28,36.0,40,44,20.6,25.75,0.0,38.0
2000-03-29,33.1,51,85,21.2,23.62,0.0,34.0
2000-03-30,33.9,68,63,23.2,24.24,0.0,36.0
2000-03-31,34.5,49,8,26.6,26.05,0.0,33.0
2000-04-01,34.7,60,3,15.5,26.1,0.0,37.0
2000-04-02,37.0,40,1,22.3,26.03,0.0,37.0
2000-04-03,39.1,31,6,18.7,26.64,0.0,40.0
2000-04-04,39.2,39,0,23.1,27.08,0.0,39.0
2000-04-05,39.1,33,0,12.9,27.32,0.0,40.0
2000-04-06,36.5,38,20,24.2,26.87,0.0,36.0
2000-04-07,33.4,62,11,24.8,26.72,0.0,35.0
2000-04-08,35.3,64,1,21.7,26.5,0.0,36.0
2000-04-09,36.4,60,4,26.7,26.67,0.0,38.0
2000-04-10,34.8,60,0,29.4,26.82,0.0,37.0
2000-04-11,34.3,66,0,26.6,26.75,0.0,35.0
2000-04-12,34.4,70,0,26.2,26.89,0.0,35.0
2000-04-13,33.2,77,23,24.0,26.02,0.0,32.0
2000-04-14,38.3,67,20,23.8,26.98,0.0,40.0
2000-04-15,40.0,58,0,25.0,27.61,0.0,37.0
2000-04-16,37.1,65,1,29.6,27.21,0.0,36.0
2000-04-17,35.7,64,4,30.7,27.05,0.0,35.0
2000-04-18,33.6,69,21,35.0,27.17,0.0,34.0
2000-04-19,33.4,71,58,34.9,26.47,0.0,32.0
2000-04-20,32.0,74,68,33.3,26.77,0.0,33.0
2000-04-21,32.0,72,45,38.6,24.61,0.0,32.0
2000-04-22,32.3,76,26,35.6,24.79,0.0,32.0
2000-04-23,32.4,76,23,37.3,26.02,0.0,32.0
2000-04-24,32.7,75,9,39.7,26.87,0.0,33.0
2000-04-25,33.4,77,9,40.1,26.51,0.0,34.0
2000-04-26,34.1,75,4,36.8,27.12,0.0,33.0
2000-04-27,34.6,73,6,31.3,27.26,0.0,34.0
2000-04-28,34.2,75,11,33.5,26.96,0.0,34.0
2000-04-29,35.4,75,14,33.4,27.18,0.0,34.0
2000-04-30,34.2,76,26,32.3,27.0,0.0,33.0
2000-05-01,33.5,77,17,33.8,27.17,0.0,35.0
2000-05-02,33.7,77,26,31.3,26.88,0.0,33.0
2000-05-03,33.5,77,61,27.5,26.47,0.0,32.0
2000-05-04,33.5,74,46,27.1,26.05,0.0,33.0
2000-05-05,35.5,72,36,24.1,26.44,0.0,35.0
2000-05-06,36.9,64,4,24.5,26.63,0.0,35.0
2000-05-07,35.1,71,0,24.2,27.67,0.0,34.0
2000-05-08,34.2,75,12,27.9,27.25,0.0,33.0
2000-05-09,33.8,74,28,26.3,25.96,0.0,34.0
2000-05-10,33.6,74,33,24.0,25.02,0.0,33.0
2000-05-11,33.1,71,28,25.8,24.96,0.0,33.0
2000-05-12,33.5,70,35,27.3,24.49,0.0,33.0
2000-05-13,33.4,70,40,26.0,24.7,0.0,34.0
2000-05-14,34.0,71,35,23.7,24.47,0.0,34.0
2000-05-15,34.0,69,12,24.2,26.97,0.0,34.0
2000-05-16,33.7,67,10,22.7,26.96,0.0,34.0
2000-05-17,32.7,75,52,23.8,17.95,0.9,35.0
2000-05-18,33.9,72,21,30.9,26.44,0.0,34.0
2000-05-19,33.6,75,17,30.6,26.67,0.0,34.0
2000-05-20,33.4,76,21,32.4,25.58,0.0,34.0
2000-05-21,33.5,72,31,33.2,25.37,0.0,34.0
2000-05-22,33.4,70,45,33.5,24.42,0.0,34.0
2000-05-23,33.1,70,55,32.7,23.1,0.0,33.0
2000-05-24,33.3,68,54,32.6,22.22,0.0,33.0
2000-05-25,33.4,70,42,37.0,22.58,0.0,34.0
2000-05-26,33.7,71,33,40.2,25.42,0.0,33.0
2000-05-27,32.9,73,55,37.5,19.12,0.0,34.0
2000-05-28,33.2,71,56,29.3,20.47,0.0,33.0
2000-05-29,33.7,69,38,27.2,24.32,0.0,34.0
2000-05-30,33.9,67,29,31.7,25.78,0.0,35.0
2000-05-31,33.8,68,28,35.2,25.82,0.0,34.0
2000-06-01,33.5,71,37,35.6,22.54,0.0,35.0
2000-06-02,34.0,71,46,33.8,23.63,0.0,34.0
2000-06-03,33.7,70,48,31.4,23.24,0.0,35.0
2000-06-04,34.3,73,32,29.2,26.16,0.0,36.0
2000-06-05,34.6,73,20,23.7,26.31,0.0,37.0
2000-06-06,37.5,68,19,22.3,25.35,0.5,40.0
2000-06-07,42.5,59,13,25.9,24.21,0.9,45.0
2000-06-08,35.5,69,11,35.7,27.78,0.0,37.0
2000-06-09,34.1,75,32,37.7,24.49,0.0,34.0
2000-06-10,33.9,74,56,35.8,22.24,0.0,34.0
2000-06-11,33.8,73,58,36.3,19.96,0.0,35.0
2000-06-12,33.8,74,52,39.7,23.22,0.0,34.0
2000-06-13,33.2,76,28,46.8,24.54,0.0,34.0
2000-06-14,33.6,76,32,48.9,26.55,0.0,34.0
2000-06-15,33.0,74,41,45.2,25.59,0.0,33.0
2000-06-16,32.3,75,48,43.3,23.74,0.0,34.0
2000-06-17,33.3,75,32,32.6,26.02,0.0,33.0
2000-06-18,33.2,77,24,30.9,26.45,0.0,34.0
2000-06-19,33.2,77,27,30.8,26.17,0.0,33.0
2000-06-20,32.8,77,27,32.6,25.46,0.0,33.0
2000-06-21,33.1,71,45,31.7,23.42,0.0,33.0
2000-06-22,32.9,69,50,38.2,23.14,0.0,33.0
2000-06-23,33.0,70,49,35.6,21.0,0.0,33.0
2000-06-24,33.2,70,41,39.0,23.89,0.0,33.5
2000-06-25,31.8,73,52,40.0,19.29,0.0,33.0
2000-06-26,31.3,76,53,37.9,18.41,0.0,33.0
2000-06-27,31.6,76,57,34.5,18.67,0.0,32.0
2000-06-28,31.5,77,43,25.9,18.8,0.0,34.0
2000-06-29,32.8,75,58,23.1,25.02,0.0,35.0
2000-06-30,32.7,70,89,22.6,24.11,0.0,34.0
2000-07-01,34.3,69,73,22.7,23.52,0.0,37.0
2000-07-02,32.8,72,98,21.8,17.31,0.8,35.0
2000-07-03,34.2,71,71,28.2,23.02,0.0,34.0
2000-07-04,34.3,71,83,27.0,23.73,0.0,35.0
2000-07-05,34.6,71,59,27.9,21.87,0.0,36.0
2000-07-06,34.0,71,36,30.1,23.54,0.0,34.0
2000-07-07,33.6,72,83,30.8,23.0,0.0,34.0
2000-07-08,33.4,71,90,27.0,22.56,0.0,33.0
