maand,stad,datum,doel,ruw,ref_lin,ridge,gbm,pooled
2025-01,New York,2025-01-01,11.1,10.1,10.82,10.95,10.63,10.94
2025-01,New York,2025-01-02,6.1,4.82,5.5,5.43,5.56,5.46
2025-01,New York,2025-01-03,3.9,2.94,3.61,3.49,2.01,3.26
2025-01,New York,2025-01-04,1.1,0.38,1.06,0.82,1.83,0.98
2025-01,New York,2025-01-05,0.6,0.8,1.45,1.08,1.75,1.03
2025-01,New York,2025-01-06,-0.6,-0.7,-0.09,-0.63,2.32,0.32
2025-01,New York,2025-01-07,1.1,-1.4,-0.89,-0.82,2.09,-0.93
2025-01,New York,2025-01-08,-1.1,-3.08,-2.55,-2.39,1.57,-3.47
2025-01,New York,2025-01-09,1.1,-0.78,0.01,0.17,1.94,0.45
2025-01,New York,2025-01-10,4.4,2.94,3.71,3.56,2.71,3.32
2025-01,New York,2025-01-11,2.2,0.76,1.5,1.22,2.17,1.27
2025-01,New York,2025-01-12,5.6,4.2,4.92,4.86,5.12,4.82
2025-01,New York,2025-01-13,6.1,5.62,6.35,6.47,6.05,6.38
2025-01,New York,2025-01-14,1.1,0.36,1.05,1.62,1.77,1.87
2025-01,New York,2025-01-15,0.0,-0.36,0.23,0.34,1.86,0.74
2025-01,New York,2025-01-16,-0.6,-1.16,-0.55,-1.0,1.9,0.34
2025-01,New York,2025-01-17,6.1,3.84,4.45,4.19,4.57,4.13
2025-01,New York,2025-01-18,7.8,7.64,8.3,8.17,7.69,7.95
2025-01,New York,2025-01-19,5.0,3.74,4.54,4.3,2.51,4.65
2025-01,New York,2025-01-20,-2.2,-2.78,-2.24,-1.87,2.15,-2.1
2025-01,New York,2025-01-21,-6.7,-7.32,-6.7,-7.0,2.45,-4.25
2025-01,New York,2025-01-22,-6.1,-6.88,-6.33,-6.5,2.4,-3.99
2025-01,New York,2025-01-23,-1.7,-1.64,-1.04,-1.33,2.4,-0.56
2025-01,New York,2025-01-24,1.1,-0.48,0.14,0.21,2.71,0.83
2025-01,New York,2025-01-25,0.6,-0.66,-0.13,-0.01,2.37,-0.46
2025-01,New York,2025-01-26,6.7,4.18,4.91,5.1,5.83,4.83
2025-01,New York,2025-01-27,5.0,3.28,3.98,4.23,3.54,4.38
2025-01,New York,2025-01-28,5.6,3.34,4.16,4.68,4.83,4.8
2025-01,New York,2025-01-29,11.7,8.36,9.14,10.03,10.23,9.37
