datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,11.8,85,64,19.0,7.46,0.0,11.7
2000-01-02,11.7,75,2,16.4,10.5,0.0,12.8
2000-01-03,12.8,81,20,7.4,10.45,0.0,18.3
2000-01-04,12.3,90,85,5.9,5.17,0.0,18.3
2000-01-05,14.8,76,33,13.4,10.52,0.0,20.0
2000-01-06,13.7,66,87,7.8,9.8,0.0,11.7
2000-01-07,13.1,86,70,8.4,9.54,0.0,11.7
2000-01-08,13.2,91,89,10.8,9.07,0.0,12.8
2000-01-09,13.0,88,98,11.6,8.38,0.0,13.3
2000-01-10,13.4,91,99,9.4,5.14,0.0,14.4
2000-01-11,13.2,92,100,21.1,2.09,6.1,13.9
2000-01-12,12.2,79,97,7.9,6.67,0.0,11.1
2000-01-13,13.5,81,93,17.0,8.19,0.0,14.4
2000-01-14,15.2,86,99,8.7,7.21,0.0,13.3
2000-01-15,17.1,83,86,22.9,5.1,0.0,15.6
2000-01-16,13.5,79,94,27.3,8.9,8.6,14.4
2000-01-17,13.4,83,100,7.1,6.22,3.2,11.7
2000-01-18,15.5,93,92,13.8,5.27,19.9,15.0
2000-01-19,14.5,97,98,13.7,3.06,6.3,15.6
2000-01-20,13.0,93,98,6.9,7.23,0.1,13.9
2000-01-21,13.7,91,71,12.9,8.49,1.6,15.0
2000-01-22,14.3,90,94,8.1,9.2,3.3,12.8
2000-01-23,13.2,93,100,19.4,1.89,26.9,14.4
2000-01-24,13.1,97,100,20.5,1.12,37.2,14.4
2000-01-25,13.7,92,63,14.2,8.91,1.0,15.0
2000-01-26,12.9,84,69,9.8,10.26,0.0,12.8
2000-01-27,14.1,86,36,6.8,12.79,0.0,15.6
2000-01-28,13.3,85,80,7.2,10.06,0.0,12.8
2000-01-29,15.0,86,70,10.2,10.98,0.0,14.4
2000-01-30,12.4,84,97,22.4,4.11,13.7,13.3
2000-01-31,11.8,85,100,10.2,2.54,1.1,12.8
2000-02-01,15.4,84,99,7.7,9.04,0.0,15.0
2000-02-02,19.4,87,59,8.3,12.69,0.0,16.7
2000-02-03,14.6,82,73,20.9,3.24,11.9,17.2
