datum,era5_max,rh_gem,bewolking_gem,wind_max,instraling_som,neerslag_som,station_max
2000-01-01,10.8,74,93,20.0,5.01,0.1,12.0
2000-01-02,13.5,69,49,22.9,8.15,0.0,13.0
2000-01-03,7.4,50,55,16.5,11.02,0.0,9.0
2000-01-04,9.7,49,11,10.4,11.47,0.0,11.0
2000-01-05,13.1,77,86,13.7,6.9,2.7,14.0
2000-01-06,14.3,81,76,22.7,7.34,1.9,15.0
2000-01-07,2.6,48,29,21.3,11.08,0.0,7.0
2000-01-08,4.9,58,20,11.8,11.64,0.0,6.0
2000-01-09,4.8,68,97,11.3,3.99,5.0,3.0
2000-01-10,7.6,61,20,17.6,12.1,0.0,9.0
2000-01-11,9.4,57,67,22.2,7.89,0.1,10.0
2000-01-12,9.2,84,98,22.4,2.09,8.4,10.0
2000-01-13,8.9,76,77,22.0,7.48,0.0,11.0
2000-01-14,6.6,61,46,15.5,8.4,0.0,7.0
2000-01-15,8.7,67,55,14.8,10.59,0.0,8.0
2000-01-16,8.4,73,81,14.6,4.08,0.4,8.0
2000-01-17,7.3,73,62,19.6,7.24,0.0,10.0
2000-01-18,7.6,70,59,16.7,8.09,0.4,11.0
2000-01-19,4.8,48,9,26.0,12.22,0.0,6.0
2000-01-20,-1.1,42,5,28.1,13.02,0.0,1.0
2000-01-21,1.9,35,16,22.5,13.67,0.0,3.0
2000-01-22,7.3,57,96,10.6,6.89,2.1,6.0
2000-01-23,10.6,84,88,12.0,8.69,8.2,11.0
2000-01-24,6.6,58,76,17.6,11.5,0.0,10.0
2000-01-25,3.1,36,38,23.7,12.66,0.0,6.0
2000-01-26,0.5,41,1,24.7,14.17,0.0,2.0
2000-01-27,3.2,44,3,19.5,13.03,0.0,5.0
2000-01-28,5.7,40,0,9.8,14.52,0.0,8.0
2000-01-29,5.9,55,65,12.9,10.1,0.0,8.0
2000-01-30,3.3,57,30,23.7,11.75,0.0,7.0
2000-01-31,0.5,39,1,25.0,14.82,0.0,2.0
2000-02-01,3.3,36,49,17.4,11.84,0.0,5.0
